relative_path,top_level,extension,size_bytes,modified_utc,sha256,family,pollutant,scenario,role_inferred,disposition_inferred,revision,executed_variant,exact_duplicate_group
__pycache__/build_co_interp_final_r5f_std.cpython-312.pyc,__pycache__,.pyc,82686,2026-08-26T05:03:44.808507+00:00,e1a4baae2b71c1585c56490c76dd5cb06f22bec6997e6a0e1ffdaf66251188bf,other,CO,interpolative,FINAL_CANDIDATE,ARCHIVED_OR_EXCLUDED,R5F_STD,no,
backups/NOX_FINAL_R6F_STD_before_green_orange_20260829T232154Z.zip,backups,.zip,6246459,2026-08-29T23:21:55.155752+00:00,322dc77d2457c08650ce23f50b49e93cff0e8f8c23ba3245346dc826a25f7f1a,other,NOx,unspecified,FINAL_CANDIDATE,ASSESSED_FOR_PUBLICATION,R6F_STD_BEFORE_GREEN_ORANGE_20260829T232154Z,no,
backups/NOX_FINAL_R6F_STD_before_operational_only_correction_20260829T233216Z.zip,backups,.zip,7850991,2026-08-29T23:32:16.427870+00:00,6fe1b38ae15022a8c0085b14b36ada3e832ee6a48d9139b99163c794839cc5e9,other,NOx,unspecified,FINAL_CANDIDATE,ASSESSED_FOR_PUBLICATION,R6F_STD_BEFORE_OPERATIONAL_ONLY_CORRECTION_20260829T233216Z,no,
baseline_originals/04_Gold_Standard_PINN_CO_WF_ALL - R10F.ipynb,baseline_originals,.ipynb,191031,2026-08-11T17:38:18.593647+00:00,e5a2a1e0aad8a246a72ea6875a45bcf6b0c0b44e11b85cf2066a2abf8dbe8aab,dense_pinn,CO,walk_forward,UNCLASSIFIED,REQUIRES_TECHNICAL_CONTEXT,R10F,no,EXACT-0524
baseline_originals/04_Gold_Standard_PINN_NOX_WF_ALL - R8F.ipynb,baseline_originals,.ipynb,152927,2026-08-11T15:05:25.545085+00:00,6ed5af1af8e61903cf05d789256b808b894c77afd95db91c3d2dbbcac7edbc0c,dense_pinn,NOx,walk_forward,UNCLASSIFIED,REQUIRES_TECHNICAL_CONTEXT,R8F,no,EXACT-0361
baseline_originals/baseline_co/baseline_auditoria_dataset_CO_R10F.csv,baseline_originals,.csv,614,2026-08-11T09:45:37.283361+00:00,a153b081ef07d6f73ea866800e89b81589cb343969cad81211101bbcd838ac14,other,CO,unspecified,UNCLASSIFIED,REQUIRES_TECHNICAL_CONTEXT,R10F,no,EXACT-0181
baseline_originals/baseline_co/baseline_COMPLEJIDAD_CO_R10F.csv,baseline_originals,.csv,8308,2026-08-11T09:45:37.282362+00:00,3da5acea74989889a746447fcf221404673735034e2d9f3fda36c5092c0915b1,other,CO,unspecified,UNCLASSIFIED,REQUIRES_TECHNICAL_CONTEXT,R10F,no,EXACT-0298
baseline_originals/baseline_co/baseline_CONFIG_PINN_CO_FINAL_R10F.json,baseline_originals,.json,1354,2026-08-11T07:23:31.148096+00:00,ae354a144c85eda61c5c2b97bff4e59949bd570c701c1d0a214cbbf0694b3fe7,dense_pinn,CO,unspecified,FINAL_CANDIDATE,ASSESSED_FOR_PUBLICATION,R10F,no,EXACT-0029
baseline_originals/baseline_co/baseline_envelope_WF01_seed42.csv,baseline_originals,.csv,567,2026-08-11T08:47:51.774673+00:00,aa0c472b952b3ae2868fedd3b895206aa1966fab42b7eef9f6349e67d4690a87,other,common,walk_forward,UNCLASSIFIED,REQUIRES_TECHNICAL_CONTEXT,,no,EXACT-0185
baseline_originals/baseline_co/baseline_envelope_WF02_seed42.csv,baseline_originals,.csv,567,2026-08-11T08:56:23.479652+00:00,3e4ae12dddaf1e68111e9276a2b8fa5b0130b98a8c56e6d9449118adf7708056,other,common,walk_forward,UNCLASSIFIED,REQUIRES_TECHNICAL_CONTEXT,,no,EXACT-0160
