book_input,source_relative_path,canonical_relative_path,source_sha256,canonical_sha256,code_cells,executed_code_cells,output_objects,error_outputs,status
YES,notebooks/00_PEMS_PINN_INTERP_PROTOCOL - R1 - LOCAL_EXECUTED.ipynb,notebooks/00_protocol/interpolative_protocol.ipynb,a8c1a0ee185f2193846fb1ca3f320ae40fe71836740766647ed4e1d93b6c8afa,a8c1a0ee185f2193846fb1ca3f320ae40fe71836740766647ed4e1d93b6c8afa,31,31,22,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/00_PEMS_PINN_WF_PROTOCOL - R1 - LOCAL_EXECUTED.ipynb,notebooks/00_protocol/walk_forward_protocol.ipynb,78716419658ccacd0561472554c0a18fa6387f4749722b569efd95584276a405,78716419658ccacd0561472554c0a18fa6387f4749722b569efd95584276a405,24,24,16,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/04_Gold_Standard_PINN_CO_INTERP_OPT - R5 - LOCAL_EXECUTED.ipynb,notebooks/01_dense_pinn/CO/optimization.ipynb,e4ec3f21f04b866759f042e7530a72438e3b639595c3350f5c6e2933f100587f,bfa881c96008a6ff380b0ef050318662f81960b44c3ef5dfd5b8584d03d171cc,56,56,46,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/04_Gold_Standard_PINN_CO_INTERP_FINAL - R5F_STD - LOCAL_EXECUTED.ipynb,notebooks/01_dense_pinn/CO/final.ipynb,d57f855fb2c38899106785158e1dca9c19655e09a95cfd4dbb07d6dd0457de95,d57f855fb2c38899106785158e1dca9c19655e09a95cfd4dbb07d6dd0457de95,20,20,41,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/04_Gold_Standard_PINN_NOX_INTERP_OPT - R6 - LOCAL_EXECUTED.ipynb,notebooks/01_dense_pinn/NOx/optimization.ipynb,d80c2401013834c85432d7ad2ddc5c6068b37dab87682e50b47eb45ae7239d13,d80c2401013834c85432d7ad2ddc5c6068b37dab87682e50b47eb45ae7239d13,57,57,26,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/04_Gold_Standard_PINN_NOX_INTERP_FINAL - R6F_STD - LOCAL_EXECUTED.ipynb,notebooks/01_dense_pinn/NOx/final.ipynb,f819a982a3851341726b174b13875013c302f53fd60e9d3f101edf1c069f43bb,f819a982a3851341726b174b13875013c302f53fd60e9d3f101edf1c069f43bb,21,21,53,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/05_TT_PINN_CO_INTERP_FINAL - R1F_STD - LOCAL_EXECUTED.ipynb,notebooks/02_tt_pinn/CO/final.ipynb,5419a09c2e8f90706c73588a757c3837af6115fcdcde91a973e58d332f0e2d20,30168463b22b37404993a966d4a05ecbb439156d5c460d6473c1820451ea73ee,21,21,54,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/05_TT_PINN_NOX_INTERP_FINAL - R1F_STD - LOCAL_EXECUTED.ipynb,notebooks/02_tt_pinn/NOx/final.ipynb,e6ed06cd9d45a96e6c8ee023940181fa74e46b1b22525de70adc494e069abcb8,bc4d7b97b00714ee0af3e64ae9966c2713724ea43bda40008c3a00b4cc330090,21,21,53,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/07_XGBoost_CO_INTERP_OPT - R1_POC_EFFICIENT - LOCAL_EXECUTED.ipynb,notebooks/03_xgboost/CO/optimization.ipynb,3f54a51d13dddf945ecbf46190e3b6e56c89765b0debe2ab28b5cda6deb5aa73,cee5ef921d86b4273519e0ffd44dc341be6f65638214c36f234f758f627f90e2,19,19,60,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/07_XGBoost_CO_INTERP_FINAL - R1F_STD - LOCAL_EXECUTED.ipynb,notebooks/03_xgboost/CO/final.ipynb,7d534fcb1efc59bacfdb63e68d6a263c8b4d6fa34411b8b19033b69f781e3905,7d534fcb1efc59bacfdb63e68d6a263c8b4d6fa34411b8b19033b69f781e3905,14,14,25,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/07_XGBoost_NOX_INTERP_OPT - R1_POC_EFFICIENT - LOCAL_EXECUTED.ipynb,notebooks/03_xgboost/NOx/optimization.ipynb,fe329705fab141a2ba7669a3736405ede28f1981cb77d3d98ed507f203969057,9d746c0a30a2440e7343c61074f4d2c59440c5e549ab4e24cdcbfbc93eea807a,19,19,70,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/07_XGBoost_NOX_INTERP_FINAL - R1F_STD - LOCAL_EXECUTED.ipynb,notebooks/03_xgboost/NOx/final.ipynb,a414c4b878ba3bc70adc8573ee8eea54e3e7125ad7ab3c4e15e1621252d392cb,a414c4b878ba3bc70adc8573ee8eea54e3e7125ad7ab3c4e15e1621252d392cb,14,14,25,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/04_Gold_Standard_PINN_CO_WF_OPT - R3_POC_EFFICIENT - LOCAL_EXECUTED.ipynb,notebooks/04_walk_forward/CO/dense_pinn_optimization.ipynb,111899d5ab43cb4b8d90c377016f18e58f9d529ee713c333be3531c90154a6b3,09006d7c57a3ee1d8ec7fb73bd909d6ec55c9521533b41c85dafb5b439e615f3,56,56,274,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/04_Gold_Standard_PINN_CO_WF_FINAL - R3F_STD - LOCAL_EXECUTED.ipynb,notebooks/04_walk_forward/CO/dense_pinn_final.ipynb,b544c240058ca3b2a92c7436bd6dbf573627241806ee9133d1a05835fa4a8db9,b544c240058ca3b2a92c7436bd6dbf573627241806ee9133d1a05835fa4a8db9,20,20,141,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/07_XGBoost_CO_WF_OPT - R1_POC_EFFICIENT - LOCAL_EXECUTED.ipynb,notebooks/04_walk_forward/CO/xgboost_optimization.ipynb,bd87c8837c7d7a900e391d4d24da87b0737662d313c66f4b9580191ae13629cb,168bc58aa153a584409c9f68fc787ca247364ff457e6a71e4aad00fe882bace6,19,19,62,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/07_XGBoost_CO_WF_FINAL - R1F_STD - LOCAL_EXECUTED.ipynb,notebooks/04_walk_forward/CO/xgboost_final.ipynb,827d68c557850ccd7f0c2c835e8c3ad7552147dcfac93ae4e5232697731b9c4c,827d68c557850ccd7f0c2c835e8c3ad7552147dcfac93ae4e5232697731b9c4c,14,14,25,0,EXECUTED_RESULTS_VISIBLE
YES,notebooks/04_Gold_Standard_PINN_NOX_WF_OPT - R3_POC_EFFICIENT - LOCAL_EXECUTED.ipynb,notebooks/04_walk_forward/NOx/dense_pinn_optimization.ipynb,635eace60f2a5e14efa826e0640fa6e50edbeaf1529070f86b639cc7979ca342,5f22e9bdbc979147dcc8910f4ef9bd505ab65cde0a98f804ba9acce77df629eb,56,56,34,0,EXECUTED_RESULTS_VISIBLE
