campaign,category,file_count,bytes
computational_benchmark/model_size_summary.csv,other,1,480
computational_benchmark/pareto_r4,other,1,1998
computational_benchmark/pareto_r4,tables,5,14373
computational_benchmark/tt_pinn_addendum,figures,12,1091282
computational_benchmark/tt_pinn_addendum,other,23,816289
computational_benchmark/tt_pinn_addendum,reports,2,8644
computational_benchmark/tt_pinn_addendum,tables,18,61607
figure_data,other,4,1418777
interpolative,other,1,576
interpolative/CO/dense_pinn/final/audit,audit,10,14704
interpolative/CO/dense_pinn/final/figures,figures,26,18195222
interpolative/CO/dense_pinn/final/reports,reports,1,660
interpolative/CO/dense_pinn/final/tables,tables,8,2659096
interpolative/CO/dense_pinn/optimization/audit,audit,23,77694
interpolative/CO/dense_pinn/optimization/figures,figures,18,998637
interpolative/CO/dense_pinn/optimization/reports,reports,4,4035
interpolative/CO/dense_pinn/optimization/state,state,2,2141
interpolative/CO/dense_pinn/optimization/tables,tables,20,1148116
interpolative/CO/tt_pinn/final/audit,audit,11,15812
interpolative/CO/tt_pinn/final/figures,figures,30,17682238
interpolative/CO/tt_pinn/final/reports,reports,1,3094
interpolative/CO/tt_pinn/final/tables,tables,13,3431938
interpolative/CO/xgboost/final/audit,audit,5,9193
interpolative/CO/xgboost/final/figures,figures,8,1323855
interpolative/CO/xgboost/final/reports,reports,1,1340
interpolative/CO/xgboost/final/state,state,1,12020
interpolative/CO/xgboost/final/tables,tables,10,1734079
interpolative/CO/xgboost/optimization/audit,audit,4,5342
interpolative/CO/xgboost/optimization/figures,figures,3,188072
interpolative/CO/xgboost/optimization/reports,reports,2,1108
interpolative/CO/xgboost/optimization/tables,tables,13,110559
interpolative/NOx/dense_pinn/final/audit,audit,13,32734
interpolative/NOx/dense_pinn/final/figures,figures,26,17186912
interpolative/NOx/dense_pinn/final/reports,reports,1,760
interpolative/NOx/dense_pinn/final/tables,tables,8,2659812
interpolative/NOx/dense_pinn/optimization/audit,audit,10,19673
interpolative/NOx/dense_pinn/optimization/figures,figures,18,866541
interpolative/NOx/dense_pinn/optimization/reports,reports,3,2207
interpolative/NOx/dense_pinn/optimization/state,state,2,5349
interpolative/NOx/dense_pinn/optimization/tables,tables,20,836675
interpolative/NOx/tt_pinn/final/audit,audit,11,15796
interpolative/NOx/tt_pinn/final/figures,figures,30,19095063
interpolative/NOx/tt_pinn/final/reports,reports,1,3017
interpolative/NOx/tt_pinn/final/tables,tables,13,3371771
interpolative/NOx/xgboost/final/audit,audit,5,9260
interpolative/NOx/xgboost/final/figures,figures,8,1750243
interpolative/NOx/xgboost/final/reports,reports,1,1349
interpolative/NOx/xgboost/final/state,state,1,12076
interpolative/NOx/xgboost/final/tables,tables,10,1682196
interpolative/NOx/xgboost/optimization/audit,audit,4,5366
interpolative/NOx/xgboost/optimization/figures,figures,3,165644
interpolative/NOx/xgboost/optimization/reports,reports,2,1115
interpolative/NOx/xgboost/optimization/tables,tables,13,97072
protocol/interpolative,audit,8,8169
protocol/interpolative,reports,2,942
protocol/interpolative,tables,6,5970924
protocol/walk_forward,audit,11,7229
protocol/walk_forward,figures,1,83811
protocol/walk_forward,reports,2,1472
protocol/walk_forward,tables,4,1685692
walk_forward,other,1,420
walk_forward/CO/dense_pinn/final/audit,audit,9,16355
walk_forward/CO/dense_pinn/final/figures,figures,8,2314734
walk_forward/CO/dense_pinn/final/reports,reports,2,2048
walk_forward/CO/dense_pinn/final/state,state,1,13338
walk_forward/CO/dense_pinn/final/tables,tables,9,1407655
walk_forward/CO/dense_pinn/optimization/audit,audit,11,16256
walk_forward/CO/dense_pinn/optimization/reports,reports,3,3750
walk_forward/CO/dense_pinn/optimization/state,state,2,3810
walk_forward/CO/dense_pinn/optimization/tables,tables,13,377865
walk_forward/CO/xgboost/final/audit,audit,7,13049
walk_forward/CO/xgboost/final/figures,figures,8,1048669
walk_forward/CO/xgboost/final/reports,reports,1,1332
walk_forward/CO/xgboost/final/state,state,1,12373
walk_forward/CO/xgboost/final/tables,tables,10,1851085
walk_forward/CO/xgboost/optimization/audit,audit,5,8920
walk_forward/CO/xgboost/optimization/figures,figures,3,201435
walk_forward/CO/xgboost/optimization/reports,reports,2,1648
walk_forward/CO/xgboost/optimization/tables,tables,13,81345
walk_forward/NOx/dense_pinn/final/audit,audit,9,15382
walk_forward/NOx/dense_pinn/final/figures,figures,8,3856458
walk_forward/NOx/dense_pinn/final/reports,reports,2,2408
walk_forward/NOx/dense_pinn/final/state,state,1,13052
walk_forward/NOx/dense_pinn/final/tables,tables,9,1366058
walk_forward/NOx/dense_pinn/optimization/audit,audit,12,17865
walk_forward/NOx/dense_pinn/optimization/reports,reports,3,3653
walk_forward/NOx/dense_pinn/optimization/state,state,2,3690
walk_forward/NOx/dense_pinn/optimization/tables,tables,13,359079
walk_forward/NOx/xgboost/final/audit,audit,6,12182
walk_forward/NOx/xgboost/final/figures,figures,8,2027054
walk_forward/NOx/xgboost/final/reports,reports,1,1402
walk_forward/NOx/xgboost/final/state,state,1,12972
walk_forward/NOx/xgboost/final/tables,tables,11,1790225
walk_forward/NOx/xgboost/optimization/audit,audit,4,5680
walk_forward/NOx/xgboost/optimization/figures,figures,3,163520
walk_forward/NOx/xgboost/optimization/reports,reports,2,1487
walk_forward/NOx/xgboost/optimization/tables,tables,13,77139
