model_id,protocol,family,target,version,seed,relative_path,size_bytes,sha256,storage_status
dense_pinn-interpolative-co-seed126,interpolative,dense_pinn,CO,R5F_STD,126,models/dense_pinn/interpolative/CO/final_model_seed_126.pt,261215,f226546a9fc624be8b6012967212dfbaeb40d4e82da749b0593e9ab3b6962c81,LFS_REQUIRED
dense_pinn-interpolative-nox-seed84,interpolative,dense_pinn,NOx,R6F_STD,84,models/dense_pinn/interpolative/NOx/final_model_seed_84.pt,286885,aae35b5c02a41a28537bfd945aa660ba3ba8c7a9fa0647b2881ebac184e91e47,LFS_REQUIRED
tt_pinn-interpolative-co-seed126,interpolative,tt_pinn,CO,R1F_STD,126,models/tt_pinn/interpolative/CO/tt_final_model_seed_126.pt,68373,cf00d198b053777e48ffa80a9a671dba9e12a04a08ca2d894f3ce123f8558110,LFS_REQUIRED
tt_pinn-interpolative-nox-seed84,interpolative,tt_pinn,NOx,R1F_STD,84,models/tt_pinn/interpolative/NOx/tt_final_model_seed_84.pt,74829,e4724801a279d0f06184dcb952f3f8b65026ace8a028b6e0ab46b27ebf996ca1,LFS_REQUIRED
xgboost-interpolative-co-seed21,interpolative,xgboost,CO,R1F_STD,21,models/xgboost/interpolative/CO/XGBOOST_CO_INTERP_seed21.ubj,2098287,a1ea34013cadadfab22be635c8d1eb5ad024da86d7d9ba5cfefd3bb2f2630811,LFS_REQUIRED
xgboost-interpolative-co-seed42,interpolative,xgboost,CO,R1F_STD,42,models/xgboost/interpolative/CO/XGBOOST_CO_INTERP_seed42.ubj,2076456,30de869293e411dacbc7095da25c8fe55f637d610c65f4a6b03abe7d30efd6a4,LFS_REQUIRED
xgboost-interpolative-co-seed63,interpolative,xgboost,CO,R1F_STD,63,models/xgboost/interpolative/CO/XGBOOST_CO_INTERP_seed63.ubj,2075776,4e16783aa0f6450e6999f67021f0230a2570db92f1754bb18878f304b8d76fb0,LFS_REQUIRED
xgboost-interpolative-co-seed84,interpolative,xgboost,CO,R1F_STD,84,models/xgboost/interpolative/CO/XGBOOST_CO_INTERP_seed84.ubj,2065986,ddc810457fce644fcc17349f3d60ee29c367dd12d51a534b23c678d7d3c7b9c8,LFS_REQUIRED
xgboost-interpolative-co-seed105,interpolative,xgboost,CO,R1F_STD,105,models/xgboost/interpolative/CO/XGBOOST_CO_INTERP_seed105.ubj,2097271,1bc48d7ddd281a99cee00b5d1b829f94bdbba3e9fa10b1c4dfe46b1671b09ef1,LFS_REQUIRED
xgboost-interpolative-co-seed126,interpolative,xgboost,CO,R1F_STD,126,models/xgboost/interpolative/CO/XGBOOST_CO_INTERP_seed126.ubj,2066462,3315a9e88d362f4996785dd78677da5d14a2b75342aca5eb282b5c1c59d6fbd9,LFS_REQUIRED
xgboost-interpolative-co-seed147,interpolative,xgboost,CO,R1F_STD,147,models/xgboost/interpolative/CO/XGBOOST_CO_INTERP_seed147.ubj,2040285,f8a5b6a549f9d38d3e2c765976f0e8820692003ebdabf4db588ed49fec2ed18e,LFS_REQUIRED
xgboost-interpolative-co-seed168,interpolative,xgboost,CO,R1F_STD,168,models/xgboost/interpolative/CO/XGBOOST_CO_INTERP_seed168.ubj,2050687,2fc695abaeb1ef247ea1c635251fec17617fc0a66b5419fdbcebf0275ad6b2b2,LFS_REQUIRED
xgboost-interpolative-co-seed189,interpolative,xgboost,CO,R1F_STD,189,models/xgboost/interpolative/CO/XGBOOST_CO_INTERP_seed189.ubj,2064425,3dbed3a8aef0c3acfb499e7e01a59e45c1b64d74e4479a40cc4e3078b6ad45c2,LFS_REQUIRED
xgboost-interpolative-co-seed210,interpolative,xgboost,CO,R1F_STD,210,models/xgboost/interpolative/CO/XGBOOST_CO_INTERP_seed210.ubj,2087134,9b2d2d8314a8fafec74ccc34d1c64fe5b93fd0ff923fa22021fd28dc08be3379,LFS_REQUIRED
xgboost-interpolative-nox-seed42,interpolative,xgboost,NOx,R1F_STD,42,models/xgboost/interpolative/NOx/XGBOOST_NOX_INTERP_seed42.ubj,133653329,d4b11175fd623fb8089b70dd4650cbe25dd6bad31f0675e7e5d855ffb8eff68f,LFS_REQUIRED_GT_100_MIB
dense_pinn-walk_forward-co-seed21,walk_forward,dense_pinn,CO,R3F_STD,21,models/dense_pinn/walk_forward/CO/PINN_CO_WF_seed21.pt,209109,5deeb04cdbc04e3a1f8c2cdaf427c21531c4c39d8eafcc6213b7ae4643b89c07,LFS_REQUIRED
