relative_path,scope,windows_absolute_path_occurrences,colab_content_path_occurrences,disposition
configs/models/dense_pinn/interpolative/CO/final/configs/FROZEN_CONFIG_MANIFEST_CO_INTERP_R5.json,frozen_campaign_artifact,13,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
configs/models/dense_pinn/interpolative/CO/optimization/configs/FROZEN_CONFIG_MANIFEST_CO_INTERP_R5.json,frozen_campaign_artifact,13,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
configs/models/tt_pinn/interpolative/CO/final/configs/FROZEN_CONFIG_MANIFEST_CO_INTERP_R5.json,frozen_campaign_artifact,13,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
manifests/audit/notebook_inventory.csv,source_audit,183,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/00_protocol/interpolative_protocol.ipynb,executed_canonical_notebook,4,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/00_protocol/walk_forward_protocol.ipynb,executed_canonical_notebook,6,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/01_dense_pinn/CO/final.ipynb,executed_canonical_notebook,10,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/01_dense_pinn/CO/optimization.ipynb,executed_canonical_notebook,6,2,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/01_dense_pinn/NOx/final.ipynb,executed_canonical_notebook,11,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/01_dense_pinn/NOx/optimization.ipynb,executed_canonical_notebook,5,2,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/02_tt_pinn/CO/final.ipynb,executed_canonical_notebook,11,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/02_tt_pinn/NOx/final.ipynb,executed_canonical_notebook,11,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/03_xgboost/CO/final.ipynb,executed_canonical_notebook,3,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/03_xgboost/CO/optimization.ipynb,executed_canonical_notebook,2,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/03_xgboost/NOx/final.ipynb,executed_canonical_notebook,3,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/03_xgboost/NOx/optimization.ipynb,executed_canonical_notebook,2,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/04_walk_forward/CO/dense_pinn_final.ipynb,executed_canonical_notebook,10,2,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/04_walk_forward/CO/dense_pinn_optimization.ipynb,executed_canonical_notebook,8,1,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/04_walk_forward/CO/xgboost_final.ipynb,executed_canonical_notebook,2,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/04_walk_forward/CO/xgboost_optimization.ipynb,executed_canonical_notebook,1,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/04_walk_forward/NOx/dense_pinn_final.ipynb,executed_canonical_notebook,10,2,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/04_walk_forward/NOx/dense_pinn_optimization.ipynb,executed_canonical_notebook,8,1,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/04_walk_forward/NOx/xgboost_final.ipynb,executed_canonical_notebook,2,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/04_walk_forward/NOx/xgboost_optimization.ipynb,executed_canonical_notebook,1,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/05_comparison/computational_benchmark/CO/tt_addendum.ipynb,executed_canonical_notebook,28,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/05_comparison/computational_benchmark/NOx/tt_addendum.ipynb,executed_canonical_notebook,28,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/05_comparison/interpolative_latency.ipynb,executed_canonical_notebook,8,1,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
notebooks/05_comparison/interpolative_pareto.ipynb,executed_canonical_notebook,1,0,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
reports/executed/v1.0.0/00_protocol/interpolative_protocol.ipynb,executed_provenance_mirror,4,3,PRESERVED_LEGACY_REFERENCE_REQUIRES_PORTABILITY_ADAPTER
