pollutant,model_family,configuration_id,source,validation_R2,serialized_size_bytes,serialized_size_MiB,size_basis,pareto_nondominated_validation
CO,PINN densa,TRIAL_0001,OPTUNA_AUTONOMOUS_R5,0.0197853955183,582759,0.555762290955,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0002,OPTUNA_AUTONOMOUS_R5,-0.0169418173333,270887,0.258337974548,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0003,OPTUNA_AUTONOMOUS_R5,0.408529761678,167007,0.15927028656,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0004,OPTUNA_AUTONOMOUS_R5,0.719088971063,228967,0.218359947205,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0005,OPTUNA_AUTONOMOUS_R5,0.694174637451,562911,0.536833763123,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0006,OPTUNA_AUTONOMOUS_R5,0.707990436085,42079,0.0401296615601,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0007,OPTUNA_AUTONOMOUS_R5,0.74031237976,125663,0.119841575623,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0008,OPTUNA_AUTONOMOUS_R5,0.767623950375,102623,0.0978689193726,estimated_float32_parameters_plus_calibrated_final_package_overhead,True
CO,PINN densa,TRIAL_0009,OPTUNA_AUTONOMOUS_R5,0.662600077458,295783,0.28208065033,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0010,OPTUNA_AUTONOMOUS_R5,0.765680771728,318311,0.30356502533,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0011,OPTUNA_AUTONOMOUS_R5,0.451794619427,127591,0.121680259705,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0012,OPTUNA_AUTONOMOUS_R5,0.650299645959,222567,0.21225643158,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0013,OPTUNA_AUTONOMOUS_R5,0.0139584467027,208359,0.198706626892,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0014,OPTUNA_AUTONOMOUS_R5,0.690377213157,176359,0.168189048767,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0015,OPTUNA_AUTONOMOUS_R5,0.701003443282,237279,0.226286888123,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0016,OPTUNA_AUTONOMOUS_R5,0.694532212447,381407,0.363738059998,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0017,OPTUNA_AUTONOMOUS_R5,0.00218127559715,247967,0.236479759216,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0018,OPTUNA_AUTONOMOUS_R5,-0.00970195375181,91103,0.0868825912476,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0019,OPTUNA_AUTONOMOUS_R5,0.700599408575,314087,0.299536705017,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0020,OPTUNA_AUTONOMOUS_R5,0.759083329322,117919,0.112456321716,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0021,OPTUNA_AUTONOMOUS_R5,0.739337212167,46823,0.0446538925171,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0022,OPTUNA_AUTONOMOUS_R5,-0.00113219435729,203879,0.194434165955,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0023,OPTUNA_AUTONOMOUS_R5,0.462703560663,83935,0.0800466537476,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0024,OPTUNA_AUTONOMOUS_R5,-0.0355204315999,51175,0.0488042831421,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0025,OPTUNA_AUTONOMOUS_R5,0.420228536414,208231,0.19858455658,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0026,OPTUNA_AUTONOMOUS_R5,0.768032982885,141023,0.134490013123,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0027,OPTUNA_AUTONOMOUS_R5,0.76166680625,112991,0.107756614685,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0028,OPTUNA_AUTONOMOUS_R5,0.739333583602,580583,0.553687095642,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0029,OPTUNA_AUTONOMOUS_R5,0.765920606354,144607,0.137907981873,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
CO,PINN densa,TRIAL_0030,OPTUNA_AUTONOMOUS_R5,0.760121808334,191015,0.182166099548,estimated_float32_parameters_plus_calibrated_final_package_overhead,False
