pollutant,model_family,physical_variable,grid_value,pdp_prediction
CO,PINN densa,CDP,9.904600143,2.256838205
CO,PINN densa,CDP,9.953924141,2.246519488
CO,PINN densa,CDP,10.00324814,2.236290863
CO,PINN densa,CDP,10.05257214,2.226096413
CO,PINN densa,CDP,10.10189613,2.215748987
CO,PINN densa,CDP,10.15122013,2.205710771
CO,PINN densa,CDP,10.20054413,2.195720269
CO,PINN densa,CDP,10.24986813,2.185790893
CO,PINN densa,CDP,10.29919212,2.17595189
CO,PINN densa,CDP,10.34851612,2.166167479
CO,PINN densa,CDP,10.39784012,2.156447098
CO,PINN densa,CDP,10.44716412,2.146799906
CO,PINN densa,CDP,10.49648811,2.137206693
CO,PINN densa,CDP,10.54581211,2.127491686
CO,PINN densa,CDP,10.59513611,2.118036842
CO,PINN densa,CDP,10.64446011,2.108662323
CO,PINN densa,CDP,10.6937841,2.09933715
CO,PINN densa,CDP,10.7431081,2.090094955
CO,PINN densa,CDP,10.7924321,2.080919038
CO,PINN densa,CDP,10.8417561,2.071792637
CO,PINN densa,CDP,10.89108009,2.062751774
CO,PINN densa,CDP,10.94040409,2.053664821
CO,PINN densa,CDP,10.98972809,2.044738944
CO,PINN densa,CDP,11.03905209,2.035871241
CO,PINN densa,CDP,11.08837608,2.027079802
CO,PINN densa,CDP,11.13770008,2.018251259
CO,PINN densa,CDP,11.18702408,2.00958881
CO,PINN densa,CDP,11.23634808,2.000984872
CO,PINN densa,CDP,11.28567207,1.992430962
CO,PINN densa,CDP,11.33499607,1.983853989
CO,PINN densa,CDP,11.38432007,1.97543818
CO,PINN densa,CDP,11.43364407,1.967076938
CO,PINN densa,CDP,11.48296806,1.958778706
CO,PINN densa,CDP,11.53229206,1.950491225
CO,PINN densa,CDP,11.58161606,1.942299044
CO,PINN densa,CDP,11.63094006,1.934126032
CO,PINN densa,CDP,11.68026405,1.926049848
CO,PINN densa,CDP,11.72958805,1.918037672
CO,PINN densa,CDP,11.77891205,1.910044743
CO,PINN densa,CDP,11.82823605,1.902096122
CO,PINN densa,CDP,11.87756004,1.894224217
CO,PINN densa,CDP,11.92688404,1.886411376
CO,PINN densa,CDP,11.97620804,1.878640083
CO,PINN densa,CDP,12.02553204,1.870924006
CO,PINN densa,CDP,12.07485603,1.863261332
CO,PINN densa,CDP,12.12418003,1.855641612
CO,PINN densa,CDP,12.17350403,1.848066982
CO,PINN densa,CDP,12.22282803,1.840548557
CO,PINN densa,CDP,12.27215202,1.833073743
CO,PINN densa,CDP,12.32147602,1.825670006
CO,PINN densa,CDP,12.37080002,1.818286314
CO,PINN densa,CDP,12.42012402,1.810919126
CO,PINN densa,CDP,12.46944801,1.803646068
CO,PINN densa,CDP,12.51877201,1.796416951
CO,PINN densa,CDP,12.56809601,1.789188615
CO,PINN densa,CDP,12.61742001,1.782035139
CO,PINN densa,CDP,12.666744,1.774930427
CO,PINN densa,CDP,12.716068,1.767781509
CO,PINN densa,CDP,12.765392,1.76075849
CO,PINN densa,CDP,12.814716,1.753765419
CO,PINN densa,CDP,12.86403999,1.746809766
CO,PINN densa,CDP,12.91336399,1.739896102
CO,PINN densa,CDP,12.96268799,1.732943986
CO,PINN densa,CDP,13.01201199,1.72610673
CO,PINN densa,CDP,13.06133598,1.71929712
CO,PINN densa,CDP,13.11065998,1.712520253
CO,PINN densa,CDP,13.15998398,1.705717023
CO,PINN densa,CDP,13.20930798,1.699084443
CO,PINN densa,CDP,13.25863197,1.692263548
CO,PINN densa,CDP,13.30795597,1.685618183
CO,PINN densa,CDP,13.35727997,1.679012081
CO,PINN densa,CDP,13.40660397,1.672441097
CO,PINN densa,CDP,13.45592796,1.665892715
CO,PINN densa,CDP,13.50525196,1.65936001
CO,PINN densa,CDP,13.55457596,1.65288112
CO,PINN densa,CDP,13.60389996,1.646417624
CO,PINN densa,CDP,13.65322395,1.639980343
CO,PINN densa,CDP,13.70254795,1.633578737
CO,PINN densa,CDP,13.75187195,1.627056198
CO,PINN densa,CDP,13.80119595,1.620711796
CO,PINN densa,CDP,13.85051994,1.614386686
CO,PINN densa,CDP,13.89984394,1.608083497
CO,PINN densa,CDP,13.94916794,1.601807384
CO,PINN densa,CDP,13.99849194,1.595554111
CO,PINN densa,CDP,14.04781593,1.589334665
CO,PINN densa,CDP,14.09713993,1.58312738
CO,PINN densa,CDP,14.14646393,1.576955766
CO,PINN densa,CDP,14.19578793,1.570655997
CO,PINN densa,CDP,14.24511192,1.564523355
CO,PINN densa,CDP,14.29443592,1.558416635
CO,PINN densa,CDP,14.34375992,1.552455355
CO,PINN densa,CDP,14.39308392,1.546264522
CO,PINN densa,CDP,14.44240791,1.540088372
CO,PINN densa,CDP,14.49173191,1.534192966
CO,PINN densa,CDP,14.54105591,1.528055575
CO,PINN densa,CDP,14.59037991,1.522205394
CO,PINN densa,CDP,14.6397039,1.516117328
CO,PINN densa,CDP,14.6890279,1.510311063
CO,PINN densa,CDP,14.7383519,1.504254136
CO,PINN densa,CDP,14.7876759,1.498483055
CO,PINN densa,CDP,14.83699989,1.492459753
CO,TT-PINN,CDP,9.904600143,2.471221791
CO,TT-PINN,CDP,9.953924141,2.451025182
CO,TT-PINN,CDP,10.00324814,2.431064643
CO,TT-PINN,CDP,10.05257214,2.411277208
CO,TT-PINN,CDP,10.10189613,2.391197096
CO,TT-PINN,CDP,10.15122013,2.371738758
CO,TT-PINN,CDP,10.20054413,2.352541701
CO,TT-PINN,CDP,10.24986813,2.333479411
CO,TT-PINN,CDP,10.29919212,2.314656589
CO,TT-PINN,CDP,10.34851612,2.296024282
CO,TT-PINN,CDP,10.39784012,2.277574708
CO,TT-PINN,CDP,10.44716412,2.259342387
CO,TT-PINN,CDP,10.49648811,2.241300904
CO,TT-PINN,CDP,10.54581211,2.223126887
CO,TT-PINN,CDP,10.59513611,2.205484315
CO,TT-PINN,CDP,10.64446011,2.188080248
CO,TT-PINN,CDP,10.6937841,2.17090656
CO,TT-PINN,CDP,10.7431081,2.153929654
CO,TT-PINN,CDP,10.7924321,2.137121319
CO,TT-PINN,CDP,10.8417561,2.120595615
CO,TT-PINN,CDP,10.89108009,2.104183977
CO,TT-PINN,CDP,10.94040409,2.087895181
CO,TT-PINN,CDP,10.98972809,2.071902724
CO,TT-PINN,CDP,11.03905209,2.056163412
CO,TT-PINN,CDP,11.08837608,2.040626604
CO,TT-PINN,CDP,11.13770008,2.025107364
CO,TT-PINN,CDP,11.18702408,2.009996727
CO,TT-PINN,CDP,11.23634808,1.995067661
CO,TT-PINN,CDP,11.28567207,1.980325393
CO,TT-PINN,CDP,11.33499607,1.96565394
CO,TT-PINN,CDP,11.38432007,1.951328245
CO,TT-PINN,CDP,11.43364407,1.937204932
CO,TT-PINN,CDP,11.48296806,1.923250295
CO,TT-PINN,CDP,11.53229206,1.909474843
CO,TT-PINN,CDP,11.58161606,1.895982545
CO,TT-PINN,CDP,11.63094006,1.882506911
CO,TT-PINN,CDP,11.68026405,1.869426466
CO,TT-PINN,CDP,11.72958805,1.856476549
CO,TT-PINN,CDP,11.77891205,1.843639032
CO,TT-PINN,CDP,11.82823605,1.831053472
CO,TT-PINN,CDP,11.87756004,1.818689832
CO,TT-PINN,CDP,11.92688404,1.80643837
CO,TT-PINN,CDP,11.97620804,1.794436824
CO,TT-PINN,CDP,12.02553204,1.782630851
CO,TT-PINN,CDP,12.07485603,1.770970407
CO,TT-PINN,CDP,12.12418003,1.759515856
CO,TT-PINN,CDP,12.17350403,1.748200501
CO,TT-PINN,CDP,12.22282803,1.737147343
CO,TT-PINN,CDP,12.27215202,1.726207136
CO,TT-PINN,CDP,12.32147602,1.715479945
CO,TT-PINN,CDP,12.37080002,1.704944583
CO,TT-PINN,CDP,12.42012402,1.694484646
CO,TT-PINN,CDP,12.46944801,1.684346549
CO,TT-PINN,CDP,12.51877201,1.674293435
CO,TT-PINN,CDP,12.56809601,1.664370918
CO,TT-PINN,CDP,12.61742001,1.654684291
CO,TT-PINN,CDP,12.666744,1.645159079
CO,TT-PINN,CDP,12.716068,1.635704536
CO,TT-PINN,CDP,12.765392,1.626503216
CO,TT-PINN,CDP,12.814716,1.617431267
CO,TT-PINN,CDP,12.86403999,1.608545494
CO,TT-PINN,CDP,12.91336399,1.599784372
CO,TT-PINN,CDP,12.96268799,1.591107585
CO,TT-PINN,CDP,13.01201199,1.582665086
CO,TT-PINN,CDP,13.06133598,1.574365067
CO,TT-PINN,CDP,13.11065998,1.566223449
CO,TT-PINN,CDP,13.15998398,1.558081447
CO,TT-PINN,CDP,13.20930798,1.550285856
CO,TT-PINN,CDP,13.25863197,1.542382544
CO,TT-PINN,CDP,13.30795597,1.534767572
CO,TT-PINN,CDP,13.35727997,1.527266448
CO,TT-PINN,CDP,13.40660397,1.519946777
CO,TT-PINN,CDP,13.45592796,1.512698459
CO,TT-PINN,CDP,13.50525196,1.505583564
CO,TT-PINN,CDP,13.55457596,1.498598357
CO,TT-PINN,CDP,13.60389996,1.491730677
CO,TT-PINN,CDP,13.65322395,1.484945383
CO,TT-PINN,CDP,13.70254795,1.478309753
CO,TT-PINN,CDP,13.75187195,1.471589115
CO,TT-PINN,CDP,13.80119595,1.465144134
CO,TT-PINN,CDP,13.85051994,1.458821765
CO,TT-PINN,CDP,13.89984394,1.452616486
CO,TT-PINN,CDP,13.94916794,1.44646608
CO,TT-PINN,CDP,13.99849194,1.440403993
CO,TT-PINN,CDP,14.04781593,1.434488965
CO,TT-PINN,CDP,14.09713993,1.428632931
CO,TT-PINN,CDP,14.14646393,1.422882677
CO,TT-PINN,CDP,14.19578793,1.417058153
CO,TT-PINN,CDP,14.24511192,1.411478286
CO,TT-PINN,CDP,14.29443592,1.405994893
CO,TT-PINN,CDP,14.34375992,1.400660649
CO,TT-PINN,CDP,14.39308392,1.395202501
CO,TT-PINN,CDP,14.44240791,1.389813859
CO,TT-PINN,CDP,14.49173191,1.384744949
CO,TT-PINN,CDP,14.54105591,1.3794819
CO,TT-PINN,CDP,14.59037991,1.374543787
CO,TT-PINN,CDP,14.6397039,1.369468944
CO,TT-PINN,CDP,14.6890279,1.364687795
CO,TT-PINN,CDP,14.7383519,1.359698786
CO,TT-PINN,CDP,14.7876759,1.355019196
CO,TT-PINN,CDP,14.83699989,1.350211186
NOx,PINN densa,TIT,1020.799988,36.41285833
NOx,PINN densa,TIT,1021.595988,36.62672858
NOx,PINN densa,TIT,1022.391989,36.85159934
NOx,PINN densa,TIT,1023.187989,37.06850829
NOx,PINN densa,TIT,1023.983989,37.2968582
NOx,PINN densa,TIT,1024.77999,37.5267256
NOx,PINN densa,TIT,1025.57599,37.74822981
NOx,PINN densa,TIT,1026.37199,37.98127086
NOx,PINN densa,TIT,1027.167991,38.20575469
NOx,PINN densa,TIT,1027.963991,38.44187155
NOx,PINN densa,TIT,1028.759991,38.66901219
NOx,PINN densa,TIT,1029.555992,38.90780472
NOx,PINN densa,TIT,1030.351992,39.14801174
NOx,PINN densa,TIT,1031.147993,39.37907683
NOx,PINN densa,TIT,1031.943993,39.62177451
NOx,PINN densa,TIT,1032.739993,39.8550837
NOx,PINN densa,TIT,1033.535994,40.10020932
NOx,PINN densa,TIT,1034.331994,40.33588507
NOx,PINN densa,TIT,1035.127994,40.58359482
NOx,PINN densa,TIT,1035.923995,40.83245452
NOx,PINN densa,TIT,1036.719995,41.07170328
NOx,PINN densa,TIT,1037.515995,41.32318485
NOx,PINN densa,TIT,1038.311996,41.56490471
NOx,PINN densa,TIT,1039.107996,41.81884679
NOx,PINN densa,TIT,1039.903997,42.06276443
NOx,PINN densa,TIT,1040.699997,42.31861356
NOx,PINN densa,TIT,1041.495997,42.56451793
NOx,PINN densa,TIT,1042.291998,42.82243731
NOx,PINN densa,TIT,1043.087998,43.08155358
NOx,PINN densa,TIT,1043.883998,43.33051269
NOx,PINN densa,TIT,1044.679999,43.58670165
NOx,PINN densa,TIT,1045.475999,43.85034711
NOx,PINN densa,TIT,1046.272,44.11027475
NOx,PINN densa,TIT,1047.068,44.37270235
NOx,PINN densa,TIT,1047.864,44.63800811
NOx,PINN densa,TIT,1048.660001,44.90671084
NOx,PINN densa,TIT,1049.456001,45.17955957
NOx,PINN densa,TIT,1050.252001,45.45679054
NOx,PINN densa,TIT,1051.048002,45.74483944
NOx,PINN densa,TIT,1051.844002,46.03036875
NOx,PINN densa,TIT,1052.640002,46.31928001
NOx,PINN densa,TIT,1053.436003,46.6114362
NOx,PINN densa,TIT,1054.232003,46.90661877
NOx,PINN densa,TIT,1055.028004,47.20462095
NOx,PINN densa,TIT,1055.824004,47.50464252
NOx,PINN densa,TIT,1056.620004,47.81328765
NOx,PINN densa,TIT,1057.416005,48.11720864
NOx,PINN densa,TIT,1058.212005,48.42331131
NOx,PINN densa,TIT,1059.008005,48.73132954
NOx,PINN densa,TIT,1059.804006,49.04093233
NOx,PINN densa,TIT,1060.600006,49.35194736
NOx,PINN densa,TIT,1061.396006,49.66481373
