block_id,attempted_total,complete_total,pruned_total,failed_total,best_score,delta_best,top10_members,top10_overlap,leader,leader_unchanged,eligible_to_stop,stable_block,stable_streak,stop_reason
0,30,29,0,1,0.7273554189368931,,"[10,21,4,19,16,14,12,11,25]",,10,False,False,False,0,SURVEY_DIAGNOSTIC_ONLY
1,40,38,1,1,0.7273554189368931,0.0,"[10,30,21,4,19,16,14,12,11,25]",,10,True,False,False,0,
2,50,47,2,1,0.7273554189368931,0.0,"[10,30,21,4,19,16,14,12,11,25]",1.0,10,True,False,False,0,
3,60,54,5,1,0.7317232932514741,0.004367874314580966,"[59,10,30,21,4,19,16,14,12,11]",0.9,59,False,False,False,0,
4,70,63,6,1,0.7317232932514741,0.0,"[59,65,10,62,64,30,21,4,19,16]",0.7,59,True,False,False,0,
5,80,71,8,1,0.7317232932514741,0.0,"[59,65,75,10,62,74,64,30,79,21]",0.7,59,True,False,False,0,
6,90,80,9,1,0.7324368424190552,0.0007135491675810401,"[89,59,81,65,75,86,10,62,74,64]",0.7,89,False,False,False,0,
7,100,85,14,1,0.7324368424190552,0.0,"[89,59,81,97,65,75,86,10,62,74]",0.9,89,True,True,True,1,
8,110,90,19,1,0.7324368424190552,0.0,"[89,59,81,97,65,75,86,107,10,62]",0.9,89,True,True,True,2,
9,120,94,25,1,0.7324368424190552,0.0,"[89,59,81,97,65,75,116,86,107,10]",0.9,89,True,True,True,3,STOP_ADAPTIVE_STABILIZATION
