candidate,trial_number,physics_level,physics_admissible,S_pred,R2_min,R2_median,R2_mean,R2_std,R2_IQR,RMSE_mean,MAE_mean,bias_abs_mean,PCD_min_25,PCD_median,best_epoch_median,parameter_count,training_time_s,training_strategy
TRIAL_0089_CDP_NEG,89,B,True,0.7300541248604164,0.7189102092436745,0.7528621225833946,0.7686269378680959,0.04013331247616235,0.03945612503645801,0.8667750666162846,0.45887602568656755,0.04641352447794814,97.021484375,99.365234375,85.0,62977,645.410371300095,FO_ONLY
TRIAL_0081_CDP_NEG,81,B,True,0.7290672552814343,0.719065914194419,0.7510594678146716,0.7708216151030381,0.0477229508992222,0.03246188003241968,0.8621684282622691,0.4454010838394403,0.039812425421537005,97.265625,99.51171875,175.0,76033,2106.66459629999,FO_ONLY
TRIAL_0097_CDP_NEG,97,B,True,0.7265197557826537,0.7130074543733518,0.7540778796581376,0.7707459518365884,0.04582675922457458,0.027477255991231853,0.8620565011234247,0.45114132162552667,0.03901646012483653,98.73046875,100.0,55.0,35043,13573.199132999958,FO_ONLY
TRIAL_0107_CDP_NEG,107,B,True,0.7260522749075639,0.7206227881579722,0.7401566515438285,0.7618828078552298,0.0455667423589104,0.03211346493751743,0.8788733076100244,0.45176981875559963,0.03996139180429588,97.16796875,99.755859375,255.0,42209,6383.450661999992,FO_ONLY
TRIAL_0075_CDP_NEG,75,B,True,0.7251766290224176,0.7183161123131775,0.7411098073017341,0.763074367384708,0.044534172944800346,0.028841609493730935,0.876934593219409,0.4485427977161207,0.047359960924514805,98.974609375,100.0,105.0,72963,11289.856298499955,FO_ONLY
TRIAL_0086_CDP_NEG,86,A,True,0.7241767008671525,0.7102876624039233,0.7528945294892107,0.7687525320702391,0.04739508628988641,0.02675321733148317,0.8656759988018012,0.45670776070417746,0.04346380674940388,99.4140625,99.951171875,255.0,92353,30442.084423599994,FO_ONLY
TRIAL_0010_CDP_NEG,10,A,True,0.7226963626913682,0.7104251712943723,0.748440646340887,0.7667085811718388,0.04761792104705182,0.03621695774922262,0.8699428595276841,0.45313898088548443,0.04745096103889224,99.8046875,100.0,115.0,77251,23444.76377969999,FO_ONLY
TRIAL_0059_CDP_NEG,59,C,False,0.730316641804306,0.7207921851072976,0.7511968049670472,0.7684346118205602,0.04361171932242683,0.024558413589028882,0.8665164768761755,0.44876867395889464,0.039094777780176726,93.701171875,100.0,150.0,61699,10448.556917499955,FO_ONLY
TRIAL_0065_CDP_NEG,65,C,False,0.7265026440372796,0.7117583303054236,0.7558651915779542,0.7687107312839591,0.041829847477567086,0.0379034248851432,0.8663922192776308,0.4597302138592086,0.03637111646057474,85.107421875,97.216796875,165.0,25795,955.0460624999541,FO_ONLY
TRIAL_0116_CDP_NEG,116,C,False,0.7263648210357047,0.7136131566528345,0.7540481345348697,0.7694271152208345,0.04960224838540347,0.03542945313741119,0.8647939979841973,0.4515174932467966,0.03972210046474818,89.599609375,98.974609375,300.0,54913,27131.366701300005,FO_ONLY
