trial_number,status,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,val_data_loss,val_physics_loss,val_total_loss,active_cdp_pcd_pct,active_cdp_violation_pct,active_cdp_near_zero_pct,dCO_dCDP_phys_mean,dCO_dCDP_phys_median,dCO_dCDP_phys_q05,dCO_dCDP_phys_q95,g_star_cdp_mean,g_star_cdp_median,g_star_cdp_q05,g_star_cdp_q95,diagnostic_only_tit_negative_gradient_pct,diagnostic_only_tit_positive_gradient_pct,diagnostic_only_tit_near_zero_pct,diagnostic_only_dCO_dTIT_median,physics_mode,best_epoch,parameter_count,training_time_s,requested_batch_size,effective_batch_size,requested_max_epochs,physics_warmup_epochs,effective_min_epochs,stopped_epoch,stop_reason,use_lbfgs,lbfgs_outer_steps_executed,physics_evaluation_rows,physics_evaluation_sampling,physical_scale_cdp_delta_x,physical_scale_co_delta_y,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,synthetic_feature,knn_threshold,knn_k,knn_quantile,train_kth_at_protocol_quantile
0,COMPLETE,0,42,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,37080,1.4144315999983519,0.4108290672302246,0.576171875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.00030739720430927875,1.5507889265403152,1.0143672907090928,0.06891324874778867,1.0000296521063299,-0.005659225637611512,1.5509709451580305,-0.14035979576845153,-0.0001464933673144183,2.037902335572357,0.0,0.2760525643825531,8.930402373152901e-07,-0.010915964841842651,50.9765625,49.0234375,0.146484375,-0.00017229736840818077,-4.009003168903291e-05,-0.0045432294718921185,0.003748985705897212,-0.0001033592561725527,-2.404955739621073e-05,-0.00272543216124177,0.002248974284157157,50.1953125,48.779296875,1.025390625,-1.3322019185579848e-06,CDP_NEG,10,143363,1.4140101000011782,FULL_BATCH,25813,300,30,75,75,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.6649999618530273,6.109466117620462,192,192,100.0,CDP,1.4710406730757069,20,0.99,1.4710406730757069
0,COMPLETE,1,42,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,37080,1.9178973999987647,0.43427562713623047,0.615234375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.009598490622143574,1.8497136350993786,1.224194515890879,0.050756295519857206,1.0045741583194372,-0.17120174671916075,1.8421653942033862,-0.1353187231069832,-0.0004688409419088527,2.092858813397048,0.0,0.3388473093509674,1.734509351081215e-05,0.21324339509010315,52.83203125,47.16796875,0.0,-3.079004818573594e-05,-0.0007522339001297951,-0.014380192384123802,0.016416065394878387,-1.872106804512441e-05,-0.0004573733313009143,-0.008743446320295334,0.009981297887861729,47.55859375,52.34375,0.09765625,4.4553493353305385e-05,CDP_NEG,5,143363,1.9175168000001577,FULL_BATCH,27493,300,30,75,75,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.6464000701904276,5.997169941663727,192,182,94.79166666666667,CDP,1.4510426770894138,20,0.99,1.4510426770894138
0,COMPLETE,2,42,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,37080,5.263408599999821,0.4280991554260254,0.59375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.1122055336646699,1.6120192987543513,1.009587270249443,0.08424909155474866,0.9420634872083468,-0.16689954221989511,1.6036368667683654,0.4191424713413605,0.07831814586580904,1.8046233016282602,0.0,0.2719230353832245,0.0017707981169223785,-2.4333364963531494,60.791015625,39.208984375,0.0,-0.03622107952833176,-0.008677473291754723,-0.27409571409225464,0.16759930551052094,-0.0220430139452219,-0.005280838347971439,-0.16680605709552765,0.10199569165706635,56.54296875,43.359375,0.09765625,-0.0005560939898714423,CDP_NEG,295,143363,5.263052499998594,FULL_BATCH,26989,300,30,75,300,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,3.663600349426268,6.020027899742124,192,187,97.39583333333333,CDP,1.4524627365104603,20,0.99,1.4524627365104603
0,COMPLETE,3,42,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,37080,1.7930932999988727,0.4196157455444336,0.5859375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.0020126515383063204,2.124777063549704,1.34706913145363,0.06502639084518534,1.0008576873647064,-0.08231803790480326,2.1234961263616605,-0.0854331581680181,-0.0002500617937242394,2.118568671282071,0.0,0.4074624180793762,1.943138340720907e-05,0.2802886962890625,55.17578125,44.82421875,0.0,-0.0002909908362198621,-0.001097147585824132,-0.015238390304148197,0.01739674061536789,-0.0001777255820343271,-0.0006700939266011119,-0.009307000786066055,0.010625235736370087,60.302734375,39.599609375,0.09765625,-0.0002112526271957904,CDP_NEG,5,143363,1.7927165000000969,FULL_BATCH,26466,300,30,75,75,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.652750015258789,5.9806626215577126,192,191,99.47916666666667,CDP,1.4666426917497317,20,0.99,1.4666426917497317
0,COMPLETE,4,42,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,37080,1.8963055000021996,0.42868947982788086,0.59375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.0013600167086236237,1.7618537731879433,1.1437657450624101,0.055287015649430005,1.0005000413765988,-0.06034579008253828,1.7611363333374226,-0.1291004340389086,-9.237866044065886e-05,2.026133130552683,0.0,0.3273884654045105,4.787509055859118e-07,0.04066905379295349,53.515625,46.484375,0.09765625,-0.000170535669894889,-9.712387691251934e-05,-0.0031274815555661917,0.0026922577526420355,-0.00010346062481403351,-5.892313492950052e-05,-0.0018973812693729997,0.001633339561522007,53.271484375,46.044921875,0.68359375,-6.669458798569394e-06,CDP_NEG,10,143363,1.8959396000027482,FULL_BATCH,27061,300,30,75,75,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.65000057220459,6.01635006070137,192,192,100.0,CDP,1.460840537792371,20,0.99,1.460840537792371
1,COMPLETE,0,42,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,26648,1.3952822999999626,0.4108290672302246,0.576171875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.00030739720430927875,1.5507889265403152,1.0143672907090928,0.06891324874778867,1.0000296521063299,-0.005659225637611512,1.5509709451580305,-0.14035979576845153,-0.0001464933673144183,2.037902335572357,0.0,0.2760525643825531,8.930402373152901e-07,-0.010915964841842651,50.9765625,49.0234375,0.146484375,-0.00017229736840818077,-4.009003168903291e-05,-0.0045432294718921185,0.003748985705897212,-0.0001033592561725527,-2.404955739621073e-05,-0.00272543216124177,0.002248974284157157,50.1953125,48.779296875,1.025390625,-1.3322019185579848e-06,CDP_NEG,10,143363,1.394910200000595,FULL_BATCH,25813,300,30,75,75,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.6649999618530273,6.109466117620462,192,192,100.0,CDP,1.4710406730757069,20,0.99,1.4710406730757069
1,COMPLETE,1,42,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,26648,1.9730682000008528,0.43427562713623047,0.615234375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.009598490622143574,1.8497136350993786,1.224194515890879,0.050756295519857206,1.0045741583194372,-0.17120174671916075,1.8421653942033862,-0.1353187231069832,-0.0004688409419088527,2.092858813397048,0.0,0.3388473093509674,1.734509351081215e-05,0.21324339509010315,52.83203125,47.16796875,0.0,-3.079004818573594e-05,-0.0007522339001297951,-0.014380192384123802,0.016416065394878387,-1.872106804512441e-05,-0.0004573733313009143,-0.008743446320295334,0.009981297887861729,47.55859375,52.34375,0.09765625,4.4553493353305385e-05,CDP_NEG,5,143363,1.9727101000025868,FULL_BATCH,27493,300,30,75,75,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.6464000701904276,5.997169941663727,192,182,94.79166666666667,CDP,1.4510426770894138,20,0.99,1.4510426770894138
1,COMPLETE,2,42,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,26648,5.656197799999063,0.4280991554260254,0.59375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.1122055336646699,1.6120192987543513,1.009587270249443,0.08424909155474866,0.9420634872083468,-0.16689954221989511,1.6036368667683654,0.4191424713413605,0.07831814586580904,1.8046233016282602,0.0,0.2719230353832245,0.0017707981169223785,-2.4333364963531494,60.791015625,39.208984375,0.0,-0.03622107952833176,-0.008677473291754723,-0.27409571409225464,0.16759930551052094,-0.0220430139452219,-0.005280838347971439,-0.16680605709552765,0.10199569165706635,56.54296875,43.359375,0.09765625,-0.0005560939898714423,CDP_NEG,295,143363,5.655794700000115,FULL_BATCH,26989,300,30,75,300,MAX_EPOCHS,False,0,2048,deterministic_evenly_spaced_full_fold,3.663600349426268,6.020027899742124,192,187,97.39583333333333,CDP,1.4524627365104603,20,0.99,1.4524627365104603
1,COMPLETE,3,42,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,26648,1.8658342000017,0.4196157455444336,0.5859375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.0020126515383063204,2.124777063549704,1.34706913145363,0.06502639084518534,1.0008576873647064,-0.08231803790480326,2.1234961263616605,-0.0854331581680181,-0.0002500617937242394,2.118568671282071,0.0,0.4074624180793762,1.943138340720907e-05,0.2802886962890625,55.17578125,44.82421875,0.0,-0.0002909908362198621,-0.001097147585824132,-0.015238390304148197,0.01739674061536789,-0.0001777255820343271,-0.0006700939266011119,-0.009307000786066055,0.010625235736370087,60.302734375,39.599609375,0.09765625,-0.0002112526271957904,CDP_NEG,5,143363,1.8654800000003888,FULL_BATCH,26466,300,30,75,75,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.652750015258789,5.9806626215577126,192,191,99.47916666666667,CDP,1.4666426917497317,20,0.99,1.4666426917497317
1,COMPLETE,4,42,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,26648,1.9441489000018919,0.42868947982788086,0.59375,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.0013600167086236237,1.7618537731879433,1.1437657450624101,0.055287015649430005,1.0005000413765988,-0.06034579008253828,1.7611363333374226,-0.1291004340389086,-9.237866044065886e-05,2.026133130552683,0.0,0.3273884654045105,4.787509055859118e-07,0.04066905379295349,53.515625,46.484375,0.09765625,-0.000170535669894889,-9.712387691251934e-05,-0.0031274815555661917,0.0026922577526420355,-0.00010346062481403351,-5.892313492950052e-05,-0.0018973812693729997,0.001633339561522007,53.271484375,46.044921875,0.68359375,-6.669458798569394e-06,CDP_NEG,10,143363,1.9437207000009948,FULL_BATCH,27061,300,30,75,75,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,3.65000057220459,6.01635006070137,192,192,100.0,CDP,1.460840537792371,20,0.99,1.460840537792371
