trial_number,candidate,seed,fold,delta_R2,delta_RMSE,delta_MAE,delta_PCD,delta_training_time
89,TRIAL_0089_CDP_NEG,21,0,-0.690558682695145,0.8094726004076361,0.40661624551146464,-18.359375,52.14358660002472
89,TRIAL_0089_CDP_NEG,21,1,-0.5414298519440459,0.7035886802281471,0.4758815843475366,-12.98828125,58.00071489998663
89,TRIAL_0089_CDP_NEG,21,2,-0.35589269483272745,0.4968762654655704,0.3401038117868355,-15.478515625,71.99605829998472
89,TRIAL_0089_CDP_NEG,21,3,-0.3392808060434239,0.5645386065612983,0.4031586998878761,-14.990234375,73.82625889999325
89,TRIAL_0089_CDP_NEG,21,4,-0.34946926509483206,0.48622977720839844,0.34062753652353595,-10.595703125,68.93532060000871
89,TRIAL_0089_CDP_NEG,42,0,-0.6428153261540852,0.7653670736247915,0.45703790472405326,-19.921875,60.225252499993076
89,TRIAL_0089_CDP_NEG,42,1,-0.389603624728205,0.5348037073574595,0.43361017738185237,-19.82421875,63.080270299986296
89,TRIAL_0089_CDP_NEG,42,2,-3.4475404886864265,2.46756444103372,0.38886256478108105,-19.921875,55.52447689999826
89,TRIAL_0089_CDP_NEG,42,3,-0.19329401956822911,0.34533928183618,0.3156659210776523,-15.91796875,71.97355470000912
89,TRIAL_0089_CDP_NEG,42,4,-0.5716055985983245,0.7168039015788688,0.4195804319516387,-11.181640625,73.4022500999854
89,TRIAL_0089_CDP_NEG,84,0,-1.1977023877316102,1.1938056945384625,0.42209010119063706,-16.40625,90.258817000009
89,TRIAL_0089_CDP_NEG,84,1,-0.36034301404381897,0.49865244147844645,0.3727791319516549,-16.259765625,82.87607839998964
89,TRIAL_0089_CDP_NEG,84,2,-0.4074338416544707,0.5561548567141935,0.3747020563810913,-15.91796875,97.34660439998697
89,TRIAL_0089_CDP_NEG,84,3,-0.328107426102001,0.5551681803726198,0.36059548572026506,-18.408203125,86.14412589999118
89,TRIAL_0089_CDP_NEG,84,4,-0.5368163948625368,0.6812274939955727,0.4239141775535831,-17.87109375,98.69643499998347
89,TRIAL_0089_CDP_NEG,126,0,-1.0019455158012662,1.0478836114058252,0.3739408638419783,-10.595703125,99.34778879998339
89,TRIAL_0089_CDP_NEG,126,1,-0.32218070761612017,0.4538294447474185,0.36442173166251196,-15.869140625,85.57601329999306
89,TRIAL_0089_CDP_NEG,126,2,-0.2295882011709396,0.3495748917603092,0.2534524812310914,-11.71875,49.98015379998833
89,TRIAL_0089_CDP_NEG,126,3,-0.26300940439143994,0.4589458931665531,0.40391518713639535,-15.625,70.33417469999402
89,TRIAL_0089_CDP_NEG,126,4,-0.3423896933586307,0.4765699481482423,0.3384278877474363,-17.08984375,93.43465059999289
89,TRIAL_0089_CDP_NEG,168,0,-0.7804558750410151,0.8821312382235544,0.3954952957175833,-10.498046875,62.94860029999836
89,TRIAL_0089_CDP_NEG,168,1,-0.45227540285466417,0.6041493974707227,0.4380732419331192,-16.552734375,81.85846699999092
89,TRIAL_0089_CDP_NEG,168,2,-0.3768739765639686,0.5159855829029695,0.33514256268385567,-13.330078125,80.62185160000809
89,TRIAL_0089_CDP_NEG,168,3,-1.966061981703833,2.097014065023184,0.43079252377787486,-17.822265625,95.06645850000496
89,TRIAL_0089_CDP_NEG,168,4,-0.3775233762912862,0.5137024283764409,0.364984525170414,-13.916015625,92.82722490000744
81,TRIAL_0081_CDP_NEG,21,0,-0.5997813163144146,0.753985727141702,0.45390339558521414,-14.16015625,106.26863769999181
81,TRIAL_0081_CDP_NEG,21,1,-0.38230274472836345,0.5242658965332458,0.3955763135395223,-6.787109375,100.34366860002046
81,TRIAL_0081_CDP_NEG,21,2,-0.3827502372208176,0.5209702274297888,0.3456912453170425,-6.787109375,103.79658609999024
81,TRIAL_0081_CDP_NEG,21,3,-0.1748298354399268,0.3197831775102402,0.3274860781134162,-13.134765625,101.39062919999557
81,TRIAL_0081_CDP_NEG,21,4,-0.7832570701708743,0.9103157095765532,0.4406259313771799,-22.705078125,59.117002000013585
81,TRIAL_0081_CDP_NEG,42,0,-0.678426857035023,0.8222133776480293,0.48393512027401125,-13.671875,86.21223060002376
81,TRIAL_0081_CDP_NEG,42,1,-0.38913530847142486,0.5342356454611317,0.4501236221680498,-18.701171875,71.60476929998549
81,TRIAL_0081_CDP_NEG,42,2,-0.5673729046320269,0.7135333977577798,0.34610440857846725,-7.177734375,77.45032340000034
