fold,seed,delta_R2,delta_RMSE,delta_MAE,delta_bias_abs,delta_training_time,delta_PCD
0,21,0.0060812555246237965,-0.01166646378176972,0.0010982503050139814,0.03584566012293734,29.04797969997162,40.13671875
1,21,0.009451820372258446,-0.016674829776837985,-0.005429451930381024,-0.08485597905506488,20.104378800009727,46.435546875
2,21,0.0006951606822610534,-0.0012709990717481023,0.0006700004985769614,0.07349158878273823,15.859908700011143,37.548828125
3,21,-0.004254346481995519,0.008981143875521846,-0.00032699647017508937,-0.006814428011176563,13.96690980000858,52.587890625
4,21,0.0001229120327467248,-0.0002187239181523637,0.008042073578455988,-0.007686841959968785,13.84198759998981,31.25
0,42,0.004122497223015831,-0.007855354362358291,-0.006511767579626959,0.02529572316312356,22.176492200000215,75.87890625
1,42,-0.002407362523459633,0.004227588763278112,0.004095226133457586,-0.011328607987688546,13.431272300011187,48.14453125
2,42,0.0030849533636911897,-0.005548341827961933,-0.006212211915758881,0.0409576349085619,27.28534629999922,41.845703125
3,42,-0.0020481558688721924,0.004248116447458372,-0.001302126430131556,-0.003040985803203354,11.65336129999196,36.865234375
4,42,0.001539960108028815,-0.0027156008531511455,0.0023675729659782263,-0.026144505531966,9.81565500000579,26.3671875
0,84,-0.008407457167751708,0.016824416514879093,0.001123031032168209,0.006966737860311028,12.040296899991517,69.7265625
1,84,0.0034861587046256526,-0.006039009455025779,-0.019984749798365176,0.06657034709897569,17.172958000010116,58.203125
2,84,0.006013519143802326,-0.011006819075965568,-0.004053001680753121,-0.00556003062852797,18.889351300007547,42.529296875
3,84,0.0034934669776980343,-0.007441775013179441,-0.003483995261648165,-0.029971029850885605,13.255804700005683,48.193359375
4,84,0.0031793479715094275,-0.005577259615616836,0.006783568728500999,-0.07742479528361015,14.281131200019445,50.29296875
0,126,-0.0025632551814679383,0.004945984503481493,0.004435337747314139,0.03906275343061202,10.160122600012983,79.052734375
1,126,-0.004333278509595417,0.007552274260269609,0.007228202268886763,-0.017712751074003524,4.839272800003528,39.55078125
2,126,0.0015461552527312739,-0.0028722096269860886,-0.009695368122403403,0.03267216299470058,19.893396400009806,48.33984375
3,126,-0.0009039895969549239,0.0019201725161526184,0.003559937223805265,-0.018028552573120235,14.232317300011342,47.705078125
4,126,0.0011477832603588034,-0.0020301662303997547,0.0025557931137923373,0.007234378551914427,11.088836100010667,37.890625
0,168,-0.0016470396565726464,0.003188840416866623,-0.0017678301101403116,-0.07754623248968978,11.23980190000293,70.751953125
1,168,0.009925380525034555,-0.01724855744659126,-0.02851748788336511,0.05870464986481633,14.906959800013283,50.0
2,168,-0.0010294738609889498,0.001860007829515009,-0.017800279759934978,0.07342662734269094,14.458870700000261,65.673828125
3,168,0.0013620496931956438,-0.0028810014128144434,0.0005453402701831589,0.03056590277579653,11.371515899998485,45.947265625
4,168,0.0020116792086299906,-0.0035272230247530567,-0.015091807881220332,0.0007406699591772092,11.484578599993256,34.326171875
