trial,step,folds_completed,screening_score,screening_pcd_min,decision,reason,fold_trainings_avoided
0,2,2,-0.0302165453594684,50.9765625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
0,5,5,-0.0302165453594684,50.9765625,COMPLETE_FIVE_FOLDS,promotion_completed,0
1,2,2,-0.0302165453594684,50.9765625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
1,5,5,-0.0302165453594684,50.9765625,COMPLETE_FIVE_FOLDS,promotion_completed,0
2,2,2,-0.0417289505585484,50.1953125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
2,5,5,-0.0417289505585484,50.1953125,COMPLETE_FIVE_FOLDS,promotion_completed,0
3,2,2,0.3742567226227381,64.35546875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
3,5,5,0.3742567226227381,64.35546875,COMPLETE_FIVE_FOLDS,promotion_completed,0
4,2,2,0.6827780193296259,98.33984375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
4,5,5,0.6827780193296259,98.33984375,COMPLETE_FIVE_FOLDS,promotion_completed,0
5,2,2,0.6888628139452823,94.189453125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
5,5,5,0.6888628139452823,94.189453125,COMPLETE_FIVE_FOLDS,promotion_completed,0
6,2,2,0.682255671440269,96.728515625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
6,5,5,0.682255671440269,96.728515625,COMPLETE_FIVE_FOLDS,promotion_completed,0
7,2,2,0.6870031138801147,92.138671875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
7,5,5,0.6870031138801147,92.138671875,COMPLETE_FIVE_FOLDS,promotion_completed,0
8,2,2,0.7159603174512076,50.927734375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
8,5,5,0.7159603174512076,50.927734375,COMPLETE_FIVE_FOLDS,promotion_completed,0
9,2,2,0.611300990980799,90.625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
9,5,5,0.611300990980799,90.625,COMPLETE_FIVE_FOLDS,promotion_completed,0
10,2,2,0.7382118920975524,99.90234375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
10,5,5,0.7382118920975524,99.90234375,COMPLETE_FIVE_FOLDS,promotion_completed,0
11,2,2,0.4338264291273853,97.412109375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
11,5,5,0.4338264291273853,97.412109375,COMPLETE_FIVE_FOLDS,promotion_completed,0
12,2,2,0.640063282060402,100.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
12,5,5,0.640063282060402,100.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
13,2,2,-0.0465527986498288,47.55859375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
13,5,5,-0.0465527986498288,47.55859375,COMPLETE_FIVE_FOLDS,promotion_completed,0
14,2,2,0.6751422731939001,97.0703125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
14,5,5,0.6751422731939001,97.0703125,COMPLETE_FIVE_FOLDS,promotion_completed,0
15,2,2,0.6718062309205247,86.865234375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
15,5,5,0.6718062309205247,86.865234375,COMPLETE_FIVE_FOLDS,promotion_completed,0
16,2,2,0.6745283393545862,100.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
16,5,5,0.6745283393545862,100.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
17,2,2,-0.0518340322462148,48.486328125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
17,5,5,-0.0518340322462148,48.486328125,COMPLETE_FIVE_FOLDS,promotion_completed,0
18,2,2,-0.0460466425547611,49.51171875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
18,5,5,-0.0460466425547611,49.51171875,COMPLETE_FIVE_FOLDS,promotion_completed,0
19,2,2,0.6677389630487889,100.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
19,5,5,0.6677389630487889,100.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
20,2,2,0.7246425613707705,97.265625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
20,5,5,0.7246425613707705,97.265625,COMPLETE_FIVE_FOLDS,promotion_completed,0
21,2,2,0.6945767510779174,99.267578125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
21,5,5,0.6945767510779174,99.267578125,COMPLETE_FIVE_FOLDS,promotion_completed,0
22,2,2,-0.0849122811057231,50.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
22,5,5,-0.0849122811057231,50.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
23,2,2,0.3782281219996173,56.787109375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
23,5,5,0.3782281219996173,56.787109375,COMPLETE_FIVE_FOLDS,promotion_completed,0
24,2,2,-0.092133205350187,48.53515625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
24,5,5,-0.092133205350187,48.53515625,COMPLETE_FIVE_FOLDS,promotion_completed,0
25,2,2,0.4081111229741949,100.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
25,5,5,0.4081111229741949,100.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
26,2,2,0.7189845050306449,48.046875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
26,5,5,0.7189845050306449,48.046875,COMPLETE_FIVE_FOLDS,promotion_completed,0
27,2,2,0.7112148204004745,50.830078125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
27,5,5,0.7112148204004745,50.830078125,COMPLETE_FIVE_FOLDS,promotion_completed,0
28,2,2,0.6842026289545512,89.794921875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
28,5,5,0.6842026289545512,89.794921875,COMPLETE_FIVE_FOLDS,promotion_completed,0
29,2,2,0.7132690479163175,41.40625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
29,5,5,0.7132690479163175,41.40625,COMPLETE_FIVE_FOLDS,promotion_completed,0
30,2,2,0.7294731491054742,99.951171875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
30,5,5,0.7294731491054742,99.951171875,COMPLETE_FIVE_FOLDS,promotion_completed,0
31,2,2,0.7176530388678326,71.923828125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
31,5,5,0.7176530388678326,71.923828125,COMPLETE_FIVE_FOLDS,promotion_completed,0
32,2,2,0.7164211451776727,44.23828125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
32,5,5,0.7164211451776727,44.23828125,COMPLETE_FIVE_FOLDS,promotion_completed,0
33,2,2,0.7144391386691065,37.158203125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
33,5,5,0.7144391386691065,37.158203125,COMPLETE_FIVE_FOLDS,promotion_completed,0
34,2,2,0.71827423957753,65.869140625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
34,5,5,0.71827423957753,65.869140625,COMPLETE_FIVE_FOLDS,promotion_completed,0
35,2,2,0.6860739636774996,72.75390625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
35,5,5,0.6860739636774996,72.75390625,COMPLETE_FIVE_FOLDS,promotion_completed,0
36,2,2,0.7140618196182634,34.619140625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
36,5,5,0.7140618196182634,34.619140625,COMPLETE_FIVE_FOLDS,promotion_completed,0
37,2,2,0.7138734366216166,42.724609375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
37,5,5,0.7138734366216166,42.724609375,COMPLETE_FIVE_FOLDS,promotion_completed,0
38,2,2,0.7181028554178321,63.037109375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
38,5,5,0.7181028554178321,63.037109375,COMPLETE_FIVE_FOLDS,promotion_completed,0
39,2,2,0.6532864531099675,20.80078125,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
40,2,2,0.7141306866126351,69.287109375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
40,5,5,0.7141306866126351,69.287109375,COMPLETE_FIVE_FOLDS,promotion_completed,0
41,2,2,0.6900355627958613,63.671875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
41,5,5,0.6900355627958613,63.671875,COMPLETE_FIVE_FOLDS,promotion_completed,0
42,2,2,0.7046105436097567,63.037109375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
42,5,5,0.7046105436097567,63.037109375,COMPLETE_FIVE_FOLDS,promotion_completed,0
43,2,2,0.7048991360403383,47.36328125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
43,5,5,0.7048991360403383,47.36328125,COMPLETE_FIVE_FOLDS,promotion_completed,0
44,2,2,0.71431958232252,46.09375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
44,5,5,0.71431958232252,46.09375,COMPLETE_FIVE_FOLDS,promotion_completed,0
45,2,2,0.7289776435907622,75.78125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
45,5,5,0.7289776435907622,75.78125,COMPLETE_FIVE_FOLDS,promotion_completed,0
46,2,2,0.7320604027782127,61.767578125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
46,5,5,0.7320604027782127,61.767578125,COMPLETE_FIVE_FOLDS,promotion_completed,0
47,2,2,0.709741274621162,52.24609375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
47,5,5,0.709741274621162,52.24609375,COMPLETE_FIVE_FOLDS,promotion_completed,0
48,2,2,0.4534425014269831,97.75390625,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
49,2,2,0.7356133310141022,75.09765625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
49,5,5,0.7356133310141022,75.09765625,COMPLETE_FIVE_FOLDS,promotion_completed,0
50,2,2,0.7278560885738622,89.6484375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
50,5,5,0.7278560885738622,89.6484375,COMPLETE_FIVE_FOLDS,promotion_completed,0
51,2,2,0.7252541177445468,78.515625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
51,5,5,0.7252541177445468,78.515625,COMPLETE_FIVE_FOLDS,promotion_completed,0
52,2,2,0.7262575421555397,69.921875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
52,5,5,0.7262575421555397,69.921875,COMPLETE_FIVE_FOLDS,promotion_completed,0
53,2,2,0.7382915720137049,72.802734375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
53,5,5,0.7382915720137049,72.802734375,COMPLETE_FIVE_FOLDS,promotion_completed,0
54,2,2,-0.0388906349975563,50.146484375,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
55,2,2,0.7297152049169893,69.384765625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
55,5,5,0.7297152049169893,69.384765625,COMPLETE_FIVE_FOLDS,promotion_completed,0
56,2,2,0.7331903075241961,76.07421875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
56,5,5,0.7331903075241961,76.07421875,COMPLETE_FIVE_FOLDS,promotion_completed,0
57,2,2,0.6541383792102491,67.48046875,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
58,2,2,0.6672090879456307,70.556640625,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
59,2,2,0.741892134067642,99.70703125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
59,5,5,0.741892134067642,99.70703125,COMPLETE_FIVE_FOLDS,promotion_completed,0
60,2,2,0.2971230502380714,53.076171875,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
61,2,2,0.7399861518576636,97.75390625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
61,5,5,0.7399861518576636,97.75390625,COMPLETE_FIVE_FOLDS,promotion_completed,0
62,2,2,0.7394500743467838,100.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
62,5,5,0.7394500743467838,100.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
63,2,2,0.7301779247782819,78.466796875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
63,5,5,0.7301779247782819,78.466796875,COMPLETE_FIVE_FOLDS,promotion_completed,0
64,2,2,0.7333270859176726,100.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
64,5,5,0.7333270859176726,100.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
65,2,2,0.7374659385836213,96.09375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
65,5,5,0.7374659385836213,96.09375,COMPLETE_FIVE_FOLDS,promotion_completed,0
66,2,2,0.717013240801639,58.447265625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
66,5,5,0.717013240801639,58.447265625,COMPLETE_FIVE_FOLDS,promotion_completed,0
67,2,2,0.7370867567484256,80.126953125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
67,5,5,0.7370867567484256,80.126953125,COMPLETE_FIVE_FOLDS,promotion_completed,0
68,2,2,0.7267291471517816,57.32421875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
68,5,5,0.7267291471517816,57.32421875,COMPLETE_FIVE_FOLDS,promotion_completed,0
69,2,2,0.7279931594052728,74.267578125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
69,5,5,0.7279931594052728,74.267578125,COMPLETE_FIVE_FOLDS,promotion_completed,0
70,2,2,0.6766458049989139,96.09375,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
71,2,2,0.7265348606250288,75.78125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
71,5,5,0.7265348606250288,75.78125,COMPLETE_FIVE_FOLDS,promotion_completed,0
72,2,2,0.717344900616101,71.875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
72,5,5,0.717344900616101,71.875,COMPLETE_FIVE_FOLDS,promotion_completed,0
73,2,2,0.430580836820818,61.669921875,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
74,2,2,0.7333612698241018,99.8046875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
74,5,5,0.7333612698241018,99.8046875,COMPLETE_FIVE_FOLDS,promotion_completed,0
75,2,2,0.7440441684818799,100.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
75,5,5,0.7440441684818799,100.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
76,2,2,0.7409272160955648,89.84375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
76,5,5,0.7409272160955648,89.84375,COMPLETE_FIVE_FOLDS,promotion_completed,0
77,2,2,0.7373703922661213,85.302734375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
77,5,5,0.7373703922661213,85.302734375,COMPLETE_FIVE_FOLDS,promotion_completed,0
78,2,2,0.7487980488330477,94.43359375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
78,5,5,0.7487980488330477,94.43359375,COMPLETE_FIVE_FOLDS,promotion_completed,0
79,2,2,0.7314324333331358,97.607421875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
79,5,5,0.7314324333331358,97.607421875,COMPLETE_FIVE_FOLDS,promotion_completed,0
80,2,2,0.7280284064991148,92.67578125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
80,5,5,0.7280284064991148,92.67578125,COMPLETE_FIVE_FOLDS,promotion_completed,0
81,2,2,0.7443613117462714,97.509765625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
81,5,5,0.7443613117462714,97.509765625,COMPLETE_FIVE_FOLDS,promotion_completed,0
82,2,2,0.7051789344541999,87.353515625,PRUNED_AFTER_TWO_FOLDS,median_pruner,3
83,2,2,0.7325643895171575,87.158203125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
83,5,5,0.7325643895171575,87.158203125,COMPLETE_FIVE_FOLDS,promotion_completed,0
84,2,2,0.7238250800388608,99.853515625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
84,5,5,0.7238250800388608,99.853515625,COMPLETE_FIVE_FOLDS,promotion_completed,0
85,2,2,0.7424167451797057,92.919921875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
85,5,5,0.7424167451797057,92.919921875,COMPLETE_FIVE_FOLDS,promotion_completed,0
86,2,2,0.7377626646858766,100.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
86,5,5,0.7377626646858766,100.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
87,2,2,0.7343151697662366,95.99609375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
87,5,5,0.7343151697662366,95.99609375,COMPLETE_FIVE_FOLDS,promotion_completed,0
88,2,2,0.7263616331854971,79.1015625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
88,5,5,0.7263616331854971,79.1015625,COMPLETE_FIVE_FOLDS,promotion_completed,0
89,2,2,0.7409370190665151,99.51171875,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
89,5,5,0.7409370190665151,99.51171875,COMPLETE_FIVE_FOLDS,promotion_completed,0
