rank,tt_parameters,dense_parameters,parameter_fraction,estimated_tt_state_dict_bytes,dense_state_dict_bytes,state_dict_fraction,eligible
1,2682,62977,0.042586976197659464,20035,255743,0.07834036513218348,True
2,2961,62977,0.04701716499674485,21187,255743,0.08284488725009091,True
3,3398,62977,0.05395620623402195,22659,255743,0.08860066551186152,True
4,3993,62977,0.06340409990949077,25347,255743,0.09911121712031219,True
5,4746,62977,0.07536084602315131,28163,255743,0.11012227118630813,True
6,5657,62977,0.08982644457500358,31939,255743,0.1248870936838936,True
7,6726,62977,0.10680089556504756,36035,255743,0.14090317232534225,True
8,7953,62977,0.12628419899328328,41283,255743,0.1614237730846983,True
9,9338,62977,0.1482763548597107,46723,255743,0.1826951275303723,True
10,10881,62977,0.17277736316432984,52931,255743,0.2069694967213179,True
11,12582,62977,0.1997872239071407,59459,255743,0.23249512205612666,True
12,14441,62977,0.22930593708814329,67203,255743,0.2627755207376155,False
13,16458,62977,0.2613335027073376,75075,255743,0.2935564218766496,False
14,18633,62977,0.2958699207647236,83907,255743,0.3280910914472732,False
15,20966,62977,0.3329151912603014,93059,255743,0.3638770171617601,False
16,23457,62977,0.37246931419407087,103299,255743,0.40391721376538164,False
17,26106,62977,0.41453228956603205,113795,255743,0.4449584152840938,False
18,28913,62977,0.45910411737618495,125059,255743,0.48900263154807755,False
19,31878,62977,0.5061847976245296,136643,255743,0.5342981039559245,False
20,35001,62977,0.5557743303110659,149443,255743,0.5843483497104515,False
21,38282,62977,0.607872715435794,162371,255743,0.6348990979225237,False
22,41721,62977,0.6624799529987138,176259,255743,0.6892036145661856,False
23,45318,62977,0.7195960429998254,190467,255743,0.7447593873537106,False
24,49073,62977,0.7792209854391285,205763,255743,0.8045694310303704,False
25,52986,62977,0.8413547803166235,221315,255743,0.8653804796221206,False
26,57057,62977,0.9059974276323102,237635,255743,0.9291945429591426,False
27,61286,62977,0.9731489273861886,254275,255743,0.9942598624400277,False
28,65673,62977,1.0428092795782586,272131,255743,1.0640799552675928,False
29,70218,62977,1.1149784842085206,290115,255743,1.1344005505527033,False
30,74921,62977,1.1896565412769742,309059,255743,1.2084749142694033,False
31,79782,62977,1.2668434507836195,328323,255743,1.2838005341299663,False
32,84801,62977,1.3465392127284563,348675,255743,1.3633804248796644,False
33,89978,62977,1.4287438271114852,369283,255743,1.4439613205444528,False
34,95313,62977,1.5134572939327056,390659,255743,1.527545230954513,False
35,100806,62977,1.6006796131921177,412355,255743,1.6123803975084363,False
36,106457,62977,1.6904107848897216,435267,255743,1.7019703374090396,False
37,112266,62977,1.7826508090255173,458307,255743,1.7920607797671881,False
38,118233,62977,1.8773996855995045,482307,255743,1.8859049905569263,False
39,124358,62977,1.9746574146116835,506627,255743,1.9810004574905276,False
40,130641,62977,2.0744239960620545,532035,255743,2.080350195313264,False
41,137082,62977,2.176699429950617,557699,255743,2.1807009380510904,False
42,143681,62977,2.281483716277371,584131,255743,2.2840546955341887,False
43,150438,62977,2.388776855042317,610883,255743,2.38865970916115,False
44,157353,62977,2.498578846245455,638851,255743,2.4980194961347917,False
45,164426,62977,2.610889689886784,666947,255743,2.6078797855659785,False
46,171657,62977,2.7257093859663053,696003,255743,2.7214938434287546,False
47,179046,62977,2.843037934484018,725379,255743,2.836359157435394,False
48,186593,62977,2.9628753354399224,755843,255743,2.9554787423311684,False
49,194298,62977,3.0852215888340186,786563,255743,3.0755993321420334,False
50,202161,62977,3.2100766946663066,818051,255743,3.1987229366981698,False
51,210182,62977,3.3374406529367864,849859,255743,3.3230977973981695,False
52,218361,62977,3.467313463645458,882883,255743,3.452227431444849,False
53,226698,62977,3.599695126792321,916035,255743,3.581857567949074,False
54,235193,62977,3.734585642377376,950147,255743,3.7152414728848884,False
55,243846,62977,3.8719850104006226,984579,255743,3.849876633964566,False
56,252657,62977,4.011893230862061,1020099,255743,3.9887660659333783,False
57,261626,62977,4.154310303761691,1055875,255743,4.1286565028172815,False
58,270753,62977,4.299236229099512,1092419,255743,4.271549954446456,False
59,280038,62977,4.446671006875526,1129283,255743,4.415694662219494,False
60,289481,62977,4.596614637089731,1167363,255743,4.564594143339211,False
61,299082,62977,4.749067119742128,1205571,255743,4.713994126916475,False
62,308841,62977,4.904028454832717,1244739,255743,4.867147878925327,False
63,318758,62977,5.061498642361497,1284227,255743,5.021552887078043,False
64,328833,62977,5.221477682328469,1324803,255743,5.180212166119894,False
