seed,N_DEV,n_estimators,elapsed_seconds,model_bytes,model_sha256
21,29845,320,1.0332123000407591,2098287,a1ea34013cadadfab22be635c8d1eb5ad024da86d7d9ba5cfefd3bb2f2630811
42,29845,320,1.0366339000174776,2076456,30de869293e411dacbc7095da25c8fe55f637d610c65f4a6b03abe7d30efd6a4
63,29845,320,0.9867757000029087,2075776,4e16783aa0f6450e6999f67021f0230a2570db92f1754bb18878f304b8d76fb0
84,29845,320,1.0284464999567717,2065986,ddc810457fce644fcc17349f3d60ee29c367dd12d51a534b23c678d7d3c7b9c8
105,29845,320,1.0239754999638535,2097271,1bc48d7ddd281a99cee00b5d1b829f94bdbba3e9fa10b1c4dfe46b1671b09ef1
126,29845,320,1.004034399986267,2066462,3315a9e88d362f4996785dd78677da5d14a2b75342aca5eb282b5c1c59d6fbd9
147,29845,320,1.018026900012046,2040285,f8a5b6a549f9d38d3e2c765976f0e8820692003ebdabf4db588ed49fec2ed18e
168,29845,320,0.9986056999769062,2050687,2fc695abaeb1ef247ea1c635251fec17617fc0a66b5419fdbcebf0275ad6b2b2
189,29845,320,1.0196605999954045,2064425,3dbed3a8aef0c3acfb499e7e01a59e45c1b64d74e4479a40cc4e3078b6ad45c2
210,29845,320,0.9952612000051886,2087134,9b2d2d8314a8fafec74ccc34d1c64fe5b93fd0ff923fa22021fd28dc08be3379
