trial_number,candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
0,OPTUNA_0000,0,42,25813,4032,15,16,72910,36463,2490525,2.9837113,0.7963140808,0.6997879415,0.4472475576,-0.0058277344,0.0,3.96909,1.4956299109,0.8578369078,-0.458951096
0,OPTUNA_0000,3,42,26466,3379,23,24,97342,48683,3326485,3.2378437,0.7377748419,1.0869609646,0.5517733945,-0.0355673742,0.0,4.67896,2.8290645187,1.2794427815,-1.0933605142
0,OPTUNA_0000,1,42,27493,2352,12,13,64341,32177,2197200,3.0854966,0.6837307949,1.0352818667,0.5324534858,-0.1170882535,0.0,4.52935,2.7058847372,1.287893915,-1.0558023106
0,OPTUNA_0000,2,42,26989,2856,16,17,79711,39864,2722418,3.0413953,0.7489017352,0.8573060263,0.5066838378,-0.0778675491,0.0,4.35905,2.1044911925,1.2826592463,-1.1183943794
0,OPTUNA_0000,4,42,27061,2784,11,12,59700,29856,2038749,2.9533614,0.7060068352,0.9546481934,0.5287891967,-0.0093744832,0.0,4.38449,2.3678167557,1.1423258953,-0.851352943
1,OPTUNA_0001,0,42,25813,4032,443,444,94640,47542,3511551,2.9423966,0.832494456,0.6346006957,0.4198130547,0.0586097521,0.0,3.96909,1.2732839469,0.7363384219,-0.3465255714
1,OPTUNA_0001,3,42,26466,3379,717,718,123362,62040,4668833,4.1530812,0.7378559604,1.0867928277,0.5192212942,0.0357841359,0.0,4.67896,2.8286487217,1.1167989372,-0.9230472996
1,OPTUNA_0001,1,42,27493,2352,385,386,89804,45095,3308879,2.6798762,0.7062651901,0.9977181258,0.5110261037,-0.0086359508,0.0,4.52935,2.5696450806,1.0403894706,-0.741346066
1,OPTUNA_0001,2,42,26989,2856,484,485,98545,49515,3671372,3.1175335,0.7760484887,0.8096382539,0.4968257283,0.0117272694,0.0,4.35905,1.9233968497,1.130899428,-0.892245697
1,OPTUNA_0001,4,42,27061,2784,736,737,126987,63862,4804611,4.2191949,0.7190731922,0.933192695,0.5229379487,0.1211420846,0.0,4.38449,2.2313125379,0.9386797815,-0.410755138
2,OPTUNA_0002,0,42,25813,4032,37,38,42110,21074,1457808,1.6213774,0.8414767826,0.6173513329,0.4089739227,0.0437135676,0.0,3.96909,1.247154918,0.7193601557,-0.3330913033
2,OPTUNA_0002,3,42,26466,3379,252,253,329823,165038,11381970,4.3796429,0.7344367261,1.0938575706,0.5221613441,0.0195438961,0.0,4.67896,2.8544690463,1.1581731612,-0.9619084079
2,OPTUNA_0002,1,42,27493,2352,57,58,62248,31153,2155667,1.7190974,0.7033430137,1.0026686678,0.510868428,-0.0197800977,0.0,4.52935,2.5751307174,1.0525004192,-0.7405205078
2,OPTUNA_0002,2,42,26989,2856,47,48,53326,26687,1845741,1.7823489,0.7857064373,0.7919879672,0.4824227053,-0.0139160639,0.0,4.35905,1.8848634597,1.0914177389,-0.8800714237
2,OPTUNA_0002,4,42,27061,2784,28,29,33905,16967,1172910,1.6051649,0.71952877,0.9324357106,0.5295181074,0.1188323373,0.0,4.38449,2.2196420957,0.9436949096,-0.5136960568
3,OPTUNA_0003,0,42,25813,4032,24,25,3943,1984,151546,0.6058371,0.8282825871,0.6425295702,0.4215712126,0.0575004225,0.0,3.96909,1.2836504386,0.7333703252,-0.3642677166
3,OPTUNA_0003,3,42,26466,3379,45,46,5888,2967,231477,0.6869281,0.7325287574,1.0977800082,0.5345767605,0.0332774691,0.0,4.67896,2.8493482487,1.1324319118,-0.9143563651
3,OPTUNA_0003,1,42,27493,2352,19,20,3706,1863,140205,0.5610629,0.697838171,1.0119287947,0.5256309065,-0.0063743459,0.0,4.52935,2.5783028409,1.0396521799,-0.7974417424
3,OPTUNA_0003,2,42,26989,2856,52,53,6643,3348,261754,0.7316798,0.7741707797,0.8130253524,0.5020157647,0.0115151683,0.0,4.35905,1.9147189612,1.1160248688,-0.8464199555
