check,pass,status
scaler_fold_train_only,True,PASS
physics_sample_full_fold,True,PASS
single_constraint_declared,True,PASS
knn_loaded_from_protocol,True,PASS
gradient_units_and_positive_sign,True,PASS
tit_inequality_tolerance_includes_zero,True,PASS
cdp_diagnostic_is_finite_and_non_restrictive,True,PASS
negative_gradient_penalized_only,True,PASS
dropout_physics_deterministic,True,PASS
synthetic_tit_envelope,True,PASS
model_reproducible,True,PASS
serialization,True,PASS
early_stop_warmup_floor_800_half,True,PASS
r6_confirmation_contract,True,PASS
r6_worker_contract,True,PASS
r6_test_closed,True,PASS
parameter_budget_base,True,PASS
artifact_atomic_write,True,PASS
