trial_number,status,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,val_data_loss,val_physics_loss,val_total_loss,active_tit_pcd_pct,active_tit_violation_pct,active_tit_near_zero_pct,dNOx_dTIT_phys_mean,dNOx_dTIT_phys_median,dNOx_dTIT_phys_q05,dNOx_dTIT_phys_q95,g_star_tit_mean,g_star_tit_median,g_star_tit_q05,g_star_tit_q95,diagnostic_only_cdp_negative_gradient_pct,diagnostic_only_cdp_positive_gradient_pct,diagnostic_only_cdp_near_zero_pct,diagnostic_only_dNOx_dCDP_median,physics_mode,best_epoch,parameter_count,training_time_s,requested_batch_size,effective_batch_size,requested_max_epochs,physics_warmup_epochs,effective_min_epochs,stopped_epoch,stop_reason,use_lbfgs,lbfgs_outer_steps_executed,physics_evaluation_rows,physics_evaluation_sampling,physical_scale_tit_delta_x,physical_scale_nox_delta_y,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,synthetic_feature,knn_threshold,knn_k,knn_quantile,train_kth_at_protocol_quantile
0,COMPLETE,0,42,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,25940,3.046698300007847,0.41054725646972656,0.580078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.08971002357487334,11.085725823451485,8.975840362291487,0.14354727818772695,1.0437623092409698,3.6417519970545693,10.471779045992045,0.21077929883916344,0.017320847032082917,63.744772847129454,0.0,0.4185165762901306,0.0024858710821717978,-0.2780427932739258,53.466796875,46.533203125,0.0,0.00414367625489831,0.0046350592747330666,-0.08401548862457275,0.08923511207103729,0.006113814655691385,0.0068388283252716064,-0.1239611953496933,0.1316625326871872,48.486328125,51.513671875,0.0,0.043420903384685516,TIT_INC,40,143363,3.0463579000061145,FULL_BATCH,25813,300,30,75,100,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,54.0999755859375,36.66660079956054,192,192,100.0,TIT,1.4710406730757069,20,0.99,1.4710406730757069
0,COMPLETE,1,42,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,43588,2.731935399991926,0.4339909553527832,0.611328125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.004849662177209613,10.175490491663783,8.148382895657805,0.13420589612997938,1.002208775743849,-0.70486889891073,10.153206209943624,-0.03468622663194446,-1.3862937002661095e-05,65.78969617725541,0.0,0.3217647671699524,2.5083093646571797e-07,0.21560081839561462,46.77734375,53.22265625,0.1953125,-1.5147851627261844e-05,-4.70739760203287e-05,-0.0007682215655222535,0.000816890096757561,-2.191635940107517e-05,-6.810802005929872e-05,-0.0011114856461063027,0.0011819007340818644,53.955078125,46.044921875,0.0,-0.0006296064238995314,TIT_INC,5,143363,2.731543900008546,FULL_BATCH,27493,300,30,75,75,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,53.699951171875,37.11560134887693,192,183,95.3125,TIT,1.4510426770894138,20,0.99,1.4510426770894138
2,COMPLETE,0,42,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,15872,1.6415371999901254,0.4108290672302246,0.57421875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.08971002357487334,11.085725823451485,8.975840362291487,0.14354727818772695,1.0437623092409698,3.6417519970545693,10.471779045992045,0.21077929883916344,0.017320847032082917,63.744772847129454,0.0,0.4185165762901306,0.0024858710821717978,-0.2780427932739258,53.466796875,46.533203125,0.0,0.00414367625489831,0.0046350592747330666,-0.08401548862457275,0.08923511207103729,0.006113814655691385,0.0068388283252716064,-0.1239611953496933,0.1316625326871872,48.486328125,51.513671875,0.0,0.043420903384685516,TIT_INC,40,143363,1.641138500010129,FULL_BATCH,25813,300,30,75,100,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,54.0999755859375,36.66660079956054,192,192,100.0,TIT,1.4710406730757069,20,0.99,1.4710406730757069
2,COMPLETE,1,42,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,15872,1.8424559999984922,0.43427562713623047,0.61328125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.004849662177209613,10.175490491663783,8.148382895657805,0.13420589612997938,1.002208775743849,-0.70486889891073,10.153206209943624,-0.03468622663194446,-1.3862937002661095e-05,65.78969617725541,0.0,0.3217647671699524,2.5083093646571797e-07,0.21560081839561462,46.77734375,53.22265625,0.1953125,-1.5147851627261844e-05,-4.70739760203287e-05,-0.0007682215655222535,0.000816890096757561,-2.191635940107517e-05,-6.810802005929872e-05,-0.0011114856461063027,0.0011819007340818644,53.955078125,46.044921875,0.0,-0.0006296064238995314,TIT_INC,5,143363,1.8420746000047075,FULL_BATCH,27493,300,30,75,75,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,53.699951171875,37.11560134887693,192,183,95.3125,TIT,1.4510426770894138,20,0.99,1.4510426770894138
3,COMPLETE,0,42,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,15872,42.30865310000081,0.07333040237426758,0.09765625,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.28932756795356074,12.058416897893023,10.062284517855872,0.15614249824613774,1.1353447909120784,5.71067349021397,10.621751640908528,-0.0075137262506938425,-5.2762422860218026e-05,66.8763060871217,0.0,1.030103087425232,0.0007103551179170609,0.9865212440490723,49.169921875,50.830078125,0.0,-0.0010506673716008663,-0.0004379513266030699,-0.04118846729397774,0.03813832253217697,-0.0015502138994634151,-0.0006461781449615955,-0.06077178940176964,0.05627143755555153,48.388671875,51.611328125,0.0,0.030894868075847626,TIT_INC,1,65395,42.308019699994475,512,512,200,100,100,100,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,54.0999755859375,36.66660079956054,1280,1275,99.609375,TIT,1.4710406730757069,20,0.99,1.4710406730757069
3,COMPLETE,1,42,27493,2352,db92a7db6dfa639d2026ff19c5b1159be2b53d1e09d9e6a72b1b767a05c21400,2ea764e1783688df4d4bc4d6bc4b7c6a52ae545bfb933c403a7aa96e5d21a797,15872,45.58015580000938,0.064117431640625,0.078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-8.106074935954055e-05,10.151317441366325,8.13795643274476,0.13388707455769025,0.999827913301448,-0.07059354684790786,10.153230634519986,-0.000231774905294147,-1.2726865190969455e-06,66.42313435769378,0.0,0.711531937122345,0.00027677451726049185,0.03616589307785034,47.75390625,52.24609375,0.0,-0.0008921021362766623,-0.0007900109048932791,-0.02685306966304779,0.023679252713918686,-0.001290719723328948,-0.0011430111480876803,-0.03885181248188019,0.034259844571352005,51.123046875,48.876953125,0.0,-0.00707195233553648,TIT_INC,10,65395,45.57980320000206,512,512,200,100,100,100,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,53.699951171875,37.11560134887693,1280,1273,99.453125,TIT,1.4510426770894138,20,0.99,1.4510426770894138
3,COMPLETE,2,42,26989,2856,424f72a3df11b24bdd551a74968aa5efe8f47b52221df203d3bd3ed6f8a96c5a,f1c78e2ff146b5069b0310a8b0222fe8d495ed8d7dbf78dc149a7df8702a8f3a,15872,43.38946050000959,0.06745719909667969,0.078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.1651687726846851,11.593486483590317,9.280324047687007,0.13914076329081534,1.079240844494565,4.366413270058084,10.741683502971519,0.01325132173185191,6.621025485710956e-05,65.95423336485362,0.0,0.9488807916641235,0.00029112648917362094,0.6403639316558838,52.099609375,47.900390625,0.0,0.0005939168622717261,0.0010131830349564552,-0.026744749397039413,0.02889453060925007,0.0008757348405197263,0.0014939459506422281,-0.03943533077836037,0.0426052026450634,48.095703125,51.904296875,0.0,0.010689613409340382,TIT_INC,5,65395,43.38909019999846,512,512,200,100,100,100,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,54.0,36.622398376464815,1280,1275,99.609375,TIT,1.4524627365104603,20,0.99,1.4524627365104603
3,COMPLETE,3,42,26466,3379,ad1e190147cfc7079fe69ab58be273b0089b28a9cb71d4377b9a01145e874910,b3de2bff6a2b887166deba8883b54b43de7150168fdd2094f9852f380bd9133e,15872,41.85571409999102,0.07126188278198242,0.078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.0007743759161664698,11.299564462484954,8.348583288043164,0.12264138710039274,1.0002390720208063,0.11728466809519159,11.300628072640585,-0.03579143026629345,-0.00029850063804012447,64.20209257189055,0.0,0.8956113457679749,0.0015549688832834363,0.8547075390815735,48.779296875,51.220703125,0.0,-0.000810657162219286,-0.0012001346331089735,-0.06200350821018219,0.06010351702570915,-0.0012093093246221542,-0.0017903177067637444,-0.09249461442232132,0.08966027200222015,51.220703125,48.779296875,0.0,-0.03640506789088249,TIT_INC,1,65395,41.85537320000003,512,512,200,100,100,100,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,54.0,36.19874954223633,1280,1275,99.609375,TIT,1.4666426917497317,20,0.99,1.4666426917497317
3,COMPLETE,4,42,27061,2784,2cf8e61e68345fca034455d14ca0a91ba8af3af3a30bcfad11a389cf00a64d26,e85c7d3201b31d98e24a7a8ea73439fb69c13286f849eaf6812d38684b5bedb5,15872,41.889749900001334,0.06731462478637695,0.078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-6.885200737460906e-05,10.470482471825477,8.156203596071265,0.1398114838272286,0.9998548053961392,-0.012943424027541587,10.472355451496954,-0.0003534760635730148,-2.7780531307699027e-06,65.95641118775445,0.0,0.757110059261322,0.0006548087112605572,0.4536249339580536,50.5859375,49.4140625,0.0,0.00017200784350279719,0.0004044177185278386,-0.041406746953725815,0.03971283137798309,0.0002516568056307733,0.0005916851223446429,-0.06058032438158989,0.05810203403234482,50.09765625,49.90234375,0.0,-0.0025347252376377583,TIT_INC,5,65395,41.88939769999706,512,512,200,100,100,100,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,53.699951171875,36.704002380371094,1280,1253,97.890625,TIT,1.460840537792371,20,0.99,1.460840537792371
4,COMPLETE,0,42,25813,4032,81354305b7b8066000bae764cd84c6a44c1e035572eb00baa18e30401895a2a4,6d4d4bf8c14384a72deec9ae950f7dbc99365946e460adffb80cf5c9ed8ff111,15872,26.165869799995562,0.0453038215637207,0.0546875,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,-0.12066521922472462,11.24207833427296,9.375407634273408,0.14557186166775138,1.0584834795413767,8.024079662466805,7.8748873810217965,0.694265752449141,0.35829127011232476,47.272529225712205,0.0,0.4285161793231964,0.01644410938024521,0.42929133772850037,75.439453125,24.560546875,0.0,0.2504573166370392,0.00505178514868021,-0.0073261382058262825,1.4848713874816895,0.369538813829422,0.007453689351677895,-0.010809398256242275,2.1908631324768066,61.23046875,38.76953125,0.0,-0.011897578835487366,TIT_INC,105,39425,26.16554069999256,1024,1024,800,80,80,165,EARLY_STOPPING,False,0,2048,deterministic_evenly_spaced_full_fold,54.0999755859375,36.66660079956054,3584,3517,98.13058035714286,TIT,1.4710406730757069,20,0.99,1.4710406730757069
