fold,seed,delta_R2,delta_RMSE,delta_MAE,delta_bias_abs,delta_training_time,delta_PCD
0,21,-0.016877571570403482,0.20855556177781853,0.20199443802000916,0.29435787882123665,438.3324400000019,19.677734375
1,21,-0.0005374313120023455,0.006616779367433878,0.010355487161753274,0.06344314335154833,565.0950308999963,27.587890625
2,21,-0.0025688671730962342,0.03907612966763763,-0.023931202768277426,0.314986363846381,607.5269745000041,13.76953125
3,21,-0.003337183296204027,0.04322641563154761,0.12006817445419138,0.0523591652605159,419.72735840000314,23.974609375
4,21,0.0264930595801115,-0.25132480373112553,-0.25398218220677826,0.040068511305184185,419.50945980000324,18.408203125
0,42,-0.018114479515170312,0.22376907216383568,0.23394892140040335,0.15959623692527636,265.74084880000373,17.724609375
1,42,-0.0025325892750990286,0.031572045898630385,-0.009950049069463507,0.059687110031543145,447.8865665999947,28.22265625
2,42,-0.0014657167411116223,0.02157485577690288,0.037028164422813425,6.028316935913214e-05,507.9181557000047,21.337890625
3,42,0.001633875744649238,-0.021773926863080995,0.06312253849857052,0.1033562758717533,404.3909731999956,18.1640625
4,42,0.03624380082153422,-0.35275524788383894,-0.17398325739235698,-0.4376636250265713,305.0976990999952,19.873046875
0,84,-0.002367397489010159,0.028403280746585935,0.10342491997612857,-0.15597964846898638,342.3846739000037,22.900390625
1,84,-0.001087154646180144,0.013547891191088013,-0.07678820973350886,-0.1563962706092264,606.5130697999957,27.392578125
2,84,-0.009776710489489804,0.14185014380921945,0.05855729800312437,0.5289461726234073,443.53859659999944,20.458984375
3,84,-0.004115919637249998,0.05426833624757599,0.0762422532857463,-0.008603245310968288,472.9674578999984,21.19140625
4,84,-0.0037177717605179073,0.03642533386635538,-0.0674718193624213,0.26251194394868,292.5183352000022,16.064453125
