trial,step,folds_completed,screening_score,screening_pcd_min,decision,reason,fold_trainings_avoided
0,2,2,-0.1010922974902237,46.77734375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
2,2,2,-0.1010922974902237,46.77734375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
3,2,2,-0.2695636387479305,47.75390625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
3,5,5,-0.2695636387479305,47.75390625,COMPLETE_FIVE_FOLDS,promotion_completed,0
4,2,2,-0.0537641359745823,75.439453125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
4,5,5,-0.0537641359745823,75.439453125,COMPLETE_FIVE_FOLDS,promotion_completed,0
5,2,2,0.7135021684980812,97.75390625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
5,5,5,0.7135021684980812,97.75390625,COMPLETE_FIVE_FOLDS,promotion_completed,0
7,2,2,-0.0948932913643982,46.77734375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
8,2,2,-0.2694167090808049,47.75390625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
8,5,5,-0.2694167090808049,47.75390625,COMPLETE_FIVE_FOLDS,promotion_completed,0
9,2,2,-0.0537777846271105,75.439453125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
9,5,5,-0.0537777846271105,75.439453125,COMPLETE_FIVE_FOLDS,promotion_completed,0
10,2,2,0.7134880617181861,97.75390625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
10,5,5,0.7134880617181861,97.75390625,COMPLETE_FIVE_FOLDS,promotion_completed,0
11,2,2,0.6840214709517478,92.3828125,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
11,5,5,0.6840214709517478,92.3828125,COMPLETE_FIVE_FOLDS,promotion_completed,0
12,2,2,0.7295694120270361,100.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
12,5,5,0.7295694120270361,100.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
13,2,2,0.7674999708562095,96.97265625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
13,5,5,0.7674999708562095,96.97265625,COMPLETE_FIVE_FOLDS,promotion_completed,0
14,2,2,0.8150898287564894,79.931640625,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
14,5,5,0.8150898287564894,79.931640625,COMPLETE_FIVE_FOLDS,promotion_completed,0
15,2,2,0.5824551933930957,88.96484375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
15,5,5,0.5824551933930957,88.96484375,COMPLETE_FIVE_FOLDS,promotion_completed,0
16,2,2,0.8297592377202153,95.8984375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
16,5,5,0.8297592377202153,95.8984375,COMPLETE_FIVE_FOLDS,promotion_completed,0
17,2,2,-0.0200303879546457,90.52734375,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
17,5,5,-0.0200303879546457,90.52734375,COMPLETE_FIVE_FOLDS,promotion_completed,0
18,2,2,0.4575726058098504,100.0,PROMOTED_AFTER_TWO_FOLDS,passed_median_pruner,0
18,5,5,0.4575726058098504,100.0,COMPLETE_FIVE_FOLDS,promotion_completed,0
