rank,trial_number,candidate,objective,physics_level,physics_admissible,R2_min,R2_median,R2_mean,R2_std,RMSE_mean,MAE_mean,bias_abs_mean,active_tit_pcd_min,active_tit_pcd_mean,parameter_count,training_time_s,config_hash
1,37,TRIAL_0037_TIT_INC,0.7600093893815681,A,True,0.7285277503260073,0.8212220303609943,0.810991831286082,0.04573053050942731,4.597092445842824,3.1079629752967244,0.6297548329485702,99.8046875,99.9609375,69187,2878.1000667999906,b2effe24f47ab2b0a8e7bbb6cb4aeac6a601b1caffd75283004c2363db1f19c3
2,115,TRIAL_0115_TIT_INC,0.7476672578182966,A,True,0.7072934081803671,0.8258500385682153,0.8104710306703706,0.055109017274254185,4.588685148688467,3.050830611740941,0.45398491534008956,100.0,100.0,22867,1791.9743688999988,107abe0327aa09bda8ddf23992b3ac18a17bbb218666e2ab40a63f75e5a717cb
3,85,TRIAL_0085_TIT_INC,0.7407498891671255,A,True,0.6968586421387605,0.8260990455026518,0.8043193006679694,0.056269398337232324,4.665737063718888,3.1423173083559774,0.6449623170572001,100.0,100.0,76291,585.5363042999998,9b19a31b3f1d7e611a13df5ecc1b0c799254e6653ca791a00ded85a1f8f3b50f
4,84,TRIAL_0084_TIT_INC,0.7403056371349651,B,True,0.7047481208906841,0.8080756827893847,0.8010222728810887,0.050681675243696454,4.717037028341908,3.179009724014852,0.6411977419526934,98.14453125,99.111328125,60993,523.5379740999997,b0958ec2e4c2fc1f8f040b6ca499671a0cc4cb45589f26832629efc87c8a70d6
5,16,TRIAL_0016_TIT_INC,0.7345385805792957,B,True,0.6854933534484368,0.829532980382192,0.8073645236539939,0.06353777969823353,4.616107398050559,3.082725737619504,0.5580813636631785,95.8984375,98.369140625,77251,4044.8049477999884,209004995936c11ee9cb9a7b72a69a74e201cbf76f58cf4703af4086cc34f32c
6,26,TRIAL_0026_TIT_INC,0.7334097968418954,B,True,0.687211108355026,0.8220610812525986,0.807724325258184,0.0630762507271812,4.612989862193642,3.002074438714368,0.5591706705160946,98.388671875,99.111328125,27153,3797.332736199998,c0329e5d931ce57b8b806cb1677110e1035572af399e0467f35f690a6fcea7a2
7,97,TRIAL_0097_TIT_INC,0.7275684289264139,A,True,0.6832630046112398,0.812164798088873,0.8019660453198993,0.06235417798981824,4.6876190660570165,3.0503780301161925,0.6121764408579154,99.755859375,99.94140625,21427,628.1529637000003,7d419aaa070a59f604811df8af2b919bb4fd608469d96eaaf6ddaad93b18a06f
8,50,TRIAL_0050_TIT_INC,0.7270929221745384,A,True,0.6798913797377193,0.8188816172319687,0.791667921546864,0.056731829923701384,4.81958860660958,3.2394161852938153,0.49546621061675494,99.8046875,99.9609375,31091,414.4994286000001,6d119b94e333d95eb361a125f1379aae2dd993c577cc2a851d7920f5fe1b8e26
9,34,TRIAL_0034_TIT_INC,0.7257209433157013,A,True,0.6767780902710444,0.8203127280165434,0.8013005558723814,0.06569784839126666,4.688721832912102,3.0320957537947044,0.3960936417436399,99.755859375,99.912109375,46131,961.5083835999831,daa54199ea3b51a1bd86a7e949a99c7c417bd7f7c6d97041e55fdc0fd1f62e1c
10,13,TRIAL_0013_TIT_INC,0.6938684097693637,B,True,0.6515220679430688,0.7755252047388482,0.7657600522187082,0.06278397640002824,5.111184717120664,3.5373504319306277,0.7558203947464726,96.97265625,99.140625,29089,368.95083609998983,dce066e22e96d84b3e3e01fbe07e6232bff7a03e7cf2d9c8c1c3a9c962be403a
11,20,TRIAL_0020_TIT_INC,0.679575460593849,A,True,0.6403599573694506,0.7569334083518766,0.7448482535356442,0.06205361686948769,5.344613527942752,3.8559161599375584,0.9623308362660914,99.951171875,99.98046875,41763,531.9714545999886,e276e4a4c47806c422ea58c6e632f1374736b93e1e6f1cb44c0b4af5bd4b0ea4
12,45,TRIAL_0045_TIT_INC,0.6684345338181484,A,True,0.6043824112262293,0.7912287151126403,0.7683423773596638,0.08397765187347636,5.0461874581731525,3.337777319023341,0.6729427176937839,100.0,100.0,50659,533.088751999996,63fd88de6832ca39c021fab157bbe4a7ab12abb4298d12f2da697d0718d0f3a7
13,10,TRIAL_0010_TIT_INC,0.6553006021795492,B,True,0.6211517756695213,0.7213425054481496,0.7218823416449627,0.059814490211046005,5.588257960742502,3.8912712028002674,0.9381540365773396,95.849609375,97.490234375,54915,71.80118850000144,015cb7d3f7e397431918c5477e78e4845ffcfd0eebca9148c12b78daf894c556
14,5,TRIAL_0005_TIT_INC,0.6552985200691464,B,True,0.6211456990963187,0.7213471371803927,0.7218879693173544,0.059818374744980495,5.5881972268484885,3.8914368631264544,0.9386837007894411,95.849609375,97.509765625,54915,36.28407189999416,4b28088b1d02aadc2a68a0f02112af7473574bad20ffa6242b1c1bc0752e8d76
15,12,TRIAL_0012_TIT_INC,0.6469563826753042,A,True,0.6002067462760478,0.7369420110358087,0.730807577965567,0.07331026197623738,5.478588318469861,3.744736771253926,0.8895713946133508,99.853515625,99.951171875,8193,47.913363800005754,09bb45c04bca104fa533b2e0580364a749bd622d665cf9604e19ca58aab570d8
16,25,TRIAL_0025_TIT_INC,0.6449234079432838,A,True,0.5953723819828171,0.7409165673825575,0.7212029906875849,0.0669529052993217,5.580737099592989,3.872765296241384,0.6021009164398261,99.4140625,99.755859375,76195,384.66823710002063,724b4ce6f70d5b74f723bb7930e8afcedec99a91103566a70c829ae30d562623
17,43,TRIAL_0043_TIT_INC,0.6352933737500304,B,True,0.5586294757973295,0.783916054244856,0.7483993781381123,0.09899065815635402,5.241888513058529,3.4892308421497185,0.8822488156269165,98.4375,99.541015625,42723,1724.2732981000008,d007aef698fbd3f03fe0ef0521b4f4c371fb53ca79c71ed71d049312402152cf
18,39,TRIAL_0039_TIT_INC,0.6337954781563643,A,True,0.5815234044266864,0.7338779532373956,0.7235230248368987,0.07634252954556074,5.5513761624039635,3.7714329159869764,1.1252928497129386,100.0,100.0,70787,3653.464314099998,50b9cf94cc1ba3eebd9ed041a8ced9fddcb83cc93b1ee1d967b5a4f13f7c9d17
19,21,TRIAL_0021_TIT_INC,0.6198569696156657,A,True,0.5644258734907439,0.725289033137054,0.7197342012057183,0.08358684540468608,5.582908274108665,3.8485999811332627,0.49342576442985137,99.853515625,99.951171875,56993,24.45273930001713,e74e18958f685d5bd23b5fe598097e2ad83d41f6ed099eac3abd324adb0d5eab
20,27,TRIAL_0027_TIT_INC,0.6170043624153784,A,True,0.5445501045343275,0.7572001825723043,0.7323699899277408,0.10122754069683404,5.4154356021960055,3.5698380627938926,1.1550266139275756,100.0,100.0,9379,1640.1983096000185,d716c861460567bd4f0d4ed8b15e45f6058058fbc8765684fb7dc5524afeb60f
