trial_number,state,objective,failure_reason,config_hash,config_source,config_json,MAE_mean,NRMSE_mean,R2_mean,R2_median,R2_min,R2_std,RMSE_mean,active_tit_pcd_mean,active_tit_pcd_min,active_tit_violation_max,bias_abs_mean,objective_definition,parameter_count,physics_admissible,physics_level,training_time_s,val_data_loss,val_physics_loss,val_total_loss
0,FAIL,,RuntimeError: trial 0; fold=2; seed=42; FloatingPointError: non_finite_loss,5120260e3c51e944606b25de57a403baf104c606ffce29217eb2300facdc50d2,OPTUNA_AUTONOMOUS_R6,"{""activation"":""softplus"",""batch_size"":""FULL_BATCH"",""config_source"":""OPTUNA_AUTONOMOUS_R6"",""dropout"":0.0,""fourier_dim"":16,""fourier_scale"":0.2703716048363296,""gradient_clip"":5.0,""hidden_widths"":[160,256,160,192,128],""huber_delta"":0.810035444816847,""lambda_phys"":1.0,""learning_rate"":0.004517519390231868,""loss_data"":""huber"",""lr_scheduler"":""none"",""max_epochs"":300,""name"":""TRIAL_0000_TIT_INC"",""nonnegative_output"":false,""optimizer"":""RMSprop"",""parameter_sources"":{""physics_mode"":""FROZEN_R6_CAMPAIGN_POLICY""},""physics_dropout_mode"":""shared_stochastic"",""physics_mode"":""TIT_INC"",""physics_penalty"":""relu_squared"",""physics_real_fraction"":0.5,""physics_warmup_fraction"":0.1,""physics_weighting"":""ADAPTIVE_LEARNED"",""synthetic_base_rows"":64,""synthetic_batch_size"":64,""synthetic_levels"":3,""synthetic_local_span_std"":0.25,""target_transform"":""log1p"",""tau_softplus"":0.027670994194155984,""use_lbfgs"":false,""weight_decay"":2.8355519248243626e-06}",,,,,,,,,,,,,,,,,,,
1,FAIL,,,0e5fee94e0f8d2ad45973e52d298910a0c31615527c7ee4a52e08f6c904d5575,OPTUNA_AUTONOMOUS_R6,"{""activation"":""softplus"",""batch_size"":512,""config_source"":""OPTUNA_AUTONOMOUS_R6"",""dropout"":0.03,""fourier_dim"":8,""fourier_scale"":0.8451374169986905,""gradient_clip"":10.0,""hidden_widths"":[192,48,64,192,192],""huber_delta"":1.0,""lambda_phys"":1.0,""learning_rate"":0.000856515286561574,""loss_data"":""mse"",""lr_scheduler"":""reduce_on_plateau"",""max_epochs"":200,""name"":""TRIAL_0001_TIT_INC"",""nonnegative_output"":false,""optimizer"":""AdamW"",""parameter_sources"":{""physics_mode"":""FROZEN_R6_CAMPAIGN_POLICY""},""physics_dropout_mode"":""shared_stochastic"",""physics_mode"":""TIT_INC"",""physics_penalty"":""relu_squared"",""physics_real_fraction"":0.25,""physics_warmup_fraction"":0.5,""physics_weighting"":""ADAPTIVE_LEARNED"",""synthetic_base_rows"":256,""synthetic_batch_size"":512,""synthetic_levels"":5,""synthetic_local_span_std"":0.25,""target_transform"":""original"",""tau_softplus"":0.10732102672119374,""use_lbfgs"":false,""weight_decay"":0.0}",,,,,,,,,,,,,,,,,,,
2,FAIL,,RuntimeError: trial 2; fold=2; seed=42; FloatingPointError: non_finite_loss,0862e9fd70f29443cfbded2b6f97df782f1bdef65fc809bd5b85dc63fbf2d091,OPTUNA_AUTONOMOUS_R6,"{""activation"":""softplus"",""batch_size"":""FULL_BATCH"",""config_source"":""OPTUNA_AUTONOMOUS_R6"",""dropout"":0.0,""fourier_dim"":16,""fourier_scale"":0.2703716048363296,""gradient_clip"":5.0,""hidden_widths"":[160,256,160,192,128],""huber_delta"":0.810035444816847,""lambda_phys"":1.0,""learning_rate"":0.004517519390231868,""loss_data"":""huber"",""lr_scheduler"":""none"",""max_epochs"":300,""name"":""TRIAL_0002_TIT_INC"",""nonnegative_output"":false,""optimizer"":""RMSprop"",""parameter_sources"":{""physics_mode"":""FROZEN_R6_CAMPAIGN_POLICY""},""physics_dropout_mode"":""shared_stochastic"",""physics_mode"":""TIT_INC"",""physics_penalty"":""relu_squared"",""physics_real_fraction"":0.5,""physics_warmup_fraction"":0.1,""physics_weighting"":""ADAPTIVE_LEARNED"",""synthetic_base_rows"":64,""synthetic_batch_size"":64,""synthetic_levels"":3,""synthetic_local_span_std"":0.25,""target_transform"":""log1p"",""tau_softplus"":0.027670994194155984,""use_lbfgs"":false,""weight_decay"":2.8355519248243626e-06}",,,,,,,,,,,,,,,,,,,
3,COMPLETE,-0.19472795619759137,,fee895d4e2452a254693c9b19d07438e90748b5e0712516e482ffddc36e1d36e,OPTUNA_AUTONOMOUS_R6,"{""activation"":""softplus"",""batch_size"":512,""config_source"":""OPTUNA_AUTONOMOUS_R6"",""dropout"":0.03,""fourier_dim"":8,""fourier_scale"":0.8451374169986905,""gradient_clip"":10.0,""hidden_widths"":[192,48,64,192,192],""huber_delta"":1.0,""lambda_phys"":1.0,""learning_rate"":0.000856515286561574,""loss_data"":""mse"",""lr_scheduler"":""reduce_on_plateau"",""max_epochs"":200,""name"":""TRIAL_0003_TIT_INC"",""nonnegative_output"":false,""optimizer"":""AdamW"",""parameter_sources"":{""physics_mode"":""FROZEN_R6_CAMPAIGN_POLICY""},""physics_dropout_mode"":""shared_stochastic"",""physics_mode"":""TIT_INC"",""physics_penalty"":""relu_squared"",""physics_real_fraction"":0.25,""physics_warmup_fraction"":0.5,""physics_weighting"":""ADAPTIVE_LEARNED"",""synthetic_base_rows"":256,""synthetic_batch_size"":512,""synthetic_levels"":5,""synthetic_local_span_std"":0.25,""target_transform"":""original"",""tau_softplus"":0.10732102672119374,""use_lbfgs"":false,""weight_decay"":0.0}",8.797070376480413,1.0429014852250074,-0.09108412586222929,-0.0007743759161664698,-0.28932756795356074,0.11790690064382059,11.114653551432019,49.677734375,47.75390625,52.24609375,2.0555816798485393,predictive_only_robust_score_R6,65395.0,False,C,215.0216839999921,0.8686474442481995,0.0006976067437790334,0.5942767083644866
4,COMPLETE,-0.011327277051995432,,91fb8dc50a9e82a95b8b6f929789951af1cf8f2cb6f6c3b51782edb7ba774693,OPTUNA_AUTONOMOUS_R6,"{""activation"":""tanh"",""batch_size"":1024,""config_source"":""OPTUNA_AUTONOMOUS_R6"",""dropout"":0.0,""fourier_dim"":32,""fourier_scale"":0.17312791762231514,""gradient_clip"":10.0,""hidden_widths"":[256,64,96],""huber_delta"":1.1659215010328807,""lambda_phys"":0.047138564009539766,""learning_rate"":0.0004424179715229947,""loss_data"":""huber"",""lr_scheduler"":""reduce_on_plateau"",""max_epochs"":800,""name"":""TRIAL_0004_TIT_INC"",""nonnegative_output"":""softplus_output"",""optimizer"":""AdamW"",""parameter_sources"":{""physics_mode"":""FROZEN_R6_CAMPAIGN_POLICY""},""physics_dropout_mode"":""shared_stochastic"",""physics_mode"":""TIT_INC"",""physics_penalty"":""softplus"",""physics_real_fraction"":0.25,""physics_warmup_fraction"":0.1,""physics_weighting"":""FIXED_LAMBDA"",""synthetic_base_rows"":512,""synthetic_batch_size"":64,""synthetic_levels"":7,""synthetic_local_span_std"":1.0,""target_transform"":""original"",""tau_softplus"":0.015148733846223712,""use_lbfgs"":false,""weight_decay"":0.0}",7.78258532110128,0.9135151817388755,0.15546377241242196,0.2125448527120687,-0.12066521922472462,0.1823797857202346,9.747887494120416,76.259765625,70.166015625,29.833984375,5.250708068280368,predictive_only_robust_score_R6,39425.0,False,C,102.22026149999874,0.323009991645813,0.019173014909029007,0.3239137798547745
5,COMPLETE,0.6552985200691464,,4b28088b1d02aadc2a68a0f02112af7473574bad20ffa6242b1c1bc0752e8d76,OPTUNA_AUTONOMOUS_R6,"{""activation"":""gelu"",""batch_size"":""FULL_BATCH"",""config_source"":""OPTUNA_AUTONOMOUS_R6"",""dropout"":0.03,""fourier_dim"":64,""fourier_scale"":0.1411454883306656,""gradient_clip"":10.0,""hidden_widths"":[96,96,128,160],""huber_delta"":1.2277277063759673,""lambda_phys"":1.0,""learning_rate"":0.00024555900341981625,""loss_data"":""huber"",""lr_scheduler"":""cosine"",""max_epochs"":500,""name"":""TRIAL_0005_TIT_INC"",""nonnegative_output"":false,""optimizer"":""Adam"",""parameter_sources"":{""physics_mode"":""FROZEN_R6_CAMPAIGN_POLICY""},""physics_dropout_mode"":""shared_stochastic"",""physics_mode"":""TIT_INC"",""physics_penalty"":""relu_squared"",""physics_real_fraction"":0.5,""physics_warmup_fraction"":0.5,""physics_weighting"":""ADAPTIVE_LEARNED"",""synthetic_base_rows"":128,""synthetic_batch_size"":512,""synthetic_levels"":5,""synthetic_local_span_std"":0.5,""target_transform"":""original"",""tau_softplus"":0.035462839175298806,""use_lbfgs"":false,""weight_decay"":1.293218055072981e-06}",3.8914368631264544,0.5243171555035692,0.7218879693173544,0.7213471371803927,0.6211456990963187,0.059818374744980495,5.5881972268484885,97.509765625,95.849609375,4.150390625,0.9386837007894411,predictive_only_robust_score_R6,54915.0,True,B,36.28407189999416,0.10520154386758804,0.0010454916511662305,-0.04247307255864143
6,FAIL,,,b5aaaa51f0f16c104473303979fb414c471ff30712af6fa3f978e3acfcb33315,OPTUNA_AUTONOMOUS_R6,"{""activation"":""softplus"",""batch_size"":256,""config_source"":""OPTUNA_AUTONOMOUS_R6"",""dropout"":0.25,""fourier_dim"":64,""fourier_scale"":0.25172192381326247,""gradient_clip"":10.0,""hidden_widths"":[192,32,256,192,256],""huber_delta"":1.8107079475531873,""lambda_phys"":0.3450991024523629,""learning_rate"":0.0008404858385797737,""loss_data"":""huber"",""lr_scheduler"":""none"",""max_epochs"":400,""name"":""TRIAL_0006_TIT_INC"",""nonnegative_output"":false,""optimizer"":""RMSprop"",""parameter_sources"":{""physics_mode"":""FROZEN_R6_CAMPAIGN_POLICY""},""physics_dropout_mode"":""data_only_dropout"",""physics_mode"":""TIT_INC"",""physics_penalty"":""softplus"",""physics_real_fraction"":0.5,""physics_warmup_fraction"":0.1,""physics_weighting"":""FIXED_LAMBDA"",""synthetic_base_rows"":512,""synthetic_batch_size"":64,""synthetic_levels"":5,""synthetic_local_span_std"":0.5,""target_transform"":""log1p"",""tau_softplus"":0.015390873659504587,""use_lbfgs"":false,""weight_decay"":3.7361082709029954e-06}",,,,,,,,,,,,,,,,,,,
7,FAIL,,RuntimeError: trial 7; fold=2; seed=42; FloatingPointError: non_finite_loss,eb1394a893d4f5a3c544f791bff49028df468d8780e4f82d9720df911da50016,OPTUNA_AUTONOMOUS_R6,"{""activation"":""softplus"",""batch_size"":""FULL_BATCH"",""config_source"":""OPTUNA_AUTONOMOUS_R6"",""dropout"":0.0,""fourier_dim"":16,""fourier_scale"":0.2703716048363296,""gradient_clip"":5.0,""hidden_widths"":[160,256,160,192,128],""huber_delta"":0.810035444816847,""lambda_phys"":1.0,""learning_rate"":0.004517519390231868,""loss_data"":""huber"",""lr_scheduler"":""none"",""max_epochs"":300,""name"":""TRIAL_0007_TIT_INC"",""nonnegative_output"":false,""optimizer"":""RMSprop"",""parameter_sources"":{""physics_mode"":""FROZEN_R6_CAMPAIGN_POLICY""},""physics_dropout_mode"":""shared_stochastic"",""physics_mode"":""TIT_INC"",""physics_penalty"":""relu_squared"",""physics_real_fraction"":0.5,""physics_warmup_fraction"":0.1,""physics_weighting"":""ADAPTIVE_LEARNED"",""synthetic_base_rows"":64,""synthetic_batch_size"":64,""synthetic_levels"":3,""synthetic_local_span_std"":0.25,""target_transform"":""log1p"",""tau_softplus"":0.027670994194155984,""use_lbfgs"":false,""weight_decay"":2.8355519248243626e-06}",,,,,,,,,,,,,,,,,,,
8,COMPLETE,-0.1946178561525141,,b26b0cffe915d93ac21a00db5cb3e4bad0b5983082991b2ce17ebe6595ac5372,OPTUNA_AUTONOMOUS_R6,"{""activation"":""softplus"",""batch_size"":512,""config_source"":""OPTUNA_AUTONOMOUS_R6"",""dropout"":0.03,""fourier_dim"":8,""fourier_scale"":0.8451374169986905,""gradient_clip"":10.0,""hidden_widths"":[192,48,64,192,192],""huber_delta"":1.0,""lambda_phys"":1.0,""learning_rate"":0.000856515286561574,""loss_data"":""mse"",""lr_scheduler"":""reduce_on_plateau"",""max_epochs"":200,""name"":""TRIAL_0008_TIT_INC"",""nonnegative_output"":false,""optimizer"":""AdamW"",""parameter_sources"":{""physics_mode"":""FROZEN_R6_CAMPAIGN_POLICY""},""physics_dropout_mode"":""shared_stochastic"",""physics_mode"":""TIT_INC"",""physics_penalty"":""relu_squared"",""physics_real_fraction"":0.25,""physics_warmup_fraction"":0.5,""physics_weighting"":""ADAPTIVE_LEARNED"",""synthetic_base_rows"":256,""synthetic_batch_size"":512,""synthetic_levels"":5,""synthetic_local_span_std"":0.25,""target_transform"":""original"",""tau_softplus"":0.10732102672119374,""use_lbfgs"":false,""weight_decay"":0.0}",8.796950852392829,1.0428888667968945,-0.0910550719174367,-0.0007819181637280792,-0.28915455398628587,0.11785041119880497,11.114520268275504,49.677734375,47.75390625,52.24609375,2.0549134715933266,predictive_only_robust_score_R6,65395.0,False,C,259.6656304000062,0.8686244249343872,0.0006977344281040132,0.594254320859909
9,COMPLETE,-0.011333116130017697,,306685c5babb129e22c9d515759781afd79d5a5970028dc46f8cfcdf0fa8f64a,OPTUNA_AUTONOMOUS_R6,"{""activation"":""tanh"",""batch_size"":1024,""config_source"":""OPTUNA_AUTONOMOUS_R6"",""dropout"":0.0,""fourier_dim"":32,""fourier_scale"":0.17312791762231514,""gradient_clip"":10.0,""hidden_widths"":[256,64,96],""huber_delta"":1.1659215010328807,""lambda_phys"":0.047138564009539766,""learning_rate"":0.0004424179715229947,""loss_data"":""huber"",""lr_scheduler"":""reduce_on_plateau"",""max_epochs"":800,""name"":""TRIAL_0009_TIT_INC"",""nonnegative_output"":""softplus_output"",""optimizer"":""AdamW"",""parameter_sources"":{""physics_mode"":""FROZEN_R6_CAMPAIGN_POLICY""},""physics_dropout_mode"":""shared_stochastic"",""physics_mode"":""TIT_INC"",""physics_penalty"":""softplus"",""physics_real_fraction"":0.25,""physics_warmup_fraction"":0.1,""physics_weighting"":""FIXED_LAMBDA"",""synthetic_base_rows"":512,""synthetic_batch_size"":64,""synthetic_levels"":7,""synthetic_local_span_std"":1.0,""target_transform"":""original"",""tau_softplus"":0.015148733846223712,""use_lbfgs"":false,""weight_decay"":0.0}",7.7825132533077355,0.913511183332037,0.15547096064893012,0.2125479106530953,-0.12067721500292783,0.18238256389082605,9.74784418466273,76.26953125,70.166015625,29.833984375,5.251096256353698,predictive_only_robust_score_R6,39425.0,False,C,114.12001410000084,0.32300726473331454,0.019174816459417342,0.3239111423492432
