rank,tt_parameters,dense_parameters,parameter_fraction,estimated_tt_state_dict_bytes,dense_state_dict_bytes,state_dict_fraction,eligible
1,1725,69187,0.02493242950265223,16829,281209,0.05984516854012496,True
2,2011,69187,0.029066154046280372,17981,281209,0.06394176573296018,True
3,2461,69187,0.03557026609045052,19581,281209,0.06963148405634244,True
4,3075,69187,0.04444476563516268,22333,281209,0.07941779957255991,True
5,3853,69187,0.05568965268041684,25213,281209,0.08965929255464797,True
6,4795,69187,0.06930492722621302,29117,281209,0.10354220526370067,True
7,5901,69187,0.0852905892725512,33341,281209,0.11856306163742981,True
8,7171,69187,0.1036466388194314,38781,281209,0.13790810393692948,True
9,8605,69187,0.1243730758668536,44349,281209,0.1577083237022997,True
10,10203,69187,0.1474699004148178,50749,281209,0.18046719699582872,True
11,11965,69187,0.17293711246332402,57597,281209,0.20481919141990476,True
12,13891,69187,0.20077471201237226,65597,281209,0.23326778303681603,True
13,15981,69187,0.2309826990619625,73725,281209,0.26217155211959786,False
14,18235,69187,0.26356107361209474,82877,281209,0.29471674092934436,False
15,20653,69187,0.298509835662769,92349,281209,0.3283998734037673,False
16,23235,69187,0.3358289852139853,103037,281209,0.36640719180396075,False
17,25981,69187,0.37551852226574356,113853,281209,0.4048696876700248,False
18,28891,69187,0.41757844681804385,125501,281209,0.4462908370642476,False
19,31965,69187,0.46200875887088616,137597,281209,0.4893051075890174,False
20,35203,69187,0.5088094584242705,150845,281209,0.5364159753066224,False
21,38605,69187,0.5579805454781968,164221,281209,0.5839820204900981,False
22,42171,69187,0.6095220200326651,178621,281209,0.6351894854005384,False
23,45901,69187,0.6634338820876754,193341,281209,0.6875348939756551,False
24,49795,69187,0.7197161316432278,209277,281209,0.7442044884765423,False
25,53853,69187,0.7783687686993221,225341,281209,0.8013292604433002,False
26,58075,69187,0.8393917932559585,242237,281209,0.8614126859382167,False
27,62461,69187,0.9027852053131369,259581,281209,0.9230892325636804,False
28,67011,69187,0.9685490048708573,278077,281209,0.9888623763819793,False
29,71725,69187,1.0366831919291197,296701,281209,1.0550906976661487,False
30,76603,69187,1.107187766487924,316349,281209,1.1249604386772827,False
31,81645,69187,1.1800627285472705,336317,281209,1.1959681233530932,False
32,86851,69187,1.2553080781071588,357501,281209,1.2712999939546743,False
33,92221,69187,1.3329238151675893,378813,281209,1.347087042022126,False
34,97755,69187,1.4129099397285618,400957,281209,1.4258327436177363,False
35,103453,69187,1.4952664517900762,423549,281209,1.5061715663438937,False
36,109315,69187,1.5799933513521327,447293,281209,1.5906069862628862,False
37,115341,69187,1.667090638414731,471165,281209,1.6754975836477495,False
38,121531,69187,1.7565583129778715,496061,281209,1.7640296007595775,False
39,127885,69187,1.848396375041554,521277,281209,1.8536995615360816,False
40,134403,69187,1.9426048246057785,547709,281209,1.9476937082383565,False
41,141085,69187,2.039183661670545,574269,281209,2.0421430324065017,False
42,147931,69187,2.1381328862358537,601661,281209,2.139551010102806,False
43,154941,69187,2.239452498301704,629501,281209,2.238552108929657,False
44,162115,69187,2.343142497868097,658493,281209,2.341649804949344,False
45,169453,69187,2.449202884935031,687613,281209,2.445202678434901,False
46,176955,69187,2.5576336595025078,717757,281209,2.5523969716474224,False
47,184621,69187,2.6684348215705262,748221,281209,2.6607292085246206,False
48,192451,69187,2.781606371139087,779901,281209,2.773385631327589,False
49,200445,69187,2.8971483082081892,811709,281209,2.886497231596428,False
50,208603,69187,3.015060632777834,844349,281209,3.0025674853934263,False
51,216925,69187,3.1353433448480206,877437,281209,3.120230860320971,False
52,225411,69187,3.2579964444187492,911677,281209,3.2419908324413513,False
53,234061,69187,3.38301993149002,946045,281209,3.3642059820276025,False
54,242875,69187,3.5104138060618326,981437,281209,3.490062551340818,False
55,251853,69187,3.640178068134187,1017149,281209,3.6170570643187094,False
56,260995,69187,3.772312717707084,1054077,281209,3.7483757632223718,False
57,270301,69187,3.9068177547805223,1091133,281209,3.880149639591905,False
58,279771,69187,4.043693179354503,1129021,281209,4.014882169489597,False
59,289405,69187,4.182938991429026,1167357,281209,4.151207820517835,False
60,299203,69187,4.32455519100409,1206845,281209,4.291630068738909,False
61,309165,69187,4.468541778079697,1246461,281209,4.432507494425854,False
62,319291,69187,4.614898752655845,1287101,281209,4.5770263398397635,False
63,329581,69187,4.763626114732537,1328061,281209,4.722683128918349,False
64,340035,69187,4.914723864309769,1370301,281209,4.8728916926556405,False
