seed,N_DEV,n_estimators,elapsed_seconds,model_bytes,model_sha256
21,29845,1445,29.337855700054206,133611443,df941842aaf3f8b61e92b55c375d42e3ad9d32681f25444b394d21af93b1bc25
42,29845,1445,29.180942000006326,133653329,d4b11175fd623fb8089b70dd4650cbe25dd6bad31f0675e7e5d855ffb8eff68f
63,29845,1445,29.147202000021935,133890240,452380227b00a0c35a1af13cf2f9758f17b68146ac994d6928c0a9615a8585bd
84,29845,1445,29.259595899959095,134216778,9f496279523068eb490a3b699b7984844b22d8af66d56291aa7fb906daea391d
105,29845,1445,28.90750550001394,133542897,bdcd9025d650944798fcfb688dc42c245cb10a5b96b1cc347e27b921ab0eead5
126,29845,1445,28.990369400009513,134191752,6f9435fe1b2df05d6f49806b571b99769e627a0f031ede3a12ea190164568ce6
147,29845,1445,29.113778200000525,133970546,99e2207f089b5e11cbe02edd07046303f9fbb121600800fc0bfb2a687b1d0903
168,29845,1445,28.747097600018606,133321961,febb151246a13def185d23361f37afe03fd38cf53525ca690eded86d20f1a251
189,29845,1445,29.02555989997927,134235888,239ac8e869b7b3764c46ec63931ed8d76bd6949db70092b7fd3cbcbfa63fa8b6
210,29845,1445,28.75633679999737,133756556,243fa36d1530d8bb6fb7e1ce74c88381f4e4540ca1c07be12ad2e6266cea61cc
