trial_number,candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
0,OPTUNA_0000,0,42,25813,4032,59,60,224608,112334,7677252,4.2418192,0.7410510137,5.4040053434,3.6326915274,1.4089317843,0.0,74.5625,6.7142545882,4.6969377334,-2.811899762
0,OPTUNA_0000,3,42,26466,3379,25,26,126960,63493,4334815,3.3656512,0.7595421037,5.5387675046,3.8595067094,0.1904759128,0.0,77.4434,10.9934084892,8.1747736869,-6.2881036339
0,OPTUNA_0000,1,42,27493,2352,95,96,329000,164548,11250305,5.1918442,0.7516158296,5.0590242833,3.6550433638,-0.6730795848,0.0,79.2517,9.112059722,6.8099590444,-5.4758837968
0,OPTUNA_0000,2,42,26989,2856,32,33,148493,74263,5071549,3.6479021,0.7949472361,4.8635396034,3.3833774832,0.555614336,0.0,74.4405,7.743070275,5.8924948485,-4.2652918477
0,OPTUNA_0000,4,42,27061,2784,22,23,118149,59086,4033263,3.3165137,0.6735219114,5.9824456755,4.0492657825,-0.5701570181,0.0,79.3608,12.754190416,10.067362028,-9.1335723586
1,OPTUNA_0001,0,42,25813,4032,500,501,846587,423544,29115473,7.5678275,0.7672585275,5.1232500264,3.3165142685,1.4443856914,0.0,74.5625,6.3611810356,4.4152816717,-2.3900455445
1,OPTUNA_0001,3,42,26466,3379,377,378,852886,426632,29248672,7.3110219,0.7903380946,5.1719388101,3.4819666348,0.2191887914,0.0,77.4434,10.6429662266,7.3832588344,-5.8904977831
1,OPTUNA_0001,1,42,27493,2352,335,336,857034,428685,29362008,7.6207419,0.7978831721,4.5635839447,3.1650563669,-0.6209961185,0.0,79.2517,8.4423682923,5.6523581176,-4.4828634644
1,OPTUNA_0001,2,42,26989,2856,537,538,867338,433938,29845364,7.9034914,0.8274406257,4.4615824332,3.0492770971,0.6298690331,0.0,74.4405,7.070841081,5.3011196402,-3.6018392725
1,OPTUNA_0001,4,42,27061,2784,299,300,839590,419945,28745143,7.5173439001,0.7088907771,5.6491060335,3.6816716169,-0.7204026764,0.0,79.3608,12.6095345052,9.8906767464,-8.9578442956
2,OPTUNA_0002,0,42,25813,4032,241,242,282468,141355,9764582,4.4901048,0.7770392574,5.0144448958,3.290022349,1.5073047489,0.0,74.5625,5.9563559238,4.2498670817,-2.2065832316
2,OPTUNA_0002,3,42,26466,3379,909,910,958148,479529,33178905,12.5244417,0.7956185701,5.1063941112,3.4424139257,0.1746067225,0.0,77.4434,10.4260645071,7.2197385318,-5.6031591763
2,OPTUNA_0002,1,42,27493,2352,290,291,342665,171478,11843653,5.1227965,0.8074075694,4.4547610499,3.0958231622,-0.6527814688,0.0,79.2517,8.5255401164,6.0780884534,-4.2533822684
2,OPTUNA_0002,2,42,26989,2856,446,447,484247,242347,16760462,6.8910374,0.8400685678,4.2952313028,2.9431538357,0.6565733058,0.0,74.4405,6.6534662308,5.0093524065,-3.0483067988
2,OPTUNA_0002,4,42,27061,2784,649,650,690132,345391,23894623,9.4911862,0.7080237341,5.6575124598,3.6420834482,-0.781973096,0.0,79.3608,13.0448966117,10.1794008853,-9.1478766803
3,OPTUNA_0003,0,42,25813,4032,1971,1972,26988,14480,2217800,3.9332055,0.7741406954,5.0469343497,3.4093099239,1.6227485898,0.0,74.5625,6.018754968,4.2123013309,-1.7302322585
3,OPTUNA_0003,3,42,26466,3379,1297,1298,17618,9458,1455072,2.646844,0.7755308329,5.3514560311,3.6429458759,-0.0684590001,0.0,77.4434,11.1651412598,8.1073617171,-6.602598224
3,OPTUNA_0003,1,42,27493,2352,742,743,9955,5349,828821,1.5664982,0.7875176838,4.6791417573,3.2804509752,-1.1748599293,0.0,79.2517,8.7719877092,6.4012888802,-4.6414220351
3,OPTUNA_0003,2,42,26989,2856,766,767,10341,5554,857779,1.5990543,0.8245449568,4.4988609554,3.1343659762,0.5230852437,0.0,74.4405,7.0232486863,5.437861196,-3.6070078938
3,OPTUNA_0003,4,42,27061,2784,1216,1217,16475,8846,1362846,2.4037377,0.6768218363,5.9521346666,3.9923364265,-0.7563469971,0.0,79.3608,13.1090264714,10.4444092535,-9.4992531352
4,OPTUNA_0004,0,42,25813,4032,3998,3999,598313,301156,22982065,19.7742075,0.7801662671,4.9791571032,3.319664043,1.5025005511,0.0,74.5625,5.858264843,4.1582540652,-1.8766203124
4,OPTUNA_0004,3,42,26466,3379,3992,3993,598471,301232,22983464,20.1958443,0.7809510202,5.2864512459,3.5357535347,0.1140671472,0.0,77.4434,11.0851749698,7.7476889598,-6.0495261693
4,OPTUNA_0004,1,42,27493,2352,2798,2799,458439,230619,17434671,14.6172911,0.7948788652,4.5973758691,3.1734997179,-0.8240632395,0.0,79.2517,8.8286116531,6.3073200076,-4.5290398898
4,OPTUNA_0004,2,42,26989,2856,3998,3999,619041,311520,23686894,19.9351835,0.8385160427,4.3160288063,2.9446118921,0.6216245708,0.0,74.4405,6.7814054097,5.1748730072,-3.1562217834
4,OPTUNA_0004,4,42,27061,2784,3965,3966,613100,308533,23463143,20.375448,0.7004932763,5.7300054129,3.7931296762,-0.7494896238,0.0,79.3608,12.8885717178,10.2105952251,-9.2896822949
5,OPTUNA_0005,0,42,25813,4032,2095,2096,166158,84127,7031862,7.636427,0.7792321045,4.9897251159,3.3535235024,1.5199739442,0.0,74.5625,5.8910180962,4.1911250539,-1.9575200892
5,OPTUNA_0005,3,42,26466,3379,2305,2306,179988,91147,7640465,8.2397489,0.7805382715,5.2914294692,3.551068829,0.0896347462,0.0,77.4434,11.0556101801,7.740699017,-6.0272314194
5,OPTUNA_0005,1,42,27493,2352,2194,2195,179913,91054,7564819,7.9143396,0.7959023255,4.5858921295,3.1773524032,-0.8366636014,0.0,79.2517,8.7413451138,6.3422500909,-4.4052075266
5,OPTUNA_0005,2,42,26989,2856,2099,2100,169088,85594,7134116,7.6560815,0.8369195114,4.3373118114,2.9569830509,0.6014428321,0.0,74.4405,6.9153483801,5.2907676144,-3.3231169762
5,OPTUNA_0005,4,42,27061,2784,3469,3470,269398,136434,11447622,12.21805,0.7042490631,5.6939652008,3.7662095496,-0.7466896922,0.0,79.3608,12.785632361,10.1426446445,-9.0789803628
6,OPTUNA_0006,0,42,25813,4032,588,589,45069,22829,1921347,2.0018556,0.7722071526,5.0684912814,3.3362776645,1.4433560117,0.0,74.5625,6.074297195,4.2098936689,-1.9527101147
6,OPTUNA_0006,3,42,26466,3379,288,289,23281,11785,982843,1.1343695,0.7851645953,5.2353598862,3.534767412,-0.0152285598,0.0,77.4434,11.0408968505,7.8573671833,-6.273866326
7,OPTUNA_0007,0,42,25813,4032,142,143,284685,142414,9774590,4.3802718,0.726074287,5.558083443,3.7560684131,1.6377860062,0.0,74.5625,7.3247328502,4.9284025215,-3.1706859672
7,OPTUNA_0007,3,42,26466,3379,182,183,367247,183715,12608145,5.0072367,0.7665881624,5.4570138093,3.8791518044,0.3508439784,0.0,77.4434,10.7984823444,8.052779179,-6.5919152433
8,OPTUNA_0008,0,42,25813,4032,3990,3991,7117241,3560616,244624951,52.938543,0.7721028192,5.0696518811,3.3284974673,1.4900574883,0.0,74.5625,6.3755329558,4.3355884591,-2.6952103255
8,OPTUNA_0008,3,42,26466,3379,3260,3261,6108835,3056048,209856658,45.4497699,0.7949894541,5.1142471866,3.4783883454,0.3466246703,0.0,77.4434,10.4609392642,7.3622129829,-6.1375479612
9,OPTUNA_0009,0,42,25813,4032,3998,3999,141395,72697,7443562,10.9429494,0.7733822755,5.0554008762,3.4824638654,1.6309602923,0.0,74.5625,6.4612148604,4.6195910782,-2.4996295881
9,OPTUNA_0009,3,42,26466,3379,3998,3999,143451,73725,7513467,10.7960839,0.7671646056,5.4502712138,3.6496355476,0.0254429861,0.0,77.4434,11.753423699,8.3118561454,-6.8265138884
10,OPTUNA_0010,0,42,25813,4032,1868,1869,2699651,1350760,93024156,29.7553372,0.7774291158,5.0100589701,3.3138869387,1.5002128142,0.0,74.5625,5.9532638384,4.23227247,-2.0179999804
10,OPTUNA_0010,3,42,26466,3379,3423,3424,5714798,2859111,196566979,60.0053585,0.7884644127,5.1949973956,3.5000765897,0.1034089011,0.0,77.4434,10.8947649563,7.7079112999,-6.1159343943
10,OPTUNA_0010,1,42,27493,2352,2204,2205,3386469,1694337,116598073,36.7537443,0.8029750423,4.5057327447,3.1368945481,-0.7755722919,0.0,79.2517,8.5828222063,6.0489838755,-4.3401838458
10,OPTUNA_0010,2,42,26989,2856,2392,2393,3759303,1880848,129398702,40.4564652,0.8455502933,4.2209789542,2.906360592,0.5903629236,0.0,74.4405,6.6466214555,5.1199869222,-2.9829371994
10,OPTUNA_0010,4,42,27061,2784,3159,3160,5285502,2644331,181796451,55.9283378,0.7024035818,5.7117027009,3.746781146,-0.7272265189,0.0,79.3608,12.9412690642,10.1289448542,-9.0939431505
11,OPTUNA_0011,0,42,25813,4032,449,450,267688,134069,9399035,3.392386,0.7732085314,5.0573384506,3.2808057437,1.4636894692,0.0,74.5625,6.1368044629,4.275838993,-2.257088832
11,OPTUNA_0011,3,42,26466,3379,758,759,269995,135377,9680808,3.6719143,0.7897938811,5.1786467881,3.4940126699,0.1711058882,0.0,77.4434,10.6217066022,7.4750924702,-6.0254121135
12,OPTUNA_0012,0,42,25813,4032,151,152,52604,26378,1889643,1.7475129,0.7721116882,5.0695532327,3.354628056,1.5082316976,0.0,74.5625,5.9001637289,4.2283150053,-2.0315231011
12,OPTUNA_0012,3,42,26466,3379,378,379,119101,59740,4300363,3.268469,0.7823455908,5.2695963387,3.5593667518,0.1265713523,0.0,77.4434,10.6590574864,7.4354978593,-5.7003651115
13,OPTUNA_0013,0,42,25813,4032,2208,2209,3636619,1819414,125105841,37.1611954,0.7748023997,5.0395358762,3.2771691585,1.4256945177,0.0,74.5625,6.1337779777,4.263180279,-2.0548470005
13,OPTUNA_0013,3,42,26466,3379,1520,1521,2516355,1258938,86562107,26.2167311,0.7941519243,5.1246831595,3.4529934619,0.1608854957,0.0,77.4434,10.6442160036,7.5056870687,-5.8176424487
14,OPTUNA_0014,0,42,25813,4032,1157,1158,2889540,1445349,99010570,27.3446556,0.7711253835,5.0805119465,3.2951143901,1.4345370882,0.0,74.5625,6.156121141,4.2829556884,-2.3052088302
14,OPTUNA_0014,3,42,26466,3379,813,814,2255516,1128165,77226370,22.1701632,0.7922613495,5.1481627383,3.4656927493,0.2048906388,0.0,77.4434,10.593618473,7.3484638383,-5.9366121234
15,OPTUNA_0015,0,42,25813,4032,1070,1071,1310037,655554,45249508,15.5160228,0.774779907,5.0397875445,3.2923601384,1.4459959657,0.0,74.5625,6.2055619164,4.3360134541,-2.3602157261
15,OPTUNA_0015,3,42,26466,3379,2389,2390,1946190,974290,67749158,25.3368712,0.7963335874,5.0974540638,3.4472083078,0.1612279876,0.0,77.4434,10.4689499653,7.2847135055,-5.8963278594
16,OPTUNA_0016,0,42,25813,4032,117,118,102872,51495,3576374,2.0397067,0.7757505775,5.0289153895,3.3178479576,1.4777554113,0.0,74.5625,6.0925182499,4.3593203735,-2.2136885868
16,OPTUNA_0016,3,42,26466,3379,338,339,234703,117521,8204477,3.6957204,0.7929315879,5.1398511317,3.5032917852,0.1307777035,0.0,77.4434,10.4021901719,7.2716210333,-5.5808747984
17,OPTUNA_0017,0,42,25813,4032,1196,1197,402235,201716,14466801,7.8178953,0.7808608279,4.9712851005,3.294900998,1.4666660126,0.0,74.5625,5.9180683765,4.1852561534,-1.8656944906
17,OPTUNA_0017,3,42,26466,3379,1499,1500,528438,264969,18957683,9.7582723,0.7907690388,5.166620812,3.4797677432,0.1067152411,0.0,77.4434,10.7465992502,7.6124561965,-5.9586564576
17,OPTUNA_0017,1,42,27493,2352,1265,1266,436510,218888,15677692,8.268693,0.7993064354,4.5474876685,3.1695740522,-0.7883697092,0.0,79.2517,8.6633568683,6.0910190197,-4.3848290421
17,OPTUNA_0017,2,42,26989,2856,1375,1376,484484,242930,17381407,8.9871962,0.8426555722,4.2603504653,2.9327528487,0.5901328397,0.0,74.4405,6.5945291281,5.0165660292,-2.9000697971
17,OPTUNA_0017,4,42,27061,2784,1546,1547,553685,277616,19847101,10.0269189,0.7071696778,5.6657807788,3.7404662622,-0.68658064,0.0,79.3608,12.7343165862,10.0144855985,-8.9186046788
18,OPTUNA_0018,0,42,25813,4032,1086,1087,688909,344998,24141356,10.0716942,0.7760739042,5.0252886928,3.2698144024,1.4496918879,0.0,74.5625,6.0462570422,4.2584575152,-2.0817635044
18,OPTUNA_0018,3,42,26466,3379,1977,1978,1061772,531875,37406763,16.5784620999,0.7963028259,5.0978390056,3.4457777265,0.1324337021,0.0,77.4434,10.3700375974,7.2129045019,-5.6352883625
19,OPTUNA_0019,0,42,25813,4032,1028,1029,518719,259874,18316378,7.2689535,0.7769837071,5.0150695283,3.2716266802,1.4316332606,0.0,74.5625,6.2105414267,4.3735086352,-2.0913689121
19,OPTUNA_0019,3,42,26466,3379,1817,1818,805536,403677,28588899,11.6210118,0.7991097768,5.0625930034,3.4337685183,0.1487493971,0.0,77.4434,10.2665165245,7.1925760334,-5.5731672928
19,OPTUNA_0019,1,42,27493,2352,528,529,332197,166363,11644632,4.3956671,0.8028017035,4.5077143371,3.1612048682,-0.6411283909,0.0,79.2517,8.4121912534,5.8435889202,-4.2979489562
19,OPTUNA_0019,2,42,26989,2856,2132,2133,938993,470563,33334335,13.4276601,0.8410782182,4.2816518959,2.9335586499,0.585406005,0.0,74.4405,6.605065587,4.9356632097,-3.1095207123
19,OPTUNA_0019,4,42,27061,2784,836,837,456397,228617,16070709,6.1222608,0.7070388844,5.6670459554,3.6723661515,-0.8035869419,0.0,79.3608,12.897073065,10.1032842184,-9.1088242982
20,OPTUNA_0020,0,42,25813,4032,1019,1020,162034,81527,6182930,4.6638722999,0.7768808243,5.0162261804,3.3010193869,1.4628143217,0.0,74.5625,5.9587505517,4.2320450249,-1.8652650162
20,OPTUNA_0020,3,42,26466,3379,1638,1639,242251,121945,9318674,7.1876709,0.7943868887,5.1217575497,3.4596482457,0.1297329653,0.0,77.4434,10.3937711727,7.2660178841,-5.5155365056
21,OPTUNA_0021,0,42,25813,4032,195,196,222950,111573,7710541,3.1329223,0.7717421579,5.0736618129,3.2788714263,1.3989832061,0.0,74.5625,6.1758273791,4.287512935,-2.0979818031
21,OPTUNA_0021,3,42,26466,3379,289,290,300722,150506,10416861,3.983114,0.793516255,5.1325897005,3.491188463,0.1705335335,0.0,77.4434,10.3894060488,7.2621949947,-5.6055245708
22,OPTUNA_0022,0,42,25813,4032,3233,3234,722070,362652,26685577,14.2241736,0.7785023132,4.9979655653,3.3020231858,1.477921538,0.0,74.5625,5.9523410053,4.2115672925,-1.8595063435
22,OPTUNA_0022,3,42,26466,3379,3379,3380,747202,375291,27636417,14.5674219,0.7974723184,5.0831837543,3.4163379672,0.0969026544,0.0,77.4434,10.4872580587,7.4126240084,-5.8040898338
22,OPTUNA_0022,1,42,27493,2352,1984,1985,436291,219138,16144763,8.752621,0.8056699913,4.4748114608,3.1063883276,-0.8072960864,0.0,79.2517,8.6493103116,6.1875651883,-4.3443008093
22,OPTUNA_0022,2,42,26989,2856,3544,3545,801717,402631,29598844,15.8499497,0.8459379624,4.2156782935,2.8695197442,0.6185244547,0.0,74.4405,6.5262146969,4.8913041491,-2.7220317936
22,OPTUNA_0022,4,42,27061,2784,3404,3405,760883,382144,28118078,15.5732903,0.7042423421,5.6940298988,3.7489968891,-0.7196461742,0.0,79.3608,12.8435540766,10.1322860244,-9.0063818063
23,OPTUNA_0023,0,42,25813,4032,552,553,727729,364141,25108967,9.4960785,0.7784616337,4.9984244989,3.2333052397,1.4176061022,0.0,74.5625,6.0744900609,4.2374197108,-2.0842899199
23,OPTUNA_0023,3,42,26466,3379,813,814,1037480,519147,35812920,13.1188422,0.7970203083,5.0888530283,3.4342395353,0.1548040961,0.0,77.4434,10.3731806794,7.1610894339,-5.5262749461
