record_type,year,feature,lag_decorrelation,confidence_band,fallback_168,candidate_records,n_blocks,mean_block_rows,lag_records,median_abs_acf,q25_abs_acf,q75_abs_acf
acf,2011,AT,168,0.0227676215967,True,,,,,,,
acf,2011,AP,168,0.0227676215967,True,,,,,,,
acf,2011,AH,9,0.0227676215967,False,,,,,,,
acf,2011,AFDP,168,0.0227676215967,True,,,,,,,
acf,2011,GTEP,33,0.0227676215967,False,,,,,,,
acf,2011,TIT,32,0.0227676215967,False,,,,,,,
acf,2011,TAT,168,0.0227676215967,True,,,,,,,
acf,2011,TEY,168,0.0227676215967,True,,,,,,,
acf,2011,CDP,168,0.0227676215967,True,,,,,,,
acf,2012,AT,168,0.0224414404297,True,,,,,,,
acf,2012,AP,168,0.0224414404297,True,,,,,,,
acf,2012,AH,11,0.0224414404297,False,,,,,,,
acf,2012,AFDP,168,0.0224414404297,True,,,,,,,
acf,2012,GTEP,168,0.0224414404297,True,,,,,,,
acf,2012,TIT,10,0.0224414404297,False,,,,,,,
acf,2012,TAT,168,0.0224414404297,True,,,,,,,
acf,2012,TEY,168,0.0224414404297,True,,,,,,,
acf,2012,CDP,168,0.0224414404297,True,,,,,,,
acf,2013,AT,168,0.0231762047222,True,,,,,,,
acf,2013,AP,168,0.0231762047222,True,,,,,,,
acf,2013,AH,11,0.0231762047222,False,,,,,,,
acf,2013,AFDP,168,0.0231762047222,True,,,,,,,
acf,2013,GTEP,32,0.0231762047222,False,,,,,,,
acf,2013,TIT,10,0.0231762047222,False,,,,,,,
acf,2013,TAT,168,0.0231762047222,True,,,,,,,
acf,2013,TEY,80,0.0231762047222,False,,,,,,,
acf,2013,CDP,33,0.0231762047222,False,,,,,,,
acf,2014,AT,168,0.0231664892723,True,,,,,,,
acf,2014,AP,168,0.0231664892723,True,,,,,,,
acf,2014,AH,31,0.0231664892723,False,,,,,,,
acf,2014,AFDP,168,0.0231664892723,True,,,,,,,
acf,2014,GTEP,80,0.0231664892723,False,,,,,,,
acf,2014,TIT,168,0.0231664892723,True,,,,,,,
acf,2014,TAT,154,0.0231664892723,False,,,,,,,
acf,2014,TEY,168,0.0231664892723,True,,,,,,,
acf,2014,CDP,58,0.0231664892723,False,,,,,,,
acf,2015,AT,168,0.0228092091417,True,,,,,,,
acf,2015,AP,168,0.0228092091417,True,,,,,,,
acf,2015,AH,15,0.0228092091417,False,,,,,,,
acf,2015,AFDP,168,0.0228092091417,True,,,,,,,
acf,2015,GTEP,168,0.0228092091417,True,,,,,,,
acf,2015,TIT,168,0.0228092091417,True,,,,,,,
acf,2015,TAT,168,0.0228092091417,True,,,,,,,
acf,2015,TEY,168,0.0228092091417,True,,,,,,,
acf,2015,CDP,168,0.0228092091417,True,,,,,,,
acf_summary,,,,,,,,,0,1,1,1
acf_summary,,,,,,,,,1,0.864759394491,0.846457682915,0.956842643271
acf_summary,,,,,,,,,2,0.759503610565,0.69719333975,0.867574319379
acf_summary,,,,,,,,,3,0.666770365873,0.576941539017,0.780858170072
acf_summary,,,,,,,,,4,0.576103940652,0.471278283185,0.724486761154
acf_summary,,,,,,,,,5,0.456814871468,0.383249803548,0.679206300847
acf_summary,,,,,,,,,6,0.397913754758,0.305488232867,0.645839132791
acf_summary,,,,,,,,,7,0.330244921089,0.239322650502,0.620271123184
acf_summary,,,,,,,,,8,0.276557265943,0.186977681756,0.599507536588
acf_summary,,,,,,,,,9,0.241231376271,0.120981171074,0.580602654279
acf_summary,,,,,,,,,10,0.225591184243,0.107475643569,0.564559733073
acf_summary,,,,,,,,,11,0.202824984093,0.108852291305,0.551349554167
acf_summary,,,,,,,,,12,0.204138426053,0.108277412327,0.545371301734
acf_summary,,,,,,,,,13,0.201877520265,0.111403195414,0.54271344145
acf_summary,,,,,,,,,14,0.214295076698,0.119374304066,0.547332472263
acf_summary,,,,,,,,,15,0.232825847662,0.135535873522,0.557456414347
acf_summary,,,,,,,,,16,0.265026422088,0.165230160187,0.568040189583
acf_summary,,,,,,,,,17,0.30294182319,0.212314655686,0.580949187783
acf_summary,,,,,,,,,18,0.343972797374,0.264641362933,0.598110343044
acf_summary,,,,,,,,,19,0.419565520598,0.333522309679,0.626617403586
acf_summary,,,,,,,,,20,0.468731192796,0.388744079745,0.660377235451
acf_summary,,,,,,,,,21,0.499946526646,0.437772035226,0.687190714154
acf_summary,,,,,,,,,22,0.524384515708,0.473119376418,0.706199172218
acf_summary,,,,,,,,,23,0.548121429611,0.486742282177,0.689061625303
acf_summary,,,,,,,,,24,0.548376640541,0.486850744686,0.687193438664
acf_summary,,,,,,,,,25,0.509734429715,0.439625982625,0.663191188612
acf_summary,,,,,,,,,26,0.460996181486,0.386013159073,0.635106743398
acf_summary,,,,,,,,,27,0.41381681338,0.317383329182,0.616782437528
acf_summary,,,,,,,,,28,0.340943554237,0.24874039217,0.590714188776
acf_summary,,,,,,,,,29,0.288552845776,0.198181279894,0.563188131565
acf_summary,,,,,,,,,30,0.233297024536,0.146696332142,0.542762471825
acf_summary,,,,,,,,,31,0.190037020947,0.106401416776,0.524312555629
acf_summary,,,,,,,,,32,0.181974488639,0.078985243352,0.510026998896
acf_summary,,,,,,,,,33,0.174050537122,0.0681857855984,0.499162905328
acf_summary,,,,,,,,,34,0.172292189669,0.0691963656271,0.49092086823
acf_summary,,,,,,,,,35,0.170264273434,0.0614160000719,0.482441360859
acf_summary,,,,,,,,,36,0.175973096884,0.0685453502738,0.478873172102
acf_summary,,,,,,,,,37,0.185164154256,0.0823861041907,0.465303150445
acf_summary,,,,,,,,,38,0.181922302883,0.082326901944,0.451862296789
acf_summary,,,,,,,,,39,0.211598525679,0.0925847972284,0.465577937283
acf_summary,,,,,,,,,40,0.242654414195,0.124151323637,0.484792150279
acf_summary,,,,,,,,,41,0.268051900208,0.158584873401,0.473431189864
acf_summary,,,,,,,,,42,0.299412854385,0.21275064257,0.479221758668
acf_summary,,,,,,,,,43,0.33890120328,0.252884778372,0.476986506629
acf_summary,,,,,,,,,44,0.383267980437,0.292484368075,0.469171419432
acf_summary,,,,,,,,,45,0.383502891317,0.32994102848,0.513373466305
acf_summary,,,,,,,,,46,0.389981047351,0.354186732517,0.545313163011
acf_summary,,,,,,,,,47,0.404552695256,0.359052942463,0.552036957189
acf_summary,,,,,,,,,48,0.402200816242,0.359355129082,0.539305544983
acf_summary,,,,,,,,,49,0.396889692279,0.332393288685,0.523311328945
acf_summary,,,,,,,,,50,0.351849472662,0.274252612028,0.484970446811
acf_summary,,,,,,,,,51,0.31727983271,0.218652404523,0.418124319098
acf_summary,,,,,,,,,52,0.265197043503,0.168456273669,0.413067639832
acf_summary,,,,,,,,,53,0.217817576394,0.124676813238,0.410611773892
acf_summary,,,,,,,,,54,0.169187250967,0.092241796872,0.404479784886
acf_summary,,,,,,,,,55,0.133169314167,0.0621859557749,0.404207717657
acf_summary,,,,,,,,,56,0.132461994369,0.0588487414831,0.399792602969
acf_summary,,,,,,,,,57,0.157296758083,0.0567038155795,0.387333092519
acf_summary,,,,,,,,,58,0.177561662037,0.0582525275783,0.382081965743
acf_summary,,,,,,,,,59,0.173969262354,0.0755890944571,0.379501188658
acf_summary,,,,,,,,,60,0.163976170238,0.0759379934217,0.381409832889
acf_summary,,,,,,,,,61,0.18032731582,0.0811028646214,0.371798286017
acf_summary,,,,,,,,,62,0.193984053925,0.0790220737396,0.37063449151
acf_summary,,,,,,,,,63,0.211814468016,0.0854145340182,0.364366857624
acf_summary,,,,,,,,,64,0.230574223829,0.113471527763,0.365050884198
acf_summary,,,,,,,,,65,0.246743853803,0.144992449883,0.370147043608
acf_summary,,,,,,,,,66,0.267433893173,0.176148352527,0.368320196808
acf_summary,,,,,,,,,67,0.288351106999,0.217655504666,0.387096578531
acf_summary,,,,,,,,,68,0.290713203084,0.24568029758,0.420717658464
acf_summary,,,,,,,,,69,0.301007037902,0.266646058011,0.448684591897
acf_summary,,,,,,,,,70,0.313436740811,0.276368792235,0.476346682481
acf_summary,,,,,,,,,71,0.327364727644,0.279595252004,0.477146035564
acf_summary,,,,,,,,,72,0.321811150892,0.268495388728,0.473157386101
acf_summary,,,,,,,,,73,0.298611722301,0.253864372744,0.443902535998
acf_summary,,,,,,,,,74,0.260246806517,0.206770002484,0.419011900135
acf_summary,,,,,,,,,75,0.245010881978,0.167205070337,0.368693690105
acf_summary,,,,,,,,,76,0.224316384252,0.129637982816,0.364436541415
acf_summary,,,,,,,,,77,0.174220733572,0.0901282354012,0.361340583274
acf_summary,,,,,,,,,78,0.157878081742,0.0632922650228,0.361892823969
acf_summary,,,,,,,,,79,0.150000923278,0.0628236363642,0.358270398384
acf_summary,,,,,,,,,80,0.153105727254,0.059681873905,0.354179543517
acf_summary,,,,,,,,,81,0.156613003848,0.0598876829436,0.353720617567
acf_summary,,,,,,,,,82,0.160980353311,0.0613911670371,0.355667397207
acf_summary,,,,,,,,,83,0.165702116075,0.0634122457684,0.354229142472
acf_summary,,,,,,,,,84,0.165489038114,0.0677873334323,0.353608999658
acf_summary,,,,,,,,,85,0.172729418264,0.0653989434449,0.35292982511
acf_summary,,,,,,,,,86,0.18351803195,0.0564596729456,0.357910589016
acf_summary,,,,,,,,,87,0.184912609783,0.0740147328523,0.357336595055
acf_summary,,,,,,,,,88,0.180215761909,0.0988947359616,0.35245656813
acf_summary,,,,,,,,,89,0.20157846451,0.125715939905,0.351272804998
acf_summary,,,,,,,,,90,0.223571131461,0.146889940828,0.350683521555
acf_summary,,,,,,,,,91,0.23224577049,0.172894720128,0.369629872515
acf_summary,,,,,,,,,92,0.241664192239,0.1954636682,0.393633636256
acf_summary,,,,,,,,,93,0.250742582523,0.220269672885,0.406427508477
acf_summary,,,,,,,,,94,0.266976195283,0.228819231057,0.409429589607
acf_summary,,,,,,,,,95,0.271208404406,0.236517537513,0.41371843259
acf_summary,,,,,,,,,96,0.264075077618,0.230625378925,0.395063678874
acf_summary,,,,,,,,,97,0.243673047184,0.203372523594,0.392787645981
acf_summary,,,,,,,,,98,0.218664919921,0.182741126051,0.373818864388
acf_summary,,,,,,,,,99,0.189713509089,0.145765251369,0.360169148829
acf_summary,,,,,,,,,100,0.178506504803,0.110142907555,0.351190985684
acf_summary,,,,,,,,,101,0.164942170134,0.0802289825186,0.345218769148
acf_summary,,,,,,,,,102,0.138072941248,0.0654405681058,0.343149644384
acf_summary,,,,,,,,,103,0.136389525635,0.0640930990985,0.339950472774
acf_summary,,,,,,,,,104,0.134958685063,0.0567573909954,0.339052591614
acf_summary,,,,,,,,,105,0.133693184148,0.0726326653957,0.34127697908
acf_summary,,,,,,,,,106,0.132471741301,0.0738151338658,0.346620523759
acf_summary,,,,,,,,,107,0.140585604607,0.0794530358207,0.347849713944
acf_summary,,,,,,,,,108,0.144064076192,0.0645900174268,0.345216721803
acf_summary,,,,,,,,,109,0.133879110103,0.0580364306625,0.342507824826
acf_summary,,,,,,,,,110,0.13592866962,0.0619990697591,0.339750605639
acf_summary,,,,,,,,,111,0.137257608391,0.0791123108613,0.337031516615
acf_summary,,,,,,,,,112,0.168481160576,0.0904939218188,0.334425850274
acf_summary,,,,,,,,,113,0.170133903994,0.119051351554,0.331956999769
acf_summary,,,,,,,,,114,0.222857204033,0.130656932171,0.329638746105
acf_summary,,,,,,,,,115,0.233292648277,0.16180845742,0.345429202214
acf_summary,,,,,,,,,116,0.234675249399,0.179169909296,0.363587513398
acf_summary,,,,,,,,,117,0.242247875689,0.190771943902,0.389863874583
acf_summary,,,,,,,,,118,0.248865401737,0.205049927405,0.382602879491
acf_summary,,,,,,,,,119,0.255659184798,0.210765448067,0.362712784848
acf_summary,,,,,,,,,120,0.252769699048,0.209740783296,0.36221019202
acf_summary,,,,,,,,,121,0.230641438908,0.177558164747,0.362281922603
acf_summary,,,,,,,,,122,0.192397966593,0.158177895863,0.348809696612
acf_summary,,,,,,,,,123,0.170984640316,0.119002339606,0.310805457211
acf_summary,,,,,,,,,124,0.154909755159,0.0856547571101,0.308802990637
acf_summary,,,,,,,,,125,0.144825953291,0.0801784688087,0.307021111171
acf_summary,,,,,,,,,126,0.139989171233,0.0725818171044,0.305427104506
