global_row_id,year,row_in_year,global_position,block_id,block_size_records,operating_stratum,density_stratum,is_feature_extreme_anchor,partition,is_support_promoted_anchor,is_external_support_promoted_anchor,is_fold_support_promoted_anchor,promoted_by_knn,promoted_by_marginal_gate,cv_role,cv_fold,knn_k_distance,knn_distance_reference,test_marginal_in_dev_range,test_multivariate_in_dev_support,exact_x_duplicate_count,has_exact_x_duplicate
2011_000000,2011,0,0,Y2011_B0000,168,Y2011_TEY_Q3,D3,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.512376155287,DEV_LEAVE_ONE_OUT,,,1,False
2011_000001,2011,1,1,Y2011_B0000,168,Y2011_TEY_Q3,D3,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.521012337365,DEV_LEAVE_ONE_OUT,,,1,False
2011_000002,2011,2,2,Y2011_B0000,168,Y2011_TEY_Q3,D3,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.568826118806,DEV_LEAVE_ONE_OUT,,,1,False
2011_000003,2011,3,3,Y2011_B0000,168,Y2011_TEY_Q3,D3,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.57535736073,DEV_LEAVE_ONE_OUT,,,1,False
2011_000004,2011,4,4,Y2011_B0000,168,Y2011_TEY_Q3,D2,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.550200802155,DEV_LEAVE_ONE_OUT,,,1,False
2011_000005,2011,5,5,Y2011_B0000,168,Y2011_TEY_Q3,D2,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.506578575173,DEV_LEAVE_ONE_OUT,,,1,False
2011_000006,2011,6,6,Y2011_B0000,168,Y2011_TEY_Q3,D2,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.520334723994,DEV_LEAVE_ONE_OUT,,,1,False
2011_000007,2011,7,7,Y2011_B0000,168,Y2011_TEY_Q3,D2,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.511689543381,DEV_LEAVE_ONE_OUT,,,1,False
2011_000008,2011,8,8,Y2011_B0000,168,Y2011_TEY_Q3,D3,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.528637460073,DEV_LEAVE_ONE_OUT,,,1,False
2011_000009,2011,9,9,Y2011_B0000,168,Y2011_TEY_Q2,D3,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.529218061293,DEV_LEAVE_ONE_OUT,,,1,False
2011_000010,2011,10,10,Y2011_B0000,168,Y2011_TEY_Q3,D2,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.470528342728,DEV_LEAVE_ONE_OUT,,,1,False
2011_000011,2011,11,11,Y2011_B0000,168,Y2011_TEY_Q4,D4,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.864743860698,DEV_LEAVE_ONE_OUT,,,1,False
2011_000012,2011,12,12,Y2011_B0000,168,Y2011_TEY_Q4,D3,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.533892359353,DEV_LEAVE_ONE_OUT,,,1,False
2011_000013,2011,13,13,Y2011_B0000,168,Y2011_TEY_Q4,D2,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.50610924513,DEV_LEAVE_ONE_OUT,,,1,False
2011_000014,2011,14,14,Y2011_B0000,168,Y2011_TEY_Q4,D3,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.53152554141,DEV_LEAVE_ONE_OUT,,,1,False
2011_000015,2011,15,15,Y2011_B0000,168,Y2011_TEY_Q4,D3,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.530315926958,DEV_LEAVE_ONE_OUT,,,1,False
2011_000016,2011,16,16,Y2011_B0000,168,Y2011_TEY_Q4,D3,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.519777306649,DEV_LEAVE_ONE_OUT,,,1,False
2011_000017,2011,17,17,Y2011_B0000,168,Y2011_TEY_Q4,D3,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.549862763081,DEV_LEAVE_ONE_OUT,,,1,False
2011_000018,2011,18,18,Y2011_B0000,168,Y2011_TEY_Q4,D3,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.596139638408,DEV_LEAVE_ONE_OUT,,,1,False
2011_000019,2011,19,19,Y2011_B0000,168,Y2011_TEY_Q3,D2,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.416507581301,DEV_LEAVE_ONE_OUT,,,1,False
2011_000020,2011,20,20,Y2011_B0000,168,Y2011_TEY_Q1,D4,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.857657921887,DEV_LEAVE_ONE_OUT,,,1,False
2011_000021,2011,21,21,Y2011_B0000,168,Y2011_TEY_Q2,D2,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.413816141386,DEV_LEAVE_ONE_OUT,,,1,False
2011_000022,2011,22,22,Y2011_B0000,168,Y2011_TEY_Q1,D3,False,DEV,False,False,False,False,False,VALIDATABLE,1,0.637741226369,DEV_LEAVE_ONE_OUT,,,1,False
