record_type,year,partition,feature,rows,blocks,fraction,minimum,maximum,mean,std
partition,ALL,DEV,,29845,180,0.812484686794,,,,
partition,ALL,TEST,,6888,41,0.187515313206,,,,
partition,2011,DEV,,6067,37,0.818647955741,,,,
partition,2011,TEST,,1344,8,0.181352044259,,,,
partition,2012,DEV,,6116,37,0.801782905087,,,,
partition,2012,TEST,,1512,9,0.198217094913,,,,
partition,2013,DEV,,5808,35,0.812080536913,,,,
partition,2013,TEST,,1344,8,0.187919463087,,,,
partition,2014,DEV,,5814,35,0.812238055323,,,,
partition,2014,TEST,,1344,8,0.187761944677,,,,
partition,2015,DEV,,6040,36,0.817984832069,,,,
partition,2015,TEST,,1344,8,0.182015167931,,,,
feature,ALL,DEV,AT,29845,,,-6.2348,37.103,16.9137176702,7.36262153679
feature,ALL,TEST,AT,6888,,,0.28985,34.929,21.1747487819,6.79432340422
feature,ALL,DEV,AP,29845,,,985.85,1036.6,1013.28016318,6.74176565784
feature,ALL,TEST,AP,6888,,,999.86,1029.7,1012.16026423,4.98295191376
feature,ALL,DEV,AH,29845,,,24.085,100.2,78.0312015413,14.4464895949
feature,ALL,TEST,AH,6888,,,27.504,100.15,77.1556141115,14.5051829371
feature,ALL,DEV,AFDP,29845,,,2.0874,7.6106,3.90581445133,0.812158077712
feature,ALL,TEST,AFDP,6888,,,2.1882,6.3457,4.01088993902,0.572173572516
feature,ALL,DEV,GTEP,29845,,,17.698,40.716,25.5148693584,4.31810421906
feature,ALL,TEST,GTEP,6888,,,17.878,35.92,25.7758188153,3.61202383135
feature,ALL,DEV,TIT,29845,,,1000.8,1100.9,1080.70217792,18.0598445584
feature,ALL,TEST,TIT,6888,,,1020.8,1100.4,1084.57335947,14.6507604969
feature,ALL,DEV,TAT,29845,,,511.04,550.61,545.917517172,7.02599973026
feature,ALL,TEST,TAT,6888,,,516.37,550.56,547.202745354,5.86909496479
feature,ALL,DEV,TEY,29845,,,100.02,179.5,133.404135366,16.0763569037
feature,ALL,TEST,TEY,6888,,,100.5,171.88,133.949520906,13.4487497211
feature,ALL,DEV,CDP,29845,,,9.8518,15.159,12.042176321,1.11970221191
feature,ALL,TEST,CDP,6888,,,9.9046,14.837,12.1400287311,0.939190784407
operating_stratum,ALL,DEV,Y2011_TEY_Q1,1567,,,,,,
operating_stratum,ALL,TEST,Y2011_TEY_Q1,286,,,,,,
operating_stratum,ALL,DEV,Y2011_TEY_Q2,1462,,,,,,
operating_stratum,ALL,TEST,Y2011_TEY_Q2,391,,,,,,
operating_stratum,ALL,DEV,Y2011_TEY_Q3,1526,,,,,,
operating_stratum,ALL,TEST,Y2011_TEY_Q3,326,,,,,,
operating_stratum,ALL,DEV,Y2011_TEY_Q4,1512,,,,,,
operating_stratum,ALL,TEST,Y2011_TEY_Q4,341,,,,,,
operating_stratum,ALL,DEV,Y2012_TEY_Q1,1595,,,,,,
operating_stratum,ALL,TEST,Y2012_TEY_Q1,312,,,,,,
operating_stratum,ALL,DEV,Y2012_TEY_Q2,1465,,,,,,
operating_stratum,ALL,TEST,Y2012_TEY_Q2,442,,,,,,
operating_stratum,ALL,DEV,Y2012_TEY_Q3,1367,,,,,,
operating_stratum,ALL,TEST,Y2012_TEY_Q3,540,,,,,,
operating_stratum,ALL,DEV,Y2012_TEY_Q4,1689,,,,,,
operating_stratum,ALL,TEST,Y2012_TEY_Q4,218,,,,,,
operating_stratum,ALL,DEV,Y2013_TEY_Q1,1558,,,,,,
operating_stratum,ALL,TEST,Y2013_TEY_Q1,230,,,,,,
operating_stratum,ALL,DEV,Y2013_TEY_Q2,1394,,,,,,
operating_stratum,ALL,TEST,Y2013_TEY_Q2,394,,,,,,
operating_stratum,ALL,DEV,Y2013_TEY_Q3,1374,,,,,,
operating_stratum,ALL,TEST,Y2013_TEY_Q3,414,,,,,,
operating_stratum,ALL,DEV,Y2013_TEY_Q4,1482,,,,,,
operating_stratum,ALL,TEST,Y2013_TEY_Q4,306,,,,,,
operating_stratum,ALL,DEV,Y2014_TEY_Q1,1568,,,,,,
operating_stratum,ALL,TEST,Y2014_TEY_Q1,222,,,,,,
operating_stratum,ALL,DEV,Y2014_TEY_Q2,1295,,,,,,
operating_stratum,ALL,TEST,Y2014_TEY_Q2,494,,,,,,
operating_stratum,ALL,DEV,Y2014_TEY_Q3,1534,,,,,,
operating_stratum,ALL,TEST,Y2014_TEY_Q3,255,,,,,,
operating_stratum,ALL,DEV,Y2014_TEY_Q4,1417,,,,,,
operating_stratum,ALL,TEST,Y2014_TEY_Q4,373,,,,,,
operating_stratum,ALL,DEV,Y2015_TEY_Q1,1664,,,,,,
operating_stratum,ALL,TEST,Y2015_TEY_Q1,182,,,,,,
operating_stratum,ALL,DEV,Y2015_TEY_Q2,1327,,,,,,
operating_stratum,ALL,TEST,Y2015_TEY_Q2,519,,,,,,
operating_stratum,ALL,DEV,Y2015_TEY_Q3,1600,,,,,,
operating_stratum,ALL,TEST,Y2015_TEY_Q3,246,,,,,,
operating_stratum,ALL,DEV,Y2015_TEY_Q4,1449,,,,,,
operating_stratum,ALL,TEST,Y2015_TEY_Q4,397,,,,,,
density_stratum,ALL,DEV,D1,6325,,,,,,
density_stratum,ALL,TEST,D1,2859,,,,,,
density_stratum,ALL,DEV,D2,7166,,,,,,
density_stratum,ALL,TEST,D2,2017,,,,,,
density_stratum,ALL,DEV,D3,7843,,,,,,
density_stratum,ALL,TEST,D3,1340,,,,,,
density_stratum,ALL,DEV,D4,8511,,,,,,
density_stratum,ALL,TEST,D4,672,,,,,,
