check,status
canonical_files_exist,PASS
all_headers_exact,PASS
development_rows_exact,PASS
annual_development_rows_exact,PASS
targets_absent_from_memory,PASS
2015_absent_from_memory,PASS
unique_global_row_id,PASS
unique_global_position,PASS
complete_assignment_coverage,PASS
zero_materialized_target_reads,PASS
2015_header_only,PASS
2015_not_hashed,PASS
2015_stat_unchanged,PASS
development_files_unchanged,PASS
fold_checks_pass,PASS
contract_checks_pass,PASS
gap_frozen_at_zero,PASS
weighting_frozen_uniform,PASS
wf04_is_final_only,PASS
wf04_evaluates_2015,PASS
