global_row_id,year,row_in_year,global_position,WF01_role,WF02_role,WF03_role,WF04_role
2011_000000,2011,0,0,TRAIN,TRAIN,TRAIN,TRAIN
2011_000001,2011,1,1,TRAIN,TRAIN,TRAIN,TRAIN
2011_000002,2011,2,2,TRAIN,TRAIN,TRAIN,TRAIN
2011_000003,2011,3,3,TRAIN,TRAIN,TRAIN,TRAIN
2011_000004,2011,4,4,TRAIN,TRAIN,TRAIN,TRAIN
2011_000005,2011,5,5,TRAIN,TRAIN,TRAIN,TRAIN
2011_000006,2011,6,6,TRAIN,TRAIN,TRAIN,TRAIN
2011_000007,2011,7,7,TRAIN,TRAIN,TRAIN,TRAIN
2011_000008,2011,8,8,TRAIN,TRAIN,TRAIN,TRAIN
2011_000009,2011,9,9,TRAIN,TRAIN,TRAIN,TRAIN
2011_000010,2011,10,10,TRAIN,TRAIN,TRAIN,TRAIN
2011_000011,2011,11,11,TRAIN,TRAIN,TRAIN,TRAIN
2011_000012,2011,12,12,TRAIN,TRAIN,TRAIN,TRAIN
2011_000013,2011,13,13,TRAIN,TRAIN,TRAIN,TRAIN
2011_000014,2011,14,14,TRAIN,TRAIN,TRAIN,TRAIN
2011_000015,2011,15,15,TRAIN,TRAIN,TRAIN,TRAIN
2011_000016,2011,16,16,TRAIN,TRAIN,TRAIN,TRAIN
2011_000017,2011,17,17,TRAIN,TRAIN,TRAIN,TRAIN
2011_000018,2011,18,18,TRAIN,TRAIN,TRAIN,TRAIN
2011_000019,2011,19,19,TRAIN,TRAIN,TRAIN,TRAIN
2011_000020,2011,20,20,TRAIN,TRAIN,TRAIN,TRAIN
2011_000021,2011,21,21,TRAIN,TRAIN,TRAIN,TRAIN
2011_000022,2011,22,22,TRAIN,TRAIN,TRAIN,TRAIN
2011_000023,2011,23,23,TRAIN,TRAIN,TRAIN,TRAIN
2011_000024,2011,24,24,TRAIN,TRAIN,TRAIN,TRAIN
2011_000025,2011,25,25,TRAIN,TRAIN,TRAIN,TRAIN
2011_000026,2011,26,26,TRAIN,TRAIN,TRAIN,TRAIN
2011_000027,2011,27,27,TRAIN,TRAIN,TRAIN,TRAIN
2011_000028,2011,28,28,TRAIN,TRAIN,TRAIN,TRAIN
2011_000029,2011,29,29,TRAIN,TRAIN,TRAIN,TRAIN
2011_000030,2011,30,30,TRAIN,TRAIN,TRAIN,TRAIN
2011_000031,2011,31,31,TRAIN,TRAIN,TRAIN,TRAIN
2011_000032,2011,32,32,TRAIN,TRAIN,TRAIN,TRAIN
2011_000033,2011,33,33,TRAIN,TRAIN,TRAIN,TRAIN
2011_000034,2011,34,34,TRAIN,TRAIN,TRAIN,TRAIN
2011_000035,2011,35,35,TRAIN,TRAIN,TRAIN,TRAIN
2011_000036,2011,36,36,TRAIN,TRAIN,TRAIN,TRAIN
2011_000037,2011,37,37,TRAIN,TRAIN,TRAIN,TRAIN
2011_000038,2011,38,38,TRAIN,TRAIN,TRAIN,TRAIN
2011_000039,2011,39,39,TRAIN,TRAIN,TRAIN,TRAIN
2011_000040,2011,40,40,TRAIN,TRAIN,TRAIN,TRAIN
2011_000041,2011,41,41,TRAIN,TRAIN,TRAIN,TRAIN
2011_000042,2011,42,42,TRAIN,TRAIN,TRAIN,TRAIN
2011_000043,2011,43,43,TRAIN,TRAIN,TRAIN,TRAIN
2011_000044,2011,44,44,TRAIN,TRAIN,TRAIN,TRAIN
2011_000045,2011,45,45,TRAIN,TRAIN,TRAIN,TRAIN
2011_000046,2011,46,46,TRAIN,TRAIN,TRAIN,TRAIN
2011_000047,2011,47,47,TRAIN,TRAIN,TRAIN,TRAIN
2011_000048,2011,48,48,TRAIN,TRAIN,TRAIN,TRAIN
2011_000049,2011,49,49,TRAIN,TRAIN,TRAIN,TRAIN
2011_000050,2011,50,50,TRAIN,TRAIN,TRAIN,TRAIN
2011_000051,2011,51,51,TRAIN,TRAIN,TRAIN,TRAIN
2011_000052,2011,52,52,TRAIN,TRAIN,TRAIN,TRAIN
2011_000053,2011,53,53,TRAIN,TRAIN,TRAIN,TRAIN
2011_000054,2011,54,54,TRAIN,TRAIN,TRAIN,TRAIN
2011_000055,2011,55,55,TRAIN,TRAIN,TRAIN,TRAIN
2011_000056,2011,56,56,TRAIN,TRAIN,TRAIN,TRAIN
2011_000057,2011,57,57,TRAIN,TRAIN,TRAIN,TRAIN
2011_000058,2011,58,58,TRAIN,TRAIN,TRAIN,TRAIN
2011_000059,2011,59,59,TRAIN,TRAIN,TRAIN,TRAIN
2011_000060,2011,60,60,TRAIN,TRAIN,TRAIN,TRAIN
2011_000061,2011,61,61,TRAIN,TRAIN,TRAIN,TRAIN
