seed,status,physics_mode,physics_feature,active_features,final_epochs,train_rows,parameter_count,training_time_s,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,reload_max_abs_difference,model_path,model_sha256
21,TRAINED_DEV_ONLY,CDP_NEG,CDP,CDP,30,29349,50273,30.604416200018022,640,634,99.0625,0.0,models\PINN_CO_WF_seed21.pt,5deeb04cdbc04e3a1f8c2cdaf427c21531c4c39d8eafcc6213b7ae4643b89c07
42,TRAINED_DEV_ONLY,CDP_NEG,CDP,CDP,30,29349,50273,30.425468900008127,640,630,98.4375,0.0,models\PINN_CO_WF_seed42.pt,ae4f8cdb1c187c9e816d49ea0e3f82260e6aa1eaa3186c09c7d2dd2818666b71
63,TRAINED_DEV_ONLY,CDP_NEG,CDP,CDP,30,29349,50273,30.511259099992458,640,633,98.90625,0.0,models\PINN_CO_WF_seed63.pt,0c6060aa26e5546fb3ac7f9864e9da2292ef640bfcb41269e4057a8de0cf2615
84,TRAINED_DEV_ONLY,CDP_NEG,CDP,CDP,30,29349,50273,30.376820400008,640,635,99.21875,0.0,models\PINN_CO_WF_seed84.pt,b7ac18a72161399a3d0ca53b944687c7167d4d9f4cb8bbd919359becbe4d8317
105,TRAINED_DEV_ONLY,CDP_NEG,CDP,CDP,30,29349,50273,30.288661500031594,640,637,99.53125,0.0,models\PINN_CO_WF_seed105.pt,29506ddb9dce4184c0f84487a8292edbed05727d4e32ec02f27272ddba65447a
126,TRAINED_DEV_ONLY,CDP_NEG,CDP,CDP,30,29349,50273,30.108019299979787,640,630,98.4375,0.0,models\PINN_CO_WF_seed126.pt,c3f3bd3a0def1e959a0ff29de7680ae87611e7e4a95fe154d2ff2445e3e84301
147,TRAINED_DEV_ONLY,CDP_NEG,CDP,CDP,30,29349,50273,29.954648299957626,640,640,100.0,0.0,models\PINN_CO_WF_seed147.pt,5443d51382c4c812696cbe19818a3f138d2786a3d7af01a8371aa655c27978de
168,TRAINED_DEV_ONLY,CDP_NEG,CDP,CDP,30,29349,50273,30.261589900008403,640,640,100.0,0.0,models\PINN_CO_WF_seed168.pt,3a58a1fc6fc695a8a3b9a77c88f842336b203c053616729ccab4c07c09158a0f
189,TRAINED_DEV_ONLY,CDP_NEG,CDP,CDP,30,29349,50273,32.22593610000331,640,640,100.0,0.0,models\PINN_CO_WF_seed189.pt,587cb03350a7fec33fee5c1ac6a0fa0592a39d3d55a9168c3d7de6fc8f8adfcc
210,TRAINED_DEV_ONLY,CDP_NEG,CDP,CDP,30,29349,50273,39.97567939996952,640,635,99.21875,0.0,models\PINN_CO_WF_seed210.pt,6cbf4515d1873e77a7144f5eaf85a29971c50873737ed4357bf87f8cf635e2f3
