rank,trial_number,candidate,physics_level,R2_min,R2_median,R2_mean,NRMSE_mean,RMSE_mean,MAE_mean,R2_std,bias_abs_mean,active_cdp_violation_max,active_cdp_pcd_min,parameter_count,training_time_s,config_hash
1,44,TRIAL_0044_CDP_NEG,A,0.596799246142567,0.6829937290272592,0.6679035562424791,0.574443889642522,1.3142681321069434,0.7015609696079576,0.052981505605313006,0.2936868557089028,0.537109375,99.462890625,50273,262.05803939996986,86099ae05465b07beefabadc7e892784ccbf81e64d712987c9548ac95ad20bde
2,49,TRIAL_0049_CDP_NEG,A,0.5707411583955762,0.6695469388341994,0.6560513414553104,0.583858029452417,1.3358581702435985,0.7046342944409876,0.06485186504336865,0.25502824791133155,0.68359375,99.31640625,49441,192.67945379996672,eb57a0bd47724200e042a5afde986bec39121f5a80d23dc0e24ad5eb7cac7f97
3,50,TRIAL_0050_CDP_NEG,A,0.56168237698879,0.690755721146975,0.6594810606968945,0.5804931221221525,1.3303877363599588,0.7666293448613778,0.07063552598076936,0.3423057795484105,0.5859375,99.4140625,20353,149.14022249996196,3e61e146a386e0093f74aaadafeaa74e701ccd36931e1c578076f93b0c863909
4,48,TRIAL_0048_CDP_NEG,A,0.5550487164277318,0.6424320085406687,0.6399865437079452,0.5972323206625019,1.365158953684034,0.7887762013605881,0.06837495804629916,0.38311703124197366,0.244140625,99.755859375,53057,74.07058880000841,0c1f1b8865afe0eab09a8b49c0ba00131e3e356af0263d355c90c1ca7ee1c65b
5,46,TRIAL_0046_CDP_NEG,A,0.5506042895373484,0.6578486097506424,0.6501805029956103,0.5876787920963628,1.3442479924858308,0.7136500349833987,0.0783609644012122,0.25906792368416137,0.048828125,99.951171875,50273,96.29023479996249,d3dcd091a7671fb8e752c07ebc8ff6bc4a3405a7f0230c9ae6d8a9b6bb2d417c
6,0,ANCHOR_R9_CDP_NEG_ADAPTED,A,0.549399567202552,0.7173576203344496,0.6640767212122299,0.5755814959378824,1.3229400681444714,0.7087055334041207,0.08115664683650844,0.3552106870908254,0.0,100.0,67841,341.955163799983,7c312d9397f8c3d4121c9eb1373ea2bb2d73e03031536404a51a5d264a7c439c
7,12,TRIAL_0012_CDP_NEG,A,0.5371817410423894,0.6689026942346101,0.6470725346502985,0.590083134616138,1.3514301759261105,0.7452508606365651,0.08227437359609721,0.3446576307927503,0.048828125,99.951171875,4865,155.529762299906,8d18667ea882018d289ac97a9cde98cff281b0d979f339603183059ac4caa342
8,34,TRIAL_0034_CDP_NEG,A,0.5320525299758104,0.6855297443659645,0.6575689876314931,0.5798578343593369,1.3291377529746313,0.7291311522396896,0.09319030679533123,0.34963268863284896,0.5859375,99.4140625,57697,182.35121950000757,197857dd7437b69aad6df9e62e061605be6679f3d368e05ca18cb20423b3f981
9,51,TRIAL_0051_CDP_NEG,A,0.5305912262440391,0.6221648389952902,0.6376053379965915,0.5965105897536352,1.362128655830312,0.7474291945283111,0.09431429870115973,0.2854047368384266,0.146484375,99.853515625,51521,67.37843550002435,4ef5ced3f77615b9ef22ab11ddf878b1ec49ab6685014b4cb11f76ef2c4c1be3
10,16,TRIAL_0016_CDP_NEG,A,0.5303014676070459,0.6137743898866075,0.6175109536432164,0.6155457364948972,1.4063262528829599,0.8180188533032612,0.07277966826046713,0.418100798404589,0.78125,99.21875,19425,143.19159109995235,5c2e2a12c9d7ca22f76552c92f382cb0b17b5d5810c7b54843a628b77ced1662
