candidate,trial_number,config_hash,status,fold,seed,N_train,N_validation,train_signature,validation_signature,worker_pid,worker_wall_time_s,worker_peak_gpu_allocated_gb,worker_peak_gpu_reserved_gb,worker_runtime_signature,worker_tf32_matmul,worker_tf32_cudnn,worker_deterministic_algorithms,worker_inner_threads,R2,RMSE,MAE,NRMSE_range,NRMSE_std,bias,residual_std,pearson_r,slope,intercept,negative_prediction_pct,active_cdp_pcd_pct,active_cdp_violation_pct,active_cdp_near_zero_pct,dCO_dCDP_phys_mean,dCO_dCDP_phys_median,dCO_dCDP_phys_q05,dCO_dCDP_phys_q95,g_star_cdp_mean,g_star_cdp_median,g_star_cdp_q05,g_star_cdp_q95,diagnostic_only_tit_negative_gradient_pct,diagnostic_only_tit_positive_gradient_pct,diagnostic_only_tit_near_zero_pct,diagnostic_only_dCO_dTIT_median,physics_mode,best_epoch,parameter_count,training_time_s,effective_batch_size,physics_evaluation_rows,physics_evaluation_sampling,physical_scale_cdp_delta_x,physical_scale_co_delta_y,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,synthetic_feature,knn_threshold,knn_k,knn_quantile,train_kth_at_protocol_quantile
TRIAL_0044_CDP_NEG,44,86099ae05465b07beefabadc7e892784ccbf81e64d712987c9548ac95ad20bde,COMPLETE,0,21,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,36968,32.48865850002039,0.02811288833618164,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.556724040394641,1.6471333236647874,0.8314423477957826,0.03735377729016902,0.6657460836662088,-0.4484440453415131,1.5850159220952142,0.7681351143461618,0.5737348924301218,0.5580245467847491,0.0,99.951171875,0.048828125,0.0,-0.4530094265937805,-0.4081382751464844,-0.7770671844482422,-0.20586363971233368,-0.44030091166496277,-0.3966885805130005,-0.7552677392959595,-0.20008844137191772,87.353515625,12.646484375,0.0,-0.019251830875873566,CDP_NEG,15,50273,32.48833699995885,128,2048,deterministic_evenly_spaced_full_fold,3.606499671936035,3.710594952106476,640,639,99.84375,CDP,1.4832095268464458,20,0.99,1.4832095268464458
TRIAL_0044_CDP_NEG,44,86099ae05465b07beefabadc7e892784ccbf81e64d712987c9548ac95ad20bde,COMPLETE,1,21,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,15000,75.95675860001938,0.028435707092285156,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7126037815598407,1.2671898603143237,0.7453683359695336,0.036164130548273984,0.5360559993183012,-0.31780487682484926,1.2267765201087992,0.8565907208988044,0.7811876088735678,0.27802799092312386,0.0,99.951171875,0.048828125,0.0,-0.8713819980621338,-0.6328450441360474,-2.4947285652160645,-0.36562034487724304,-0.616966187953949,-0.44807446002960205,-1.7663472890853882,-0.2588708698749542,92.529296875,7.470703125,0.0,-0.025379091501235962,CDP_NEG,45,50273,75.95644849998644,128,2048,deterministic_evenly_spaced_full_fold,3.628999710083008,5.125474974513044,640,635,99.21875,CDP,1.598838673557433,20,0.99,1.598838673557433
TRIAL_0044_CDP_NEG,44,86099ae05465b07beefabadc7e892784ccbf81e64d712987c9548ac95ad20bde,COMPLETE,2,21,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,47312,92.35721029998967,0.028754234313964844,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6838026112240749,1.1284514954716753,0.6290497075172928,0.03240966831526108,0.5622750348275707,0.2500375388144775,1.1004786211385726,0.8370919436847934,0.7320030285563902,0.8077667409061633,0.0,99.4140625,0.5859375,0.0,-0.6881557703018188,-0.6525570154190063,-1.1969192028045654,-0.2756502628326416,-0.4312635362148285,-0.4089539647102356,-0.7501028776168823,-0.17274853587150574,72.607421875,27.392578125,0.0,-0.011574769392609596,CDP_NEG,25,50273,92.35690620000241,128,2048,deterministic_evenly_spaced_full_fold,3.630000114440918,5.792295008897781,640,622,97.1875,CDP,1.425508144193831,20,0.99,1.425508144193831
TRIAL_0044_CDP_NEG,44,86099ae05465b07beefabadc7e892784ccbf81e64d712987c9548ac95ad20bde,COMPLETE,0,42,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,36968,61.446078400011174,0.02811288833618164,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.596799246142567,1.570913717384315,0.7686260010507842,0.0356252649971808,0.6349392851813694,-0.2659633943763321,1.5483370637289322,0.7862322981772204,0.540310040138193,0.8194257179399886,0.026219192448872573,99.462890625,0.537109375,0.0,-0.4966133236885071,-0.3646366000175476,-1.3754135370254517,-0.14484456181526184,-0.4826815724372864,-0.35440725088119507,-1.336828351020813,-0.14078116416931152,83.984375,16.015625,0.0,-0.012982250191271305,CDP_NEG,80,50273,61.44575980002992,128,2048,deterministic_evenly_spaced_full_fold,3.606499671936035,3.710594952106476,640,634,99.0625,CDP,1.4832095268464458,20,0.99,1.4832095268464458
TRIAL_0044_CDP_NEG,44,86099ae05465b07beefabadc7e892784ccbf81e64d712987c9548ac95ad20bde,COMPLETE,1,42,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,15000,114.37940219999291,0.028435707092285156,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.723917693557611,1.241996727990215,0.7468240941531948,0.035445147738497544,0.5253986147014384,-0.3998975767884237,1.1759384122017142,0.8684806770051934,0.7902698222617947,0.17120414469882583,0.0,99.951171875,0.048828125,0.0,-0.7174580097198486,-0.5637780427932739,-1.3578214645385742,-0.3750840127468109,-0.5079832077026367,-0.399172842502594,-0.9613808393478394,-0.2655714452266693,93.06640625,6.93359375,0.0,-0.019649986177682877,CDP_NEG,90,50273,114.37910309998551,128,2048,deterministic_evenly_spaced_full_fold,3.628999710083008,5.125474974513044,640,630,98.4375,CDP,1.598838673557433,20,0.99,1.598838673557433
TRIAL_0044_CDP_NEG,44,86099ae05465b07beefabadc7e892784ccbf81e64d712987c9548ac95ad20bde,COMPLETE,2,42,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,47312,90.05003029998625,0.028754711151123047,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.6829937290272592,1.1298939509462997,0.5892328136198939,0.03245109632849842,0.562993769044758,0.2151995959619525,1.1092886832697464,0.8335430844504017,0.7092540422732698,0.8202717732362854,0.0,99.609375,0.390625,0.0,-0.44199371337890625,-0.41212889552116394,-0.7034138441085815,-0.22302864491939545,-0.27699509263038635,-0.2582789659500122,-0.4408257007598877,-0.13977085053920746,97.705078125,2.294921875,0.0,-0.027381092309951782,CDP_NEG,5,50273,90.04973970004357,128,2048,deterministic_evenly_spaced_full_fold,3.630000114440918,5.792295008897781,640,635,99.21875,CDP,1.425508144193831,20,0.99,1.425508144193831
TRIAL_0044_CDP_NEG,44,86099ae05465b07beefabadc7e892784ccbf81e64d712987c9548ac95ad20bde,COMPLETE,0,84,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,36968,38.9333878000034,0.02811288833618164,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.5669939179334758,1.627941005588174,0.857931323994308,0.03691853287806471,0.6579888423959315,-0.6498957794093354,1.4926886785428644,0.8123641843646491,0.5342606782177057,0.44977668068106186,0.0,99.31640625,0.68359375,0.0,-0.4885193705558777,-0.5079596042633057,-0.6703342795372009,-0.2923644185066223,-0.4748147130012512,-0.4937095046043396,-0.65152907371521,-0.28416258096694946,83.837890625,16.162109375,0.0,-0.007138757035136223,CDP_NEG,30,50273,38.93307889997959,128,2048,deterministic_evenly_spaced_full_fold,3.606499671936035,3.710594952106476,640,631,98.59375,CDP,1.4832095268464458,20,0.99,1.4832095268464458
TRIAL_0044_CDP_NEG,44,86099ae05465b07beefabadc7e892784ccbf81e64d712987c9548ac95ad20bde,COMPLETE,1,84,15039,7152,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,47312,83.74065669998527,0.028435707092285156,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.724745928395765,1.240132360767421,0.7379232427502214,0.035391940857866164,0.5246099363304931,-0.37393822806149773,1.1824948138240219,0.8659482592257902,0.7414655433578183,0.33005904521799756,0.0,99.853515625,0.146484375,0.0,-0.5435153245925903,-0.47919219732284546,-1.0871334075927734,-0.26051974296569824,-0.3848261535167694,-0.3392833471298218,-0.7697251439094543,-0.18445628881454468,81.396484375,18.603515625,0.0,-0.011905699968338013,CDP_NEG,50,50273,83.74033410003176,128,2048,deterministic_evenly_spaced_full_fold,3.628999710083008,5.125474974513044,640,629,98.28125,CDP,1.598838673557433,20,0.99,1.598838673557433
TRIAL_0044_CDP_NEG,44,86099ae05465b07beefabadc7e892784ccbf81e64d712987c9548ac95ad20bde,COMPLETE,2,84,22191,7158,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,15000,92.22752960002981,0.028754711151123047,0.05078125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.7063357585413849,1.087500062081318,0.6076056359823332,0.03123352350217699,0.5418701093804404,0.19231172926872867,1.0704357341855706,0.8507206472939347,0.8007919423527102,0.6068841419470387,0.0,99.853515625,0.146484375,0.0,-0.5766505599021912,-0.5707683563232422,-0.8543092012405396,-0.2969910204410553,-0.3613837957382202,-0.357697457075119,-0.5353909730911255,-0.18612267076969147,93.65234375,6.34765625,0.0,-0.013876907527446747,CDP_NEG,25,50273,92.22722420003265,128,2048,deterministic_evenly_spaced_full_fold,3.630000114440918,5.792295008897781,640,639,99.84375,CDP,1.425508144193831,20,0.99,1.425508144193831
TRIAL_0044_CDP_NEG,44,86099ae05465b07beefabadc7e892784ccbf81e64d712987c9548ac95ad20bde,COMPLETE,0,126,7411,7628,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,36968,54.723580899997614,0.028112411499023438,0.048828125,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,True,True,True,1,0.5707319338198829,1.6208990035475608,0.7866603459559862,0.03675883398051784,0.6551425729334955,-0.366509478943294,1.5790222432198269,0.7760445264668792,0.5263450547727965,0.7518528205050984,0.09176717357105402,99.4140625,0.5859375,0.0,-0.562156081199646,-0.5285633206367493,-1.0284968614578247,-0.21318793296813965,-0.5463855862617493,-0.513735294342041,-0.999643862247467,-0.20720726251602173,76.5625,23.388671875,0.048828125,-0.010205596685409546,CDP_NEG,65,50273,54.72326589998556,128,2048,deterministic_evenly_spaced_full_fold,3.606499671936035,3.710594952106476,640,620,96.875,CDP,1.4832095268464458,20,0.99,1.4832095268464458
