seed,N_DEV,n_estimators,elapsed_seconds,model_bytes,model_sha256
21,29349,144,0.37328600004548207,474115,f32c33cb179b685b86aa77e30e194365426deac4213422568dcbbe631e9c1e21
42,29349,144,0.3662148999865167,475136,3c76b6ea69a0d28aa49d7b7742bb7fe60e9e056761dd5e24a3d702355450e9bc
63,29349,144,0.39941460004774854,481532,c8d9cab7b273ab1beca43c328b4a5aa7446c7ac2ab0770f0b7f506293d08f420
84,29349,144,0.3924589999951422,474930,4c7818ac6810c5e7b1b4aa950796678089e599a4f3c260c237e3bb4e2a021431
105,29349,144,0.4080095000099391,475753,f19ac2e597b0d3c1230ffa48a63ccbdd55761fcb63cce5c8096995f9e9abf22a
126,29349,144,0.38371470000129193,479151,fea31ebb50228bc2d3e7a9dc406e7f1cd17d00b129b727a6e372a4e048a53c88
147,29349,144,0.42827029997715726,479561,539c3884db75fae3e56ea95a7401f0d1899abae2ff9aac24aa33a6b7f8a0003b
168,29349,144,0.3846344000194222,473366,b904aca97a8a4618b6ccfe955d5c96b7f39aaa0dbbf7590f5843180d392bf581
189,29349,144,0.41536460001952946,477789,47b311af8d93e9d82d6b5e4b2fcb5cab50a4f1a364b73fe1e2acd7a20f183936
210,29349,144,0.4191580999759026,475411,32befc3f0c2117fe0a1d668946cdbad022ebc7c7a2d69b29294fdb4dc2ed519d
