rank,candidate_id,source,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,target_transform,completed_folds,R2_min,R2_median,R2_mean,R2_std,RMSE_median,MAE_median,abs_bias_median,tail_RMSE_median,negative_prediction_pct_mean,best_iteration_median,model_ubj_bytes_median,objective
1,ANCHOR_COMPACT_identity,ANCHOR,0.08,4,4.0,0.0,0.85,0.85,0.0,2.0,identity,3,0.5614297972095833,0.5911844592754201,0.6177786441053711,0.05989432283923468,1.2931199072360027,0.7697723701802587,0.5219894572565186,3.354906078921173,0.0,59.0,97059.0,0.7062311958864765
2,OPTUNA_0033,OPTUNA,0.02474245187686851,7,1.5753589705124191,18.980801534037948,0.683818269830942,0.7511502948177292,0.0,0.0047691340579783335,identity,3,0.555390265656575,0.5797819883088807,0.6122992045210599,0.06401310773236697,1.3008915421874976,0.7674367173188156,0.5240743747742926,3.3565358831834584,0.0,143.0,229085.0,0.6971351073471768
3,OPTUNA_0019,OPTUNA,0.29809238710725444,16,3.1519965957358997,0.0,0.874723456535002,0.745750436042853,0.0,0.0034099092180680224,identity,3,0.5513796746179642,0.6177624268219322,0.6138928597839102,0.049537682006688476,1.3526412586344543,0.8534937267954256,0.4155586552994387,3.357275227578593,0.14944793056078573,9.0,625328.0,0.7033433972231129
4,OPTUNA_0025,OPTUNA,0.16985601110781395,8,2.8432179725501507,18.17095037806935,0.7830814508626017,0.7568106022140645,0.0,0.007192234074583312,identity,3,0.5503678967825445,0.6140785908895747,0.6220973987447621,0.06209996148656613,1.2906892660424496,0.7590462141572382,0.48836694265598773,3.3746376785264705,0.0,123.0,127768.0,0.7007825464306099
5,OPTUNA_0017,OPTUNA,0.2017641537595508,12,2.554954361338276,0.0,0.8452690585906435,0.8327814679975953,0.0,0.0019572714657683536,identity,3,0.5493707799210859,0.6081382053001847,0.6116661609844963,0.05236370445817731,1.3423726551049542,0.8307632964101564,0.4080145179924702,3.394182100447955,0.008739730816290857,12.0,384758.0,0.6987871460232231
6,OPTUNA_0012,OPTUNA,0.1565978880532308,8,2.8590233224785218,3.455410654528297e-05,0.9183288736792793,0.7356993838051943,0.008454230466791942,0.02239848757555694,identity,3,0.5482192663992258,0.6125429145610536,0.6203376985130529,0.06231091132217132,1.2941365387397585,0.7949800022774087,0.41512178269611677,3.2603554856852672,0.0,20.0,184349.0,0.6982394494733806
7,OPTUNA_0029,OPTUNA,0.27421396922755736,16,6.341359032311371,0.0,0.7720591620289797,0.8151731991990222,0.0,0.18607381529898895,log1p,3,0.5474664186064435,0.5746597984978561,0.6052195601347343,0.06342579194920131,1.3087960469311952,0.8252514667958453,0.5041564131506158,3.402000592939914,0.0,30.0,1070598.0,0.6879600786334474
8,OPTUNA_0010,OPTUNA,0.05481619802866704,14,90.48163781663865,0.00011238147695058198,0.8742902030191689,0.722451980864757,1.0481318183571388e-08,0.0034875340711024517,identity,3,0.5469883224206067,0.5514512118773828,0.5966310938743055,0.06707449118275562,1.3440288843253398,0.7853691255264146,0.38693295163507013,3.4215710110249624,0.0,65.0,464776.0,0.6814974008308147
9,OPTUNA_0006,OPTUNA,0.020174640610479033,9,5.355178982849002,0.0,0.6202056745553259,0.5895519138495489,0.0041835678596921074,0.0011890384986260052,identity,3,0.5468233051665422,0.571278965453003,0.6059103453855876,0.06701679658513375,1.3139872597130473,0.7880737281432613,0.3725359793909142,3.3182191779965526,0.0,212.0,2437695.0,0.6862922067005363
10,OPTUNA_0031,OPTUNA,0.18523749997941005,14,25.828027704395346,0.0,0.820103719763261,0.7374297794479415,0.0,0.0012288936081210522,identity,3,0.5460633318278021,0.546742121295147,0.5964375170059243,0.070760421862532,1.3510656090921789,0.787770373405636,0.38459796069773905,3.361620239680109,0.004369865408145429,15.0,298121.0,0.6792108410584622
11,OPTUNA_0024,OPTUNA,0.14799380262517703,16,7.59280545554633,0.0,0.778983148111261,0.7595805166815451,0.024016394340285494,0.0024997068280932675,identity,3,0.5428506855027386,0.6247318324265603,0.621100572376171,0.062461108737664556,1.3038824541103398,0.8049826620259666,0.44578003494034496,3.310503002313888,0.0,17.0,587696.0,0.6959105881724955
12,OPTUNA_0001,OPTUNA,0.011782109870335913,12,55.22233714322687,0.8965686545554339,0.6271832895533387,0.7707068503761904,0.0,0.355262990171629,identity,3,0.5410449254179921,0.5580194841042205,0.5965362963858422,0.06683406216916515,1.3341520276786158,0.7915578121892468,0.4198942472684687,3.3980612559544694,0.0,492.0,2535801.0,0.677208093335589
13,ANCHOR_LITERATURE_SHAPE_identity,ANCHOR,0.405,32,61.63,0.12,1.0,0.96,0.0,69.05,identity,3,0.5398810883140459,0.5687489946325743,0.5986727191797836,0.06382867546977065,1.3216118882732029,0.8113867443116017,0.41045051742606564,3.3510243457891313,0.004369865408145429,19.0,189096.0,0.678876903198701
14,ANCHOR_BALANCED_identity,ANCHOR,0.04,8,8.0,0.05,0.8,0.9,0.0001,10.0,identity,3,0.5393067134975286,0.597393723933443,0.6129871995662397,0.06743345052102466,1.2897897195866577,0.7876841341528654,0.4261129497759128,3.2793264308960084,0.0,186.0,1024323.0,0.6852834719548381
15,OPTUNA_0009,OPTUNA,0.19975118592062638,10,7.6643109620818795,3.624234037319912e-05,0.9488746856736217,0.68408670832245,5.05904583812038e-07,0.012807301624435738,identity,3,0.5390803551860945,0.6308221314133768,0.6192330178641695,0.061263684611109065,1.3207481258148759,0.8240584614007497,0.38204534952523106,3.2998747932937436,0.0,12.0,189345.0,0.6937227038088833
16,OPTUNA_0018,OPTUNA,0.08292167214226263,12,3.1713845825735643,0.0,0.7646218353624972,0.8913863665312587,0.0,0.001791993668970175,identity,3,0.5390123911381995,0.5903778442026455,0.6018896548464848,0.05662686776524262,1.3448900614982433,0.8165533229718851,0.3895287310716096,3.4438416456533707,0.0,38.0,1124021.0,0.6837755088005988
17,OPTUNA_0037,OPTUNA,0.1971995758273342,13,2.201909560957302,0.0,0.8681136168672883,0.8192462315092125,0.0,0.0028166729926698943,identity,3,0.537974651324979,0.6164393451856667,0.6120269611454433,0.05874502244259205,1.333650628985614,0.8239039445620726,0.3812539315854444,3.367906478689307,0.0,12.0,545850.0,0.689147236499266
18,OPTUNA_0027,OPTUNA,0.1644739083583041,7,7.540080727900188,7.126992591185128,0.7724021733678658,0.810305843347839,0.0,0.022798508645535953,identity,3,0.5308677843006598,0.575681965704496,0.6042247952615846,0.07434048173515058,1.307222467583432,0.7788038826527123,0.5088349114878998,3.2600874233780397,0.0,22.0,47669.0,0.6710712516400262
19,OPTUNA_0000,OPTUNA,0.218504539704629,15,1.298166890972207,0.0,0.6145484157041747,0.676885700915847,0.0,0.0018207839875640825,log1p,3,0.5278865212359505,0.5609344335318558,0.587519833244608,0.062440856362663416,1.3788815423061156,0.8376306995002134,0.48368386080313686,3.502319620708209,0.0,75.0,5186964.0,0.6649980868007812
20,OPTUNA_0023,OPTUNA,0.18132781367121983,15,1.1642693010711098,0.0,0.9876637660852698,0.837363636884452,0.0,0.0027393361924995135,log1p,3,0.5271322124717581,0.5684252395570817,0.5875991826596964,0.05878369855542356,1.3635361648103796,0.8476103042277415,0.5150745930947833,3.4672684586649094,0.0,72.0,4703295.0,0.6662993374332573
21,OPTUNA_0007,OPTUNA,0.16190877604215603,3,58.7105271382748,2.3637684291082078e-07,0.6859092353500954,0.9903593559400857,0.0,0.030135768981097977,identity,3,0.5268713705433653,0.6084149475476324,0.6082757038559082,0.06640958681281135,1.3170535629023827,0.7733238881232293,0.5591153181805315,3.459879389581486,0.004369865408145429,42.0,46310.0,0.6756546280896328
22,ANCHOR_REGULARIZED_identity,ANCHOR,0.02,12,32.0,0.2,0.7,0.75,0.01,50.0,identity,3,0.5248503058876254,0.5345430934745923,0.5849052059196214,0.07817682954288155,1.3833083082777011,0.7911810313308231,0.44761080087194016,3.3377286196275446,0.0,423.0,2941101.0,0.6545772377791294
23,OPTUNA_0015,OPTUNA,0.26303755845670496,7,7.630299957310826,2.982201515766167e-06,0.9299056139398493,0.7910534331706459,8.662526576502897e-05,0.47868532358380067,log1p,3,0.5236929600134439,0.6358937677375684,0.619897301869873,0.07290282500906968,1.2944511023280485,0.7909306544779822,0.5117934074829414,3.290102752236666,0.0,22.0,136499.0,0.6790212606973826
24,OPTUNA_0005,OPTUNA,0.006714152955933837,13,3.3700966254375113,0.01612507215854251,0.728959948539454,0.5565137151737488,0.0,0.18286470219378206,log1p,3,0.5234028601389602,0.5806656755932598,0.5971756585691583,0.06798525806993778,1.3214631400135124,0.8107305356595951,0.5713745457094764,3.3943038572839415,0.0,1180.0,25611029.0,0.6651700161337782
25,ANCHOR_COMPACT_log1p,ANCHOR,0.08,4,4.0,0.0,0.85,0.85,0.0,2.0,log1p,3,0.5225452423487332,0.6076773593766807,0.6056509475608521,0.0670435589779576,1.323001700673562,0.8126717514939535,0.5665549782014456,3.369181937837034,0.0,235.0,394042.0,0.6711124042440055
26,OPTUNA_0032,OPTUNA,0.247815475995629,14,2.0114798243010164,0.009776923200530833,0.9283925963360216,0.9413835552475076,0.0,0.005423512193970951,identity,3,0.5194923260767119,0.5821781307393743,0.5806454590989211,0.04931752283642158,1.4177248681483368,0.8805858512790855,0.41384518384646013,3.5160110343625983,0.004660700969425801,6.0,690418.0,0.6625709826197345
27,OPTUNA_0011,OPTUNA,0.055996490134641336,10,17.695727827738242,0.0,0.6233287760395938,0.5941938631502652,3.313950564888545,0.002572040346168109,identity,3,0.5185509955825975,0.5363078997990323,0.5855418689495195,0.08250247440929817,1.3924477406602145,0.7874442251789349,0.4425503764610215,3.305867161980736,0.0,116.0,859171.0,0.6485028468118907
28,OPTUNA_0003,OPTUNA,0.17374688230703267,11,123.74371515406966,1.0302081861282129e-08,0.8539570076392237,0.9203229640720052,0.0,0.038875934204361765,identity,3,0.5184697846083044,0.5506348510978718,0.5857906318332913,0.07364211808546889,1.3452513975921614,0.7984098846163384,0.427659415624814,3.40397214964957,0.0,30.0,141074.0,0.6524463914784989
29,ANCHOR_BALANCED_log1p,ANCHOR,0.04,8,8.0,0.05,0.8,0.9,0.0001,10.0,log1p,3,0.5158800217220492,0.6366161163389326,0.6144012359829945,0.07308120406484415,1.3145763395820278,0.8105215282879507,0.5675027458047219,3.34522273875741,0.0,402.0,1715641.0,0.67137999060354
30,OPTUNA_0014,OPTUNA,0.045134778614216324,3,22.558331507919892,2.0936997369713e-05,0.9340305858432048,0.727635195031889,0.0797590650921334,0.1413382608298883,identity,3,0.5145404166669978,0.5837607899006994,0.6010096659478339,0.07859581057034659,1.2947181992353316,0.7662468856038921,0.5153803614144633,3.3191157997966982,0.0,206.0,237469.0,0.6565508236136552
31,OPTUNA_0008,OPTUNA,0.1618441025357954,12,126.18965001736667,0.0,0.5663863902450303,0.9185062535788193,4.577862051298302e-06,1.15732162829337,log1p,3,0.5126041355272214,0.5557418048178617,0.5804093588386473,0.06771816860393641,1.3519271713565335,0.8309781175229134,0.5477670393921626,3.4504280019303386,0.0,88.0,317269.0,0.6481536783014901
32,OPTUNA_0022,OPTUNA,0.28100785497380887,11,1.7428460542556674,0.0,0.8945943895519158,0.9836157922526664,6.826899717192925,0.01708665253395532,identity,3,0.5060797439477318,0.6278203161455645,0.5950566467546468,0.06364033017971628,1.395872963231971,0.8490209475380267,0.3511067728703108,3.422883417249686,0.0,19.0,330741.0,0.6598528064751371
33,OPTUNA_0036,OPTUNA,0.08643801185070689,10,1.2611102013359285,0.057633149028580195,0.9555486428876719,0.729566992522449,0.00028388557750508536,0.7874058084573842,identity,3,0.5007522873650628,0.5452030826052083,0.5805968989722068,0.083482092933491,1.3533574392285874,0.7977908434557079,0.42406135356123503,3.3019981582839137,0.0,55.0,855929.0,0.6328789533696904
34,OPTUNA_0021,OPTUNA,0.1330234464517587,5,1.752344548478357,0.0,0.9247121194442486,0.7066151780927343,0.0,0.02346638778954522,identity,3,0.4933583750895022,0.564455845085957,0.5862183772520226,0.08609086901603885,1.32440207726575,0.7784455365547256,0.4252464323122597,3.3102337138197577,0.0,18.0,48713.0,0.6301677929101895
35,OPTUNA_0013,OPTUNA,0.11136128345976061,10,1.3796601846687666,0.00013942046968317605,0.962327875604437,0.6902909450753257,1.666199281830718e-05,0.001324038394561068,identity,3,0.4907458919905602,0.5500386423943475,0.5761592550085816,0.08249758926927842,1.3461435281165188,0.808572321065138,0.3351124455118789,3.362074924910409,0.0,38.0,957605.0,0.6241306731256832
36,OPTUNA_0038,OPTUNA,0.18975387218907086,5,1.1285441036904513,8.338909205571762e-07,0.8132816180945146,0.6053035274300915,0.0,0.00165086431048834,identity,3,0.4860784527009778,0.5223201302629501,0.5696689145157633,0.09376274817747837,1.3869864816745794,0.7768649359252994,0.40431081535863794,3.367635815703918,0.0,16.0,42912.0,0.6119703478578414
37,OPTUNA_0028,OPTUNA,0.1734143765927132,15,19.77179346259215,0.050770975739457436,0.9105522343922438,0.6296947430028272,0.0,0.002247157818360695,log1p,3,0.48240488669446346,0.5475376625729507,0.5718754880424108,0.08475391095951154,1.3498794184592111,0.8151338489709681,0.5650726606327572,3.3509364707470284,0.0,168.0,975863.0,0.6150516067897255
