trial_number,candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
0,OPTUNA_0000,0,42,7411,7628,108,109,150415,75262,5186964,2.6416075,0.5609344335,1.6392921308,0.9140188579,-0.4836838608,0.0,5.00594,4.2737544627,2.7567730279,-2.1734030754
0,OPTUNA_0000,1,42,15039,7152,75,76,178796,89436,6130190,3.8269714,0.673738545,1.3501563095,0.8376306995,-0.5469474944,0.0,5.63504,3.4181091452,2.602747964,-2.4955747886
0,OPTUNA_0000,2,42,22191,7158,6,7,37137,18572,1268310,3.0461377,0.5278865212,1.3788815423,0.6763535863,0.0837913491,0.0,3.6468,3.5023196207,1.763860367,-1.2684401201
1,OPTUNA_0001,0,42,7411,7628,2399,2400,103572,52986,5103839,10.3463237,0.5410449254,1.6760105677,0.8637409789,-0.4198942473,0.0,5.00594,4.5669650508,2.5900995678,-1.9856040002
1,OPTUNA_0001,1,42,15039,7152,492,493,64993,32743,2535801,3.1460078,0.6905444796,1.3149228827,0.7915578122,-0.5011237923,0.0,5.63504,3.398061256,2.6038554082,-2.5257969107
1,OPTUNA_0001,2,42,22191,7158,171,172,44592,22382,1630436,1.7945738,0.5580194841,1.3341520277,0.7264198323,0.3904640687,0.0,3.6468,3.1261119133,1.4388896334,-0.5158508353
2,OPTUNA_0002,0,42,7411,7628,1990,1991,1602775,802383,55809746,20.3857164,0.4694707159,1.8019649741,0.9519391517,-0.4511462678,0.0,5.00594,4.8066451484,2.8815103445,-2.7221568204
2,OPTUNA_0002,1,42,15039,7152,86,87,98479,49283,3406638,2.385539,0.6895579999,1.3170170652,0.8054076702,-0.5191518873,0.0,5.63504,3.3549337561,2.5529464283,-2.4819079235
2,OPTUNA_0002,2,42,22191,7158,189,190,245322,122756,8467305,4.0359498,0.6518368667,1.1841184539,0.6916125861,0.3047100321,0.0,3.6468,2.5884121262,1.4052043756,-0.2512262416
3,OPTUNA_0003,0,42,7411,7628,120,121,7565,3843,337750,1.0327301,0.5184697846,1.7167356918,0.8678253966,-0.4276594156,0.0,5.00594,4.6329869303,2.4082652566,-2.1046785757
3,OPTUNA_0003,1,42,15039,7152,30,31,3519,1775,141074,0.7056734,0.6882672598,1.3197521388,0.7984098846,-0.4865042275,0.0,5.63504,3.4039721496,2.6129407416,-2.5401901669
3,OPTUNA_0003,2,42,22191,7158,8,9,1741,875,66153,0.6147283,0.5506348511,1.3452513976,0.7022027373,0.3434263394,0.0,3.6468,3.3385106188,1.4847249418,-0.8943084784
4,OPTUNA_0004,0,42,7411,7628,338,339,713,526,248106,0.7144002,0.4612822952,1.8158178832,0.923007077,-0.7135787584,0.0,5.00594,5.0021443809,2.9063722106,-2.5913092157
4,OPTUNA_0004,1,42,15039,7152,123,124,832,478,110693,0.4256503,0.6740288002,1.3495555994,0.8096166245,-0.6244020209,0.0,5.63504,3.5295791969,2.7801680957,-2.7304105048
4,OPTUNA_0004,2,42,22191,7158,102,103,1117,610,106607,0.4549984,0.6017067946,1.2665000381,0.6557241992,0.1996365826,0.0,3.6468,3.048641575,1.4217864897,-0.6161631953
5,OPTUNA_0005,0,42,7411,7628,1388,1389,526287,263838,18810728,9.9993686,0.5234028601,1.7079194346,0.8670713981,-0.5713745457,0.0,5.00594,4.694023486,2.6994277435,-2.3984782154
5,OPTUNA_0005,1,42,15039,7152,1180,1181,1020353,510767,35472569,13.8335926,0.68745844,1.32146314,0.8107305357,-0.5739892115,0.0,5.63504,3.3943038573,2.6539459478,-2.5793976377
5,OPTUNA_0005,2,42,22191,7158,376,377,745913,373145,25611029,8.8158843,0.5806656756,1.2995229831,0.6384336268,0.1754537412,0.0,3.6468,3.1919936197,1.4677215175,-0.7015107915
6,OPTUNA_0006,0,42,7411,7628,373,374,69206,34790,2600601,2.345175,0.5468233052,1.6654264141,0.8959664896,-0.3714769411,0.0,5.00594,4.4471003315,2.7203376173,-1.7724393064
6,OPTUNA_0006,1,42,15039,7152,212,213,67539,33876,2437695,1.7156099,0.6996287655,1.2954788755,0.7880737281,-0.4785425253,0.0,5.63504,3.318219178,2.5838534097,-2.4615144472
6,OPTUNA_0006,2,42,22191,7158,61,62,30840,15451,1090395,1.0215819,0.5712789655,1.3139872597,0.7011727439,0.3725359794,0.0,3.6468,3.1084627002,1.430193399,-0.8804231872
7,OPTUNA_0007,0,42,7411,7628,369,370,4252,2311,389067,1.0659794,0.5268713705,1.7016932602,0.9227988967,-0.5625151577,0.0131095962,5.00594,4.5517483306,2.771866134,-2.2194536269
7,OPTUNA_0007,1,42,15039,7152,42,43,501,272,46310,0.3576546,0.6895407935,1.3170535629,0.7733238881,-0.5591153182,0.0,5.63504,3.4598793896,2.7155008747,-2.6345786062
7,OPTUNA_0007,2,42,22191,7158,17,18,266,142,21909,0.3193699,0.6084149475,1.2557893949,0.6898951977,0.3185136311,0.0,3.6468,2.9021363598,1.4163130443,-0.5283702575
8,OPTUNA_0008,0,42,7411,7628,316,317,14621,7469,706806,1.8660553,0.5126041355,1.727160052,0.8470002278,-0.5477670394,0.0,5.00594,4.7880236767,2.6311192666,-2.2852580414
8,OPTUNA_0008,1,42,15039,7152,88,89,7581,3835,317269,0.9998666,0.6728821362,1.3519271714,0.8309781175,-0.583595573,0.0,5.63504,3.4504280019,2.6588750528,-2.5869416011
8,OPTUNA_0008,2,42,22191,7158,47,48,6008,3028,236891,0.8577928,0.5557418048,1.3375852848,0.7590836432,0.3468433508,0.0,3.6468,3.043388167,1.495800408,-0.3015534745
9,OPTUNA_0009,0,42,7411,7628,12,13,4995,2504,179425,0.5825703,0.5390803552,1.6795938426,0.9225422822,-0.3820453495,0.0,5.00594,4.488698715,2.860810998,-1.997969808
9,OPTUNA_0009,1,42,15039,7152,23,24,10090,5057,359893,0.7471847,0.687796567,1.3207481258,0.8240584614,-0.4461960294,0.0,5.63504,3.2998747933,2.5406682507,-2.3685136899
9,OPTUNA_0009,2,42,22191,7158,6,7,5403,2705,189345,0.6966875,0.6308221314,1.2193309216,0.6700694388,0.3104287995,0.0,3.6468,2.8232488364,1.3754127345,-0.7910752344
