seed,status,final_epochs,train_rows,parameter_count,training_time_s,synthetic_attempted,synthetic_accepted,synthetic_acceptance_pct,reload_max_abs_difference,model_path,model_sha256
21,TRAINED_DEV_ONLY,45,29349,77665,12.691783799964469,1280,1268,99.0625,0.0,models\PINN_NOX_WF_seed21.pt,c22a71feb75c85a2a865295f5c5d1e5aeaca58f28137a409849435487b625a84
42,TRAINED_DEV_ONLY,45,29349,77665,11.686777200025972,1280,1259,98.359375,0.0,models\PINN_NOX_WF_seed42.pt,65b11355b63b58a08196f46923c53f61f70c834b208b181e951c727ce802340f
63,TRAINED_DEV_ONLY,45,29349,77665,11.339301499945577,1280,1266,98.90625,0.0,models\PINN_NOX_WF_seed63.pt,731da8bf79845a95c7e177d8e8805cbeeb367154310037cd37b5ef6e127b649b
84,TRAINED_DEV_ONLY,45,29349,77665,11.478643800015561,1280,1265,98.828125,0.0,models\PINN_NOX_WF_seed84.pt,a55e40662c5a11ed51b2490c600ffc3960b7f40c7b859e572a3b4f7a2bbe0680
105,TRAINED_DEV_ONLY,45,29349,77665,11.589822000009008,1280,1272,99.375,0.0,models\PINN_NOX_WF_seed105.pt,2aba77016ca3b03950e8c1be22e246087f92af984db83d655944b6d1bff3328f
126,TRAINED_DEV_ONLY,45,29349,77665,11.469175200036261,1280,1268,99.0625,0.0,models\PINN_NOX_WF_seed126.pt,c8d61a1b9394d40226e385aae8e8c9b4ff899fb1952c9d662aa25499d415fac3
147,TRAINED_DEV_ONLY,45,29349,77665,11.760367000009865,1280,1266,98.90625,0.0,models\PINN_NOX_WF_seed147.pt,5f9c8d51adb117cfe7a642b7288760691c8f62a98b193531c1f1ec8d4d725d36
168,TRAINED_DEV_ONLY,45,29349,77665,11.597000700014178,1280,1264,98.75,0.0,models\PINN_NOX_WF_seed168.pt,2b0bb2fc986f5b8dd3c3e960673e7350bb2a3d5a27ad94ec67413a1a17f2f8b8
189,TRAINED_DEV_ONLY,45,29349,77665,11.32827769999858,1280,1276,99.6875,0.0,models\PINN_NOX_WF_seed189.pt,ea5bf886e15e17c1cec577fea16a91572c15385139b8f8fc5dd03a12d501011c
210,TRAINED_DEV_ONLY,45,29349,77665,13.571887500002049,1280,1259,98.359375,0.0,models\PINN_NOX_WF_seed210.pt,7072f98f60e95ee845ab3a10f69752709a49f08e0ab95d192583e0474b09d291
