workers,fold,metric,reference,candidate,absolute_difference,pass
2,0,train_signature,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,0.0,True
2,0,validation_signature,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,0.0,True
2,0,best_epoch,5,5,0.0,True
2,0,parameter_count,76273,76273,0.0,True
2,0,worker_runtime_signature,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,0.0,True
2,0,R2,0.5950546597257473,0.5950546597257473,0.0,True
2,0,RMSE,6.506244396536554,6.506244396536554,0.0,True
2,0,MAE,4.451823834167705,4.451823834167705,0.0,True
2,0,active_tit_pcd_pct,100.0,100.0,0.0,True
2,0,active_tit_violation_pct,0.0,0.0,0.0,True
2,1,train_signature,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,31859ee24a2323f137f4e1bd7bb091f135f0d0c7cc2377d4e74235f7e3443de0,0.0,True
2,1,validation_signature,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,633459e67fe1ae24844bbffd3ed05fe9d35993d6c1089e67f3abb6a8ef32d641,0.0,True
2,1,best_epoch,5,5,0.0,True
2,1,parameter_count,76273,76273,0.0,True
2,1,worker_runtime_signature,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,0.0,True
2,1,R2,0.5332629415283432,0.5332629415283432,0.0,True
2,1,RMSE,8.230566168351777,8.230566168351777,0.0,True
2,1,MAE,5.969148616662761,5.969148616662761,0.0,True
2,1,active_tit_pcd_pct,100.0,100.0,0.0,True
2,1,active_tit_violation_pct,0.0,0.0,0.0,True
2,2,train_signature,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,253e74b88bf1d5cb90464ade1e9a8dded9e64fe77e1fa6d7dc7b265785fec5f1,0.0,True
2,2,validation_signature,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,640b3d3af9a8eedaeecdab6c360d79d435ac5edf0b9973043bcfd7c57bb9a14a,0.0,True
2,2,best_epoch,5,5,0.0,True
2,2,parameter_count,76273,76273,0.0,True
2,2,worker_runtime_signature,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,0.0,True
2,2,R2,0.21595666767084487,0.21595666767084487,0.0,True
2,2,RMSE,8.828972854222366,8.828972854222366,0.0,True
2,2,MAE,7.169629771671471,7.169629771671471,0.0,True
2,2,active_tit_pcd_pct,100.0,100.0,0.0,True
2,2,active_tit_violation_pct,0.0,0.0,0.0,True
3,0,train_signature,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,0b635fc68d95b6725e8cb8631c0afc750a22848a83c6a7d4d0d6c52e71d716ca,0.0,True
3,0,validation_signature,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,dab7ccd15b70d58d5849e1aae253e71366303eb268a524063b3ba4fe47d4f016,0.0,True
3,0,best_epoch,5,5,0.0,True
3,0,parameter_count,76273,76273,0.0,True
3,0,worker_runtime_signature,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,14269c18e6a56f09985dea654338c0b32f5e417a5600e334e252b0c1bbf8bd28,0.0,True
3,0,R2,0.5950546597257473,0.5950546597257473,0.0,True
3,0,RMSE,6.506244396536554,6.506244396536554,0.0,True
