rank,trial_number,candidate,physics_level,R2_min,R2_median,R2_mean,NRMSE_mean,RMSE_mean,MAE_mean,R2_std,bias_abs_mean,active_tit_violation_max,active_tit_pcd_min,parameter_count,training_time_s,config_hash
1,33,TRIAL_0033_TIT_INC,A,0.4251800136942453,0.671377026188617,0.6134310783921508,0.6125080442345888,6.5472533627626275,4.719371025349275,0.13635201956287446,1.6245928765604696,0.48828125,99.51171875,77665,81.353924700059,1318564a5601db19289a864efdf74ede6b7fdd59353ab9d2bae167db7ba09a65
2,0,ANCHOR_R7_TIT_INC_ADAPTED,A,0.3957699602083863,0.640878057344417,0.5926549897901071,0.6283565301672963,6.723494485684331,4.871276140406823,0.14513161621046144,2.094580950892644,0.439453125,99.560546875,76273,77.54439130000537,32d66446461deec5da8653a5a863d90e05133f9eab4aa67608aecb38c596f4b0
3,36,TRIAL_0036_TIT_INC,A,0.34231102220996323,0.6486318795584429,0.5851234716136618,0.629657191616589,6.729999955326395,4.913660267268152,0.17808344743275617,2.074916541184155,0.0,100.0,32961,93.48484500002814,7ea4d9a50d72b65af4e8f73cb9959db8405224a4571ab962d1e421b9fc9056f3
4,38,TRIAL_0038_TIT_INC,A,0.33914738271523615,0.6419884913775746,0.5804544707768097,0.6336013324227303,6.773553735468103,4.956319857770094,0.17732634907078326,1.931535165965287,0.0,100.0,32961,90.65140580001753,5ce92d16e01d0046fb5740aa940256b96eca522a504e0103ca39d898dd727cc9
5,39,TRIAL_0039_TIT_INC,A,0.3388276279480408,0.6386006935870887,0.5776601799656157,0.6361917973091481,6.801740903447635,4.891708587356672,0.17549958350225678,2.3163573473006625,0.0,100.0,20545,69.25491069996497,0383e6eea512ba29b7d1b2f9c729081e1fb635940c089ec0cbc2092f92fa0dcb
6,40,TRIAL_0040_TIT_INC,A,0.32741386271388584,0.6236295176573237,0.5645816756897211,0.6469054404370804,6.918187953775077,5.127925285733397,0.17460616944497825,1.9957774676376603,0.68359375,99.31640625,72001,108.87268060009228,9704b0cbb65abe9b55a01b78ebb7ff39edd6e71bb795bb71ad3b20082e895362
7,44,TRIAL_0044_TIT_INC,A,0.31421840287691205,0.6541675999072281,0.5613055997974469,0.6498056998724042,6.931721699679244,5.226858677624192,0.17650386707543814,2.039890431124889,0.0,100.0,43169,68.58839429996442,dac26b15fbe060e82214fa47cdbdce4cb893a4a120d9b294587f099de5b8fc74
8,31,TRIAL_0031_TIT_INC,A,0.30632445632663663,0.663486799463362,0.5706636287459723,0.6401991911275428,6.828246449911119,4.970559559415288,0.18965677590249785,2.251031098035504,0.5859375,99.4140625,88545,62.61489929998061,cf1c151739dc70c48578c0fdc4963b65404a2d7fc90c48abc2c6ce04b3eed5df
9,43,TRIAL_0043_TIT_INC,A,0.3056273371216164,0.6733599911823975,0.5738528026121476,0.6373525536658904,6.793894218256974,4.864200009607509,0.19175717099300016,2.197049200987421,0.0,100.0,20545,33.020196700003,8ee307f41c9694e26e306e79fdf31c85a139ae0f4a444053b3c5e890dcf975c2
10,35,TRIAL_0035_TIT_INC,A,0.2762521405059085,0.6482893624693957,0.5568206394306058,0.6492382774026991,6.927035805287278,5.116700394846851,0.20235606829160085,2.1148001245828643,0.09765625,99.90234375,55009,68.38098600000376,49296bd531759b6eec5fa303b03d64c879b9d60f6f82cd916e38d134367a5544
11,37,TRIAL_0037_TIT_INC,A,0.27384678034506826,0.6443305257614202,0.5485005322290567,0.6568582335232181,7.006852890750356,5.231935125927477,0.19714293261097365,2.490066472891984,0.0,100.0,83873,213.87437549995957,42676bd4e7b3a1f269187ac00f34dfbc4741bd074fad1cb3b0c7e5c35a3f9890
12,23,TRIAL_0023_TIT_INC,A,0.26895761805332663,0.6599861940731212,0.5644273652598201,0.6411449642334744,6.83787745014445,5.0067212619781465,0.21322776286657155,2.147039689719304,0.5859375,99.4140625,73857,104.75891010003397,764884ae4376e998748d671946d4a74d70b31730bb219e0f0af6ee496ef0fa7f
13,21,TRIAL_0021_TIT_INC,A,0.2593245346316073,0.6408972060081348,0.5470458348218876,0.6562482350556239,7.001645235863395,5.200974859793789,0.20750676762357495,2.244324710905409,0.5859375,99.4140625,68001,94.59482709999429,560b6a24d4d4336ec01ccc348437e42b2cf28e924c6bd5b60319f0f79d97fab2
14,50,TRIAL_0050_TIT_INC,A,0.25154798143176293,0.6418382863347032,0.5424528770325151,0.659746645303445,7.036558445619825,5.231444354348787,0.20911147864134885,2.5768795263652597,0.390625,99.609375,63905,79.40242270001909,00364936d1dd891005925c19db37c0ea0a7ba6854672f9751d04adeeb7d5a705
15,20,TRIAL_0020_TIT_INC,A,0.23362808760913156,0.6372703848634602,0.5367693191754345,0.6626803454432828,7.067998390008806,5.282586191281413,0.2183713254276908,2.360777356086394,0.634765625,99.365234375,68001,94.01683739991859,e82d0e73663e4baef1cd4f581a4c4fed72115ed080ae1e5eb1358ed0089b33b4
16,45,TRIAL_0045_TIT_INC,A,0.2259514068425873,0.6579395289530265,0.5366444605233989,0.6626441883495026,7.056678398503124,5.283054209577443,0.22144545155866516,2.501888079215681,0.0,100.0,56193,45.210129800019786,0a7fbe4a225011ea34d910ea79fe79a9e81176ea707c8d5880657072ac83a9f2
17,54,TRIAL_0054_TIT_INC,A,0.22227245384178673,0.6545469633221274,0.5473877730015649,0.6513066180992594,6.942334472146361,5.108222765025201,0.23429890945904958,2.413328070233885,0.0,100.0,7233,91.66803290008102,4f6f279f5345d9a888eedae9608fdd5449e8bdcb5019ca67c5ff955146cdd24e
18,41,TRIAL_0041_TIT_INC,A,0.21509226340699206,0.6491504069560425,0.5406773761339445,0.6567630373037513,7.000562403691312,5.141677006638354,0.23445662011995194,2.6106136478209696,0.0,100.0,32961,96.40789930004394,d359c15f43cc7203277f7f5eff5bc6580f8c9d56137a9ef57bd9a849f33a3b5d
19,13,TRIAL_0013_TIT_INC,A,0.21501831447676734,0.6462286630043774,0.5352622799472829,0.6620242541381782,7.055850244305723,5.181273853008882,0.22997597127371144,2.5228943627187577,0.0,100.0,63585,170.48046390002128,2714add0089f635822909f6377d7a1370c46ce08eafccaffcf7baf569b64ceb2
20,14,TRIAL_0014_TIT_INC,A,0.20889074945057862,0.6395211357441107,0.5369257442855195,0.6590613108754608,7.02867370219132,5.141706745807847,0.23731539278309724,2.4917200749122674,0.0,100.0,63585,133.07265249994816,c65cd9e1a3404753353e3112db1648046c5deb543771452741f8aef2818e65e3
21,53,TRIAL_0053_TIT_INC,A,0.1580934299683583,0.6468840534330439,0.5211843189740706,0.6676673726660391,7.1105520064044425,5.270715166453299,0.2607616901687878,3.084284551269988,0.0,100.0,20545,40.512884599971585,a7b73dae86babae79f0c74740e3194418f69f4bad4e2f3c9e4cb1f8376a1154a
22,9,TRIAL_0009_TIT_INC,A,0.15338145932673886,0.608785824489497,0.507268972173441,0.6785717987877469,7.240815407352639,5.5262777203003255,0.25770331348901937,2.932641500250637,0.341796875,99.658203125,14337,78.45528080000076,d2bd72e02e98e82ac8cda33b795eeacf76955ea721da186dedbb324b0e6c9b1c
23,8,TRIAL_0008_TIT_INC,A,0.11531956340085814,0.606547522198051,0.4963039049401594,0.6834485794343363,7.290039638092183,5.530107841351319,0.2772503462147894,2.89387379596837,0.634765625,99.365234375,9601,51.5350617999793,2897293aab78e1380e27a7184a0d2f807f7269deef4a52e5265787864ba723de
24,28,TRIAL_0028_TIT_INC,A,0.03687069528482989,0.6596355777108185,0.48733474538201,0.6829707094257795,7.255059564392172,5.612175864017037,0.32144476610578554,3.0360437937082643,0.830078125,99.169921875,53537,50.207330200006254,c61833a2eb978e97b5035bbf10bbad0f56b8f3cb93933c65ada4986d2b5c82a9
25,24,TRIAL_0024_TIT_INC,A,0.02997851728771095,0.6744541906558212,0.49038145571164976,0.6794406240510135,7.2108647727709645,5.416442095813775,0.327725504456801,2.6592997803679763,0.048828125,99.951171875,63489,98.93557219998911,2cca80621916d714944f49ca037a6a1fd061b9ce51d8a68a1cbdb7c6b95c0df1
26,18,TRIAL_0018_TIT_INC,A,0.005518695514010519,0.6183262733096531,0.4575185894204434,0.7053920483235223,7.503878751692487,5.606618540414231,0.3240143610314997,3.278607317890355,0.0,100.0,44129,153.6426154000219,2f1ff8d0c24607d9ec1544421946c1e6de372619284a453682bfd2d3474cc03e
27,27,TRIAL_0027_TIT_INC,B,0.3895469962744784,0.6446022049439,0.5918938949532396,0.6285782789749037,6.723531610810379,4.9627847962664005,0.14845217026767815,1.8888870801144462,1.220703125,98.779296875,53537,149.2768127999734,c6c6c8c62cd14e5fafa77ecaeb816e7740f4f72b1b1392629af1b8bb2f1ab731
28,22,TRIAL_0022_TIT_INC,B,0.317478309446628,0.6450746448795261,0.5655666140447788,0.6457937092778795,6.895533593866907,5.0412083077655865,0.17915416317401803,2.4286619992375837,2.734375,97.265625,79297,152.84044929995434,cad271665f5e3b33cb328253a3a37c9b26a0d4e3d188ad7ee33650cc19d8fc62
29,29,TRIAL_0029_TIT_INC,B,0.27211611243536504,0.6480103358977298,0.5624472748488151,0.6429310566445313,6.862482944136275,5.053673116334522,0.21098435694054196,2.241508887619098,3.173828125,96.826171875,22721,136.83405290002702,397e5077db7fdb3e2ad35ca97c26801485287ee7d628d8cb376365616f675ed2
30,25,TRIAL_0025_TIT_INC,B,0.24545245230759072,0.6489554670389904,0.5459663475723985,0.655822943086562,6.992510323638584,5.138012290005414,0.21597175512079297,1.8779852438463696,1.220703125,98.779296875,44001,120.55320240004221,abcc7a455d400e452bafa5a19feeae1b131dc2468884932e3e0059e1aaf5270b
31,30,TRIAL_0030_TIT_INC,B,0.21976204471570515,0.6438256231611422,0.529174083487998,0.6684652222940364,7.123160600747347,5.290223824771973,0.2212181708148458,2.02467707817861,1.708984375,98.291015625,63329,96.36881650000578,48e08bf96eefaf12f0ae42cff6ed1a1625f90cf509df5bfd95c626b509b4f97f
32,1,ANCHOR_NOX_INTERP_R5_TRANSFER,B,0.18291774785552883,0.6405042685276666,0.5298128551816399,0.6623624133354057,7.060707061087311,5.348651379759505,0.25058663806168413,2.7776490168467025,2.099609375,97.900390625,9089,84.50903469999321,b364915a9dfb1a0d52ffe0455000ca302b490df2134fdc5260520f9b7bdd760c
33,5,TRIAL_0005_TIT_INC,B,0.1829015181242436,0.6405329759185814,0.5298160685931878,0.6623584036725568,7.060650755824175,5.348603193490145,0.25059746308993724,2.7773317799747734,2.099609375,97.900390625,9089,85.02568900003098,60b7aedb8cff0a89e1ea78f6d7a0194c5fa3a0e1f458bf443ec14e6559dea1a1
