artifact,path,bytes,sha256,status
protocol,models/wf/work_pinn_wf_protocol/manifests/WF_PROTOCOL_MANIFEST.json,3055,21862701e5c9c39d1828838ce7d12640b81ee6a44365a8eae9fce1d3910747b2,PASS
folds,models/wf/work_pinn_wf_protocol/manifests/WF_FOLDS_MANIFEST.json,1960,fe794df236ab76f925230aa5beb1e1e14e60306f79a97d3c5ac32aa4cb7a7bd8,PASS
consumers,models/wf/work_pinn_wf_protocol/manifests/WF_CONSUMER_CONTRACT.json,2544,b05062e99c96cf3594b201ce1e0070de56b5ec26c93e7a0c0dd48fb79151c1cd,PASS
general,models/wf/work_pinn_wf_protocol/manifests/MANIFIESTO_ARTEFACTOS_WF_PROTOCOL.json,3438,c503451b56a194811082e4ee16729109529163150e4e6b93d8ce1f2228c0df68,PASS
assignment,models/wf/work_pinn_wf_protocol/tables/WF_DEVELOPMENT_ROW_ASSIGNMENT.csv,1684779,54b1229774a57cb5e708340040e8171839cd320b72cd90058879a7f9e638f89b,PASS
fold_summary,models/wf/work_pinn_wf_protocol/tables/WF_FOLDS_SUMMARY.csv,477,2b4f6970215ab0ea6c2d3f3d8bb3288ba5c22c8c54af0a9f853f9a649c3b2dcd,PASS
best_config,models/wf/work_xgboost_nox_wf_opt_r1_poc_efficient/configs/BEST_CONFIG_XGBOOST_NOX_WF_R1.json,2163,0b0030f3d719dea43c2c49e089e7e902549f54e30bc6a080ad7530a27f3e91e4,PASS
policy,models/wf/work_xgboost_nox_wf_opt_r1_poc_efficient/configs/FINAL_TRAINING_POLICY_XGBOOST_NOX_WF_R1.json,677,d1d49628dde3ff7bb3ac020c53230533162fe96318ed806818da4991d040a38f,PASS
frozen,models/wf/work_xgboost_nox_wf_opt_r1_poc_efficient/configs/FROZEN_CONFIG_MANIFEST_XGBOOST_NOX_WF_R1.json,2730,f3347c338447594862ba82669f88dc150b814919e70707d3085e16ffe3c2e077,PASS
handoff,models/wf/work_xgboost_nox_wf_opt_r1_poc_efficient/reports/HANDOFF_XGBOOST_NOX_WF_OPT_TO_FINAL_R1.json,807,b59eff82aee6f25769ebd1822bf5277397bb9c8b32633a9e2577aacbb95776bd,PASS
campaign,models/wf/work_xgboost_nox_wf_opt_r1_poc_efficient/optuna/CAMPAIGN_FINGERPRINT_FULL_AUTO_XGBOOST_NOX_WF_R1.json,5070,daf6004298236f225e81a2afd656e832e3a820cb7a20e61667213443315e23ac,PASS
study,models/wf/work_xgboost_nox_wf_opt_r1_poc_efficient/optuna/NOX_XGBOOST_WF_FULL_AUTO_R1.sqlite,282624,e2afa0dea1d67ac96dd13fe0ccabf070eb0d9a57a26fa9ec4986cba5535c32e9,PASS
