seed,N_DEV,n_estimators,elapsed_seconds,model_bytes,model_sha256
21,29349,1032,10.681476300000213,26523415,7f47669eac3847a5f96c11bf86097172a9c1ce3efad08306c704a4a4f32e352f
42,29349,1032,10.664329999999609,26596589,83f083e91475b6b8575eda9988864c5f294328c0ddd3c3f9dbc46249b7ff4060
63,29349,1032,10.498660499986727,26514167,324fb6c551964f1274b593a66617fe788109d98820d4375db920fa78a213a1da
84,29349,1032,10.546525899961125,26527146,74be55ce7b0e150d31b6a9323cb38aece1b93e1ae4cc58cb2c9d34a502529d7c
105,29349,1032,10.424353400012478,26429912,d8d19761f9a155129eb554835e55d0afc7ea006b25d30687f05bb03f2858cbf2
126,29349,1032,10.644668299995828,26646150,010345bdf45858b9b764e01fcfceff1d6eb003608125c6b6b911382b13cd6aa0
147,29349,1032,10.345364899956621,26509878,2fd95d03046ea1b0536b99dace8501f9b2bb4b1a8e4bf177caa736080057bc38
168,29349,1032,10.505918200011365,26616031,b7501ea0a9f904739c77bcc61ac827b5251b04c4709c6a26756d4f481a742da1
189,29349,1032,11.044349400035571,26484445,457785ccbd29935f96458b4ae03c4eb21d6b63705fd8b635d660592dd122e0d5
210,29349,1032,10.987033700046595,26604474,9b16acb21485cf3e68a35b44ca53b251cf73660c63bc3fd3356a0d5a52eaa3fc
