candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
ANCHOR_COMPACT_identity,WF01,42,7411,7628,269,270,7634,3952,438275,0.9493770000408404,0.7443146240019787,5.169935358840847,3.7809601709478864,-0.5633180102911929,0.0,81.4345,8.905817373141668,6.968723075856699,-3.6630334056289295
ANCHOR_COMPACT_identity,WF02,42,15039,7152,85,86,2596,1341,145806,0.43071749998489395,0.6013280584808427,7.606789590356949,5.693934676663187,-1.7503653089962814,0.0,83.85260000000002,14.288096603128725,11.809812681102217,-11.439037569909123
ANCHOR_COMPACT_identity,WF03,42,22191,7158,915,916,27116,14016,1526378,2.1065131000359543,-0.03595047581153876,10.148682054647669,8.532508188793932,7.5624015886254,0.0,71.9285,12.72960901039973,10.061542585063911,1.115982625012957
ANCHOR_BALANCED_identity,WF01,42,7411,7628,190,191,30749,15470,1172288,1.0743503000121564,0.7475671621423352,5.1369470986312065,3.7317498476561535,-0.5540405315165127,0.0,81.4345,9.245470590817648,7.278233523387584,-5.089921992750655
ANCHOR_BALANCED_identity,WF02,42,15039,7152,472,473,89799,45136,3366121,2.253523299994413,0.6195487439411385,7.430928439976897,5.578898076605744,-1.4737810731158159,0.0,83.85260000000002,13.382981417818334,10.777895239973867,-10.316187221079566
ANCHOR_BALANCED_identity,WF03,42,22191,7158,604,605,127245,63925,4726406,2.8544784000259824,-0.05160869979205218,10.225092249936814,8.85406179533727,7.869943214422899,0.0,71.9285,12.202642102892748,9.744471424379828,0.38313493176678687
ANCHOR_REGULARIZED_identity,WF01,42,7411,7628,982,983,131385,66184,5116512,4.964451199979521,0.7312591680050174,5.30028224904608,3.874758114391181,-0.35592874685206444,0.0,81.4345,9.586803026937812,7.517631801420239,-4.714775929342248
ANCHOR_REGULARIZED_identity,WF02,42,15039,7152,890,891,180789,90840,6735643,5.105863599979784,0.6152914002194834,7.47238973636713,5.626563050980536,-1.4519786669327908,0.0,83.85260000000002,13.404328597915931,10.870057723487557,-10.42898881019294
ANCHOR_REGULARIZED_identity,WF03,42,22191,7158,216,217,65001,32609,2354044,1.8805607999674976,-0.10269151723616865,10.470493862131374,9.261131517728435,8.14383447047764,0.0,71.9285,13.166144305322847,11.417122039496567,0.6313267279683543
ANCHOR_INTERP_CHAMPION_identity,WF01,42,7411,7628,1120,1121,1385795,693458,47858487,14.178012999997009,0.7243418872893808,5.3680624260865875,3.9207065474495693,-0.3374331426515464,0.0,81.4345,9.187093749753204,7.094812165346558,-5.521940332775191
ANCHOR_INTERP_CHAMPION_identity,WF02,42,15039,7152,1269,1270,2587686,1294478,88821552,22.85974250000436,0.6131552810794034,7.49310647971666,5.647236101372396,-1.4710430330835464,0.0,83.85260000000002,13.7605852774249,11.38292621467633,-10.99815133347325
ANCHOR_INTERP_CHAMPION_identity,WF03,42,22191,7158,433,434,1352740,676587,46280824,12.997954899969045,-0.07199001580331865,10.323703428263928,9.133793060302734,8.049572033208786,0.0,71.9285,12.000689281731425,9.740292366922901,-0.7116821924987454
