trial_number,candidate_id,fold,seed,N_train,N_validation,best_iteration,effective_trees,nodes,leaves,model_ubj_bytes,elapsed_seconds,R2,RMSE,MAE,bias,negative_prediction_pct,tail_threshold,tail_RMSE,tail_MAE,tail_bias
0,OPTUNA_0000,WF01,42,7411,7628,13,14,33566,16790,1151510,1.7701235,0.6953179817,5.6435916258,4.2128602216,-0.3635445779,0.0,81.4345,10.0742824574,7.9097986152,-6.7555344947
0,OPTUNA_0000,WF02,42,15039,7152,53,54,149240,74647,5110786,3.4084136,0.5982625359,7.6359791665,5.7693648224,-1.522749856,0.0,83.8526,13.8175148279,11.2797603201,-10.7163959127
0,OPTUNA_0000,WF03,42,22191,7158,68,69,219057,109563,7494450,4.1675735,-0.0784556929,10.3547901849,8.8306090404,7.6658552911,0.0,71.9285,12.7503052196,10.3842227232,-0.1810150687
1,OPTUNA_0001,WF01,42,7411,7628,567,568,234390,117479,8344538,3.4581511,0.7210041671,5.4004633961,3.9173313663,-0.4671765162,0.0,81.4345,9.4489972752,7.3114993259,-5.5635475908
1,OPTUNA_0001,WF02,42,15039,7152,525,526,481592,241059,16721911,5.0252239,0.6085492649,7.537583295,5.6852121015,-1.4799938693,0.0,83.8526,13.7918049681,11.3852864997,-10.9518659173
1,OPTUNA_0001,WF03,42,22191,7158,177,178,516314,258246,17673124,5.473941,-0.0956548774,10.4370325498,9.1501826282,8.0091489557,0.0,71.9285,12.8336942487,10.4722018176,-0.2225891099
2,OPTUNA_0002,WF01,42,7411,7628,320,321,131423,65872,4681031,3.2191591,0.7461443925,5.1514032668,3.7566137502,-0.4699102709,0.0,81.4345,9.3985298441,7.3768102423,-5.3914387144
2,OPTUNA_0002,WF02,42,15039,7152,360,361,258873,129617,9040777,4.5427629,0.6164037562,7.4615789896,5.6218095192,-1.3729381615,0.0,83.8526,13.360213253,10.7381229601,-10.3242609959
2,OPTUNA_0002,WF03,42,22191,7158,464,465,417553,209009,14504660,6.2981282,-0.0457293877,10.1964690707,8.840976643,7.7402616088,0.0,71.9285,12.6964401454,10.4241106113,0.05672678
3,OPTUNA_0003,WF01,42,7411,7628,608,609,7629,4119,661400,1.3200226999,0.7371826236,5.241543643,3.7795793027,-0.5827942702,0.0,81.4345,9.5730619485,7.36720006,-4.3658484452
3,OPTUNA_0003,WF02,42,15039,7152,115,116,1340,728,122774,0.4105912,0.5820542225,7.7884948829,5.7918283064,-2.2361913943,0.0,83.8526,15.2377383827,12.7714755276,-12.5466678627
3,OPTUNA_0003,WF03,42,22191,7158,88,89,1129,609,97883,0.3778398,-0.0999915908,10.4576675692,9.1170812332,8.0024646468,0.0,71.9285,13.5077961274,11.937235163,1.1280414691
4,OPTUNA_0004,WF01,42,7411,7628,2789,2790,198870,100830,8600981,11.9483345,0.7358244508,5.2550696675,3.7623568207,-0.3518270646,0.0,81.4345,9.8227513903,7.5863148824,-4.6335468507
4,OPTUNA_0004,WF02,42,15039,7152,1811,1812,228340,115076,8959973,8.9700772,0.5972761479,7.6453477486,5.7537308315,-1.8906360083,0.0,83.8526,14.301193585,11.9279656564,-11.6621054556
4,OPTUNA_0004,WF03,42,22191,7158,393,394,69940,35167,2638790,2.6365878,-0.1707062073,10.7885756263,9.7178649164,8.5290909199,0.0,71.9285,12.3684733372,10.601905649,-1.0208561388
5,OPTUNA_0005,WF01,42,7411,7628,1544,1545,77065,39305,3639156,5.2230476,0.7335547166,5.2775965457,3.8226417501,-0.2670536059,0.0,81.4345,9.4705439839,7.3048761789,-4.4908852123
5,OPTUNA_0005,WF02,42,15039,7152,402,403,39681,20042,1615725,1.8142545,0.594312022,7.6734317903,5.7670183399,-1.9359493309,0.0,83.8526,14.6095273116,12.3052952341,-12.0306202092
5,OPTUNA_0005,WF03,42,22191,7158,440,441,50789,25615,2018508,1.9632634,-0.1835843116,10.8477520463,9.4458241383,8.3383815204,0.0,71.9285,14.233351937,12.4038468128,1.6620346094
6,OPTUNA_0006,WF01,42,7411,7628,72,73,4923,2498,216389,0.5068199,0.7197558566,5.4125315533,4.0165116126,0.1905829217,0.0,81.4345,9.4033551185,7.468090134,-4.9532475442
6,OPTUNA_0006,WF02,42,15039,7152,93,94,7404,3749,314554,0.5723402,0.6201000723,7.4255422485,5.584037305,-1.565298712,0.0,83.8526,13.7824295205,11.234720682,-10.8244225131
6,OPTUNA_0006,WF03,42,22191,7158,185,186,14614,7400,620270,0.824945,-0.107764456,10.4945510091,9.118552185,8.0730873662,0.0,71.9285,13.1295291565,10.6844367056,0.8901229457
7,OPTUNA_0007,WF01,42,7411,7628,65,66,58610,29338,2037232,1.6319663,0.6049420504,6.4263233088,4.8898482058,0.9722821203,0.0,81.4345,10.38560612,8.1862047538,-6.4925541899
7,OPTUNA_0007,WF02,42,15039,7152,26,27,64563,32295,2213975,1.8165079,0.5779792992,7.8263712492,5.9719660654,-1.1086610606,0.0,83.8526,14.3735924875,11.9592289237,-11.4287773609
7,OPTUNA_0007,WF03,42,22191,7158,42,43,107199,53621,3674142,2.4586736,-0.4997148011,12.2108104181,10.9039125854,9.7280961076,0.0,71.9285,12.3745891884,10.0545066751,-1.1739519329
8,OPTUNA_0008,WF01,42,7411,7628,3836,3837,4433301,2218569,153267743,38.6780753,0.6933142177,5.6621189642,4.1926967825,0.2124307727,0.0,81.4345,9.7347471327,7.5979808498,-6.0905854101
8,OPTUNA_0008,WF02,42,15039,7152,1426,1427,2828877,1415152,97125848,23.9440905,0.6190400803,7.4358943593,5.6881442852,-1.2647372385,0.0,83.8526,13.7821069447,11.6980638231,-11.4059024541
8,OPTUNA_0008,WF03,42,22191,7158,1625,1626,3347544,1674585,114892072,28.3311844,-0.0821490525,10.3725059225,9.1896594259,8.184945408,0.0,71.9285,12.1099478378,10.0122641722,0.2296138895
9,OPTUNA_0009,WF01,42,7411,7628,2742,2743,68283,35513,4130037,8.6609957,0.720911553,5.4013596768,3.8672383536,-0.5985920878,0.0,81.4345,10.0897781032,7.7840377113,-5.3089580001
9,OPTUNA_0009,WF02,42,15039,7152,710,711,23867,12289,1280816,2.5851828,0.583685309,7.77328223,5.7722350762,-1.9773796106,0.0,83.8526,15.214962515,12.6486227908,-12.4309749195
