trial_number,state,value,learning_rate,max_depth,min_child_weight,gamma_active,subsample,colsample_bytree,reg_alpha_active,reg_lambda,target_transform,completed_folds,R2_min,R2_median,R2_mean,R2_std,RMSE_median,MAE_median,abs_bias_median,tail_RMSE_median,negative_prediction_pct_mean,best_iteration_median,model_ubj_bytes_median,objective,gamma_nonzero,reg_alpha_nonzero
0,COMPLETE,0.05390131097649507,0.218504539704629,15,1.298166890972207,False,0.6145484157041747,0.676885700915847,False,0.0018207839875640825,identity,3,-0.07845569290257148,0.5982625359351503,0.4050416082423088,0.3441726020944204,7.635979166536231,5.769364822374895,1.5227498560101125,12.75030521963981,0.0,53.0,5110786.0,0.05390131097649507,,
1,COMPLETE,0.03841250086079881,0.019744680432180257,13,1.84565809412724,True,0.9918968305619796,0.934759816891166,True,0.7004806522483423,identity,3,-0.09565487736422784,0.6085492649096318,0.4112995182058283,0.36139876004762583,7.537583295035136,5.6852121014819055,1.479993869256653,12.833694248749262,0.0,525.0,16721911.0,0.03841250086079881,1.9626853455515822,0.15076439526739072
2,COMPLETE,0.0910324736280491,0.0285001583577394,16,7.834380338781937,False,0.5918011915466642,0.9028649339306913,True,15.567546971387802,identity,3,-0.045729387714709135,0.6164037562015279,0.4389395869834148,0.3467815541524746,7.461578989635484,5.621809519189584,1.3729381614574114,12.696440145404727,0.0,360.0,9040777.0,0.0910324736280491,,0.08675147806205649
3,COMPLETE,0.027339922563145765,0.2047148031457183,3,108.99441357212469,False,0.9399702891310573,0.8384645076582322,False,733.674237898967,identity,3,-0.09999159080380182,0.5820542224730343,0.4064150850956489,0.3636408450262197,7.788494882861311,5.791828306394402,2.236191394340805,13.507796127370487,0.0,115.0,122774.0,0.027339922563145765,,
4,COMPLETE,-0.04132311196575376,0.005028529217128676,12,84.82744958050394,False,0.6692260628823749,0.7825277950783794,True,19.929491057865967,identity,3,-0.17070620733136455,0.597276147901626,0.38746479712529364,0.3987188321959141,7.645347748572455,5.753730831504668,1.8906360083202385,12.36847333719412,0.0,1811.0,8600981.0,-0.04132311196575376,,0.0053000330200376165
5,COMPLETE,-0.05518368090232034,0.012420322490488675,8,106.47892265665337,True,0.7424277732450228,0.7937035249447963,True,0.002703839381614691,identity,3,-0.18358431163070765,0.5943120220406645,0.3814274756813821,0.4035474956355761,7.673431790340793,5.767018339933698,1.9359493308910052,14.233351936965722,0.0,440.0,2018508.0,-0.05518368090232034,1.855069838284454e-07,0.022048655491078144
6,COMPLETE,0.02881764779583618,0.11739806114982579,6,18.882243224764565,False,0.728959948539454,0.5565137151737488,False,0.18286470219378206,identity,3,-0.10776445598299955,0.6201000722598753,0.41069715761703535,0.3688582857226618,7.425542248531292,5.584037305021179,1.5652987119559472,13.129529156510019,0.0,93.0,314554.0,0.02881764779583618,,
7,COMPLETE,-0.3809451170831446,0.19674389859205732,16,4.188400980722873,False,0.8045777220623977,0.564921744627912,False,0.0014224844996261982,identity,3,-0.4997148011086012,0.5779792991768093,0.2277355161457623,0.5145028153749143,7.826371249236396,5.971966065379064,1.1086610606276748,12.374589188400984,0.0,42.0,2213975.0,-0.3809451170831446,,
8,COMPLETE,0.05514253470857057,0.005855808177342019,11,0.5406601292833183,False,0.9322144900658047,0.5900049139674617,False,0.015582508907575331,identity,3,-0.08214905248306725,0.619040080308085,0.41006841518743786,0.3493686577076684,7.435894359299878,5.688144285223362,1.2647372385490125,12.10994783776391,0.0,1625.0,114892072.0,0.05514253470857057,,
9,COMPLETE,-0.033375298177715396,0.009153198702769743,6,223.97394754790963,False,0.6609311708450424,0.9803603172372887,True,208.7532204535353,identity,3,-0.15994796078813045,0.5836853090326535,0.381549633763709,0.38697329295496635,7.773282230034239,5.7722350761874415,1.9773796106035542,11.633752254537029,0.0,710.0,1280816.0,-0.033375298177715396,,0.03847857784942698
10,COMPLETE,0.10522443582635292,0.0130020218637772,15,1.2120018987274317,False,0.6050394997832228,0.9530788646559757,True,309.0754746478555,identity,3,-0.03475367667808049,0.6286375837238268,0.44649228954735526,0.3436256685304658,7.341630828502755,5.481373201511051,1.3953758880820049,12.588547104209985,0.0,3130.0,71773319.0,0.10522443582635292,,3.099589698584747e-07
11,COMPLETE,0.12156986344028481,0.03134164684458689,13,12.097936633572399,False,0.5709840496978995,0.8988385283459763,True,619.9232580869536,identity,3,-0.014702910647007128,0.6108937636617673,0.4447604231583928,0.3290133365629975,7.51497713684482,5.628104944753966,1.6103907031458227,11.565016012830174,0.0,891.0,7779596.0,0.12156986344028481,,1.648019923919093e-07
12,COMPLETE,0.08371763577166362,0.01669292203811817,13,0.9328480973604804,False,0.6887142937219792,0.9839313834045272,True,263.2769715853985,identity,3,-0.05452375719546798,0.6230607861584204,0.4364416742260653,0.35047607144947,7.396550523896728,5.570096285937351,1.5126421728880879,12.721911035637175,0.0,891.0,30939809.0,0.08371763577166362,,1.166191467820105e-07
13,COMPLETE,-0.02861706883447823,0.09169256231686948,12,47.37970575507114,True,0.578567253060539,0.8922834925981467,True,75.93247426567687,identity,3,-0.16031394446558145,0.6057237059141334,0.39295590838593797,0.39468101694860247,7.564738169848168,5.62702527777994,1.52777851720891,12.403537286388566,0.0,161.0,587740.0,-0.02861706883447823,0.0003695979717509109,8.627166806677643e-06
14,COMPLETE,0.1012322364859676,0.05199995467379775,12,29.671250366688,False,0.7801262501102562,0.848957853467535,True,842.7576593631597,identity,3,-0.03352716005414891,0.6060308896563775,0.4346266459143376,0.33496651747955725,7.561790722325751,5.660852652462269,1.6933397718681316,11.495768608077919,0.0,666.0,4443625.0,0.1012322364859676,,1.2270312676421412e-08
15,COMPLETE,0.03775826669190814,0.01069114839351427,7,3.2420614575505184,False,0.636755672822976,0.8778705784552489,False,87.13028027580395,identity,3,-0.09861608967475721,0.6199395716637164,0.4226603858247128,0.37221073098527485,7.427110659076483,5.588256264688718,1.51104537752224,12.121829681583554,0.0,1883.0,8142704.0,0.03775826669190814,,
16,COMPLETE,0.1302229510997987,0.051218061050602004,13,9.228328071323565,False,0.552097084661349,0.9346707581788231,False,557.1515152690994,identity,3,-0.007642127358820083,0.617177365274301,0.45122871422351346,0.32858525719912957,7.454051206781679,5.563516468649743,1.4713806305913049,11.81504833715573,0.0,939.0,6349230.0,0.1302229510997987,,
17,COMPLETE,0.08987585885280427,0.054319274194290536,14,17.6900547875837,False,0.6075487806269136,0.9081830845920966,False,513.0318163013415,identity,3,-0.0453650280122091,0.6095917461306257,0.4341840860032693,0.3431409933528613,7.527539850390435,5.635536581009561,1.69099602976208,11.43938220850744,0.0,346.0,2910456.0,0.08987585885280427,,
18,COMPLETE,-0.05781969580247822,0.031160003026548002,9,51.80973900270794,False,0.5768011281165264,0.9467350430026249,False,0.4243091429840228,identity,3,-0.18831005166067305,0.6040295353207021,0.3863894375927168,0.41034055943961406,7.5809732559861205,5.681308536896503,1.6175511299321046,13.768033245364764,0.0,265.0,897501.0,-0.05781969580247822,,
19,COMPLETE,0.07214124897312003,0.07217231134235151,8,8.35460927776318,False,0.5794580435712606,0.8165695434505087,True,179.90690011847977,identity,3,-0.06474917196895125,0.6187110609442668,0.4330304000313314,0.3557468858799081,7.439104703861471,5.579638404803522,1.5301422352716159,12.05060983133447,0.0,606.0,3151916.0,0.07214124897312003,,3.6683625816889414e-05
20,COMPLETE,0.08857001804681816,0.09594316736308915,14,1.9856881087820264,True,0.6720936270883816,0.8422019281398107,False,3.4949009833524234,identity,3,-0.04951788119400091,0.6209166181829393,0.43167079899633065,0.342825106098315,7.417557832924532,5.629944349788179,1.4138294786372172,12.35170168151199,0.0,65.0,4746461.0,0.08857001804681816,1.2788771532035702e-08,
21,COMPLETE,0.11090795362688904,0.08042636720289645,9,1.9587457130726595,False,0.5707948193015607,0.9829282711394834,False,771.5069956111008,identity,3,-0.025487328522960873,0.6130556340365966,0.4452173661890133,0.3373725271859844,7.494071489433139,5.597226117575729,1.5657708404805568,11.45562353031317,0.0,509.0,5570397.0,0.11090795362688904,,
22,COMPLETE,0.10800789590162088,0.16759070119116154,13,13.96491642710054,True,0.5569399599691761,0.9431404382985069,False,830.7359792266269,identity,3,-0.029420938417832776,0.6170628203212272,0.44169793671986585,0.33673741521706263,7.455166292475814,5.533896661434131,1.4681430823008217,11.408090504405092,0.0,545.0,2960929.0,0.10800789590162088,0.0010781939273265114,
23,COMPLETE,0.08121844422064363,0.06336968519874209,8,0.9170016422200423,False,0.6009592075396184,0.9041277409447732,False,160.23165634152548,identity,3,-0.05780640435439999,0.626601339448279,0.43637462610288774,0.35250972574052275,7.361731027945781,5.520369905399262,1.4499753001509628,12.500685390301086,0.0,497.0,4111411.0,0.08121844422064363,,
24,COMPLETE,0.09756529388762973,0.22859985687264528,9,3.2011332580488987,False,0.5688573859237153,0.9541680358426259,False,65.65860561209219,identity,3,-0.04081049896974598,0.6222793370010063,0.44068885988576884,0.3438808278575176,7.40421361035275,5.563443358764819,1.4110137024139129,13.023843242359435,0.0,164.0,1931102.0,0.09756529388762973,,
25,COMPLETE,0.10386784796587402,0.0357176803519451,14,49.50649326089854,False,0.5721274339491619,0.818398309778713,True,956.8791418470303,identity,3,-0.03100240657976694,0.6060823705262799,0.43458986208244216,0.3330067617185803,7.561296647698712,5.659138435726464,1.7197233942488428,11.467393335212,0.0,1591.0,4073266.0,0.10386784796587402,,6.487998092068197e-05
26,COMPLETE,0.10900499039971615,0.10467033087866587,9,0.5730991740164039,False,0.6337597836259126,0.9856096976973354,True,492.82511949743224,identity,3,-0.0297507995514108,0.6229331011470074,0.44541088115983657,0.3395497067124979,7.397803177690228,5.518480852481236,1.3943598270373587,11.597041272444795,0.0,661.0,10448805.0,0.10900499039971615,,1.0681407347487617e-08
27,COMPLETE,0.13634913343417887,0.050216505871450066,11,9.394796277690675,False,0.5558085952165658,0.9773375957941501,True,806.7781499007701,identity,3,-0.000491765405202127,0.6123268116694585,0.45240026177132364,0.32481608155967223,7.501125833584512,5.612897663910117,1.5656891237126631,11.449194875805693,0.0,886.0,8079285.0,0.13634913343417887,,3.518627093002887e-06
28,COMPLETE,0.04837265680102497,0.12107065173442731,12,20.617188289172798,False,0.6567938848111295,0.9985428203828892,True,214.35581819080713,identity,3,-0.08766260333612164,0.61700688744216,0.4227479823148837,0.3643292344678681,7.455710733850613,5.567094368309516,1.461881688772965,11.723311104797908,0.0,271.0,1613857.0,0.04837265680102497,,4.696655311485554e-06
29,COMPLETE,0.05783458318572797,0.011158112796564507,10,24.99474420917373,True,0.5992593606988975,0.9660597864895237,True,295.2484629910196,identity,3,-0.07759384066885344,0.61327285344142,0.42351282231723925,0.3577957901154719,7.491967716366399,5.599195042074659,1.6243453660491327,11.599963657416293,0.0,2745.0,5305271.0,0.05783458318572797,17.807018411163174,3.0061562527684023e-06
30,COMPLETE,0.09135996739101374,0.044962991564332803,10,6.572447884258299,False,0.5974751480668039,0.9440810149121851,True,286.2314007246426,identity,3,-0.0472591835433549,0.6242227967183273,0.4409043731259865,0.3487309649042637,7.385140853988293,5.5089029812098085,1.4488472074427592,12.155411906808386,0.0,922.0,7236036.0,0.09135996739101374,,0.00014140821920049026
31,COMPLETE,0.13511692755782717,0.053225168858902494,12,2.2358802773357445,False,0.5684928031772508,0.9595478143068992,False,702.056039191684,identity,3,-0.004956130682264748,0.6262220939245193,0.4560135264552176,0.32964930482075827,7.365468581516517,5.479048010708769,1.3361789940144924,11.671433259212183,0.0,1591.0,20867030.0,0.13511692755782717,,
32,COMPLETE,0.13543715720037725,0.061078622536982874,15,6.738948436325589,True,0.5894277867285105,0.9916006649720152,True,944.3130760492467,identity,3,-0.002136036597977009,0.6153174846950672,0.45178687755272723,0.3251235475082512,7.472136406090927,5.577348470158758,1.5195325930337242,11.691979476130133,0.0,931.0,9312855.0,0.13543715720037725,1.0818405026366831e-05,7.195881635842271
33,COMPLETE,0.1010314135610835,0.10780315307099533,12,5.617202602600912,True,0.6762186017773445,0.973411313377445,True,657.1982120490344,identity,3,-0.037254812034135165,0.6217670371491717,0.44282166011149965,0.34311067384148514,7.409233050131292,5.524413761429072,1.4379507684558295,11.65821744027337,0.0,609.0,8784670.0,0.1010314135610835,7.355636866683886e-06,4.197973782085973
34,COMPLETE,0.10122974466737472,0.05632435256527937,16,2.6381307976967765,True,0.6230912701215198,0.9447428687830333,True,396.69999359613905,identity,3,-0.035855689879505936,0.6166730322114689,0.4416758542930474,0.3416564701197311,7.458959598827907,5.590548703404881,1.5810232429120363,12.312279530468881,0.0,290.0,7182000.0,0.10122974466737472,0.012835443171668138,2.7066282324303588
35,COMPLETE,0.10642196800910218,0.06263539353055796,11,0.754828798502151,True,0.550692309678256,0.9632358661208474,False,146.0650960644189,identity,3,-0.03463306890512463,0.6326738078956986,0.4455317661474228,0.3422683011939568,7.301624861812249,5.487608000629434,1.2858964036732443,12.580767155168864,0.0,716.0,20427190.0,0.10642196800910218,1.5071520714131261e-05,
36,COMPLETE,0.08521645264817793,0.029278362817840672,15,1.8138899048984942,False,0.5503302639112433,0.8566029745849502,False,171.76341318035222,identity,3,-0.054711274709478674,0.6302686321487796,0.43986455426266424,0.3527886135907661,7.325490621405298,5.483347518110168,1.365921728292034,13.182366200832222,0.0,1230.0,29019142.0,0.08521645264817793,,
37,COMPLETE,0.12310309212453126,0.026059061436984554,11,16.24842909503088,True,0.5691349410594325,0.9497647989760583,False,973.1796258321739,identity,3,-0.013051777352796279,0.6100760969903964,0.44411349893967333,0.32728309540543143,7.522868968196848,5.615094311571228,1.5462817180300716,11.438230414824027,0.0,2148.0,10048778.0,0.12310309212453126,1.5260887773187247e-06,
38,COMPLETE,0.07324111653077532,0.040688821772459575,15,7.405959450550278,True,0.551586679563661,0.954628976422432,True,214.64753190106828,identity,3,-0.06469999181111619,0.6231111152787798,0.4347873285331474,0.35673340955606886,7.396056711771497,5.523171395244215,1.436556312057529,12.18927005076204,0.0,939.0,8617483.0,0.07324111653077532,0.00938411191962337,7.989904572040652
39,COMPLETE,0.10083827831899791,0.14904440723845525,15,7.077334506833822,False,0.5753250134347077,0.9629928452246652,True,777.9981098548984,identity,3,-0.03580488152649508,0.6146816114912813,0.4401843253123016,0.3405448605465467,7.478309508950754,5.57168758675236,1.3479272513805618,11.66495336723147,0.0,827.0,6955836.0,0.10083827831899791,,0.0016902077101727982
